Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.4101870712508007,0.36805757634014363,NA1,NA1,chr01,89866,False,0.0009418414866828673,0.0003404718153500622,0.01944739693668074,0.0004156515835811604,0.028231937004974936,0.00016159383832919824,0.008976807052980481,0.00022261871332037445,0.0028215296112045203,0.4101870712508007,0.008581403169159237,0.440340790990804,0.00024327884046818537,0.008519035177217553,0.07056857252844574
rh_chr1_268616,"{NA1,NA1}",0.41173529160764877,0.36971638386533795,NA1,NA1,chr01,263248,False,0.0007450877408948818,0.00021456198839647948,0.017892853058761034,0.0002796718990652171,0.02765202051377169,0.00011575438271917377,0.007228393108225849,0.00016288838124159833,0.001655087986930831,0.41173529160764877,0.006810551273661625,0.4487426182895465,0.0001746373824204166,0.007490292214443911,0.06910029017227196
rh_chr1_334737,"{NA1,NA1}",0.41263864345222456,0.37068426084166917,NA1,NA1,chr01,329439,True,0.0006914179712401883,0.0001851626790614078,0.01739126772416108,0.00024622055339189395,0.027074805024727002,0.00010229696112179464,0.006636698062869036,0.00014740173571856376,0.0013043513250939134,0.41263864345222456,0.0062058971997337445,0.4582509434023706,0.00015651724142587084,0.007082185546032027,0.061886191120828056
rh_chr1_443667,"{NA1,NA1}",0.4141742519935828,0.37232955570741016,NA1,NA1,chr01,438310,False,0.0006067431401191478,0.00013857936757533473,0.01654480290678642,0.00019306098728444522,0.026100482547807714,8.34592778357393e-05,0.005644582753607923,0.00012429574524855388,0.0006935662574491105,0.4141742519935828,0.005190847273912071,0.47393700581281245,0.0001300673105137621,0.006380356162362696,0.05005789846310197
rh_chr1_547952,"{NA1,NA1}",0.4146554850714713,0.3728451625765764,NA1,NA1,chr01,544389,False,0.0005170865707407539,0.0001222249827295208,0.015460238254241154,0.00016877124066741846,0.024983049410041334,6.885403736168322e-05,0.0054182104862926656,0.00010831670814275118,0.0004832838971102551,0.4146554850714713,0.00484700607863585,0.4867010071647588,0.00011149072234077596,0.00629172571389848,0.04006324966156724
rh_chr1_631086,"{NA1,NA1}",0.41704575494377677,0.3754061660111894,NA1,NA1,chr01,627268,True,0.0004659240306634463,0.0001160109121526521,0.01491626416649717,0.00015808369719049186,0.022439763915623356,6.110638444086135e-05,0.005460160788532254,9.882330578565473e-05,0.0005040654869113818,0.41704575494377677,0.0046740334072343775,0.4922109883058947,0.00010133889727192653,0.00567686348403787,0.03607081827398714
rh_chr1_741516,"{NA1,NA1}",0.42032057183154964,0.37891489839094605,NA1,NA1,chr01,737678,True,0.00040161507050429963,0.00010575965762803197,0.014142835888444016,0.0001431608908322527,0.019074716601139338,5.1080283233703505e-05,0.005506234872516216,8.610417104987502e-05,0.0005039219103164884,0.42032057183154964,0.004420584550810103,0.4995372442530867,8.865728070633252e-05,0.004844399759167429,0.030773112979015464
rh_chr1_1060803,"{NA1,NA1}",0.4302977616786824,0.38960474465573114,NA1,NA1,chr01,1049416,True,0.0002420577145437276,6.337722017142832e-05,0.011651559033139363,9.400019114223355e-05,0.0096309009678068,2.4174545303704802e-05,0.005570482046675979,4.7859479066528753e-05,0.0003317759137967098,0.4302977616786824,0.0035564918278871583,0.52013997307319,5.774257606193725e-05,0.0023902577885047236,0.01590158594402721
rh_chr1_1170229,"{NA1,NA1}",0.4332867168385289,0.3928071966127095,NA1,NA1,chr01,1140710,True,0.00020443334084420742,5.006947243334387e-05,0.010836394474564531,8.231955906978475e-05,0.006950086232950933,1.6807317176801964e-05,0.005568839162435116,3.785819330088367e-05,0.00023669312666362553,0.4332867168385289,0.0032605987295471852,0.5261544034084924,5.0735994454523924e-05,0.001662383221989276,0.01160166092754868
rh_chr1_1304008,"{NA1,NA1}",0.43747650962262963,0.39729626030996035,NA1,NA1,chr01,1265000,False,0.00015877567898226882,3.062738743890488e-05,0.009662219133825093,6.700833758535951e-05,0.0033264476333627084,7.052052433519637e-06,0.005550627862356774,2.4354349255328035e-05,7.438148918409222e-05,0.43747650962262963,0.002825013220979867,0.5343286792019564,4.249022699180275e-05,0.0006555698840277415,0.005770243918990471
rh_chr1_1400565,"{NA1,NA1}",0.4772486529748415,0.439909271044473,NA1,NA1,chr01,1361620,False,0.0001369848615653681,2.5727632987773047e-05,0.00957423429322538,6.12911723553994e-05,0.002881480605703578,5.699926072642819e-06,0.004612602040491752,2.114899200829605e-05,6.237545223677617e-05,0.4772486529748415,0.0030378044043839598,0.49658880128152105,3.869658901009479e-05,0.0005455147519771049,0.005158985021619264
rh_chr1_1482273,"{NA1,NA1}",0.5225565428662072,0.488453438785222,NA1,NA1,chr01,1441962,True,0.00012343417355596077,2.465411265598026e-05,0.009830324546480165,6.110988037959948e-05,0.0025262889448176055,4.8529509147386834e-06,0.00449714821548766,1.912374301092961e-05,6.973937716952775e-05,0.5225565428662072,0.0038661822036147354,0.45145880686906215,3.620383271882764e-05,0.0005126857158870151,0.004412902568037807
rh_chr1_1623606,"{NA1,NA1}",0.6029696331084662,0.5746103211876423,NA1,NA1,chr01,1583376,True,0.00010007152566998054,2.1331578830093797e-05,0.009995551357814198,5.846019885491785e-05,0.0019282102749222227,3.5266474469962643e-06,0.004067184916465264,1.543924914604109e-05,7.151756344664282e-05,0.6029696331084662,0.0050998587551706375,0.3719506493877298,3.193848178130794e-05,0.0004416132787026034,0.003245013675552999
rh_chr1_1879893,"{NA1,NA1}",0.7507860557512824,0.7329850597335169,NA1,NA1,chr01,1839399,True,6.014297889957938e-05,1.1108398950336635e-05,0.009356457286860968,4.639511595537998e-05,0.0009316812836008219,1.6129810705302123e-06,0.0025391853113904813,8.027027272549758e-06,4.507754156042665e-05,0.7507860557512824,0.006592945869641386,0.22772451234428442,2.4379205180801882e-05,0.00027530550361567113,0.0015971134004341048
rh_chr1_1999515,"{NA1,NA1}",0.8205545352621557,0.8077370020665954,NA1,NA1,chr01,1959058,False,4.4567425109051444e-05,6.752390190481319e-06,0.00864132169757977,3.997117996189339e-05,0.0006106746461192664,1.112954115165295e-06,0.0014891668528726624,5.0439369591458566e-06,3.3097378137013026e-05,0.8205545352621557,0.00696046548068556,0.16027008561025874,2.1009812541737038e-05,0.0002050404532859977,0.0011171549200277948
