Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Mus,Mus}",0.5363206661965071,0.5032007137819718,Mus,Mus,chr01,89866,False,4.742842292851831e-05,0.19190681882258923,3.191588787261744e-05,4.437142725728081e-05,5.198620812127538e-05,0.5363206661965071,0.05348272580172036,0.054305427328844656,0.16363351039815835,1.4198128800087512e-05,1.954016738301365e-05,3.208179298260038e-05,2.007038383197132e-05,3.9289970882880184e-05,4.996906212015969e-05
rh_chr1_268616,"{Mus,Mus}",0.5377907126064447,0.5047757635069051,Mus,Mus,chr01,263248,False,2.095281570135166e-06,0.1927086706886546,1.4905548752564844e-06,2.4260190492270913e-06,2.256345821880266e-06,0.5377907126064447,0.052274094157462606,0.05310951919340068,0.1641011819721566,5.545532480054497e-07,1.0536769138581886e-06,1.185508357167041e-06,1.2031398277010431e-06,2.095353243363604e-06,1.4609489742660592e-06
rh_chr1_334737,"{Mus,Mus}",0.5382883900077489,0.5053089892940167,Mus,Mus,chr01,329439,False,5.092050431101272e-07,0.192982269066831,3.9697760153323464e-07,5.940290844208838e-07,9.415930334583161e-07,0.5382883900077489,0.05177115833291181,0.052610432119038965,0.16434281173213833,1.30039572468154e-07,2.4872126962506687e-07,4.6665410368269963e-07,2.573954509188072e-07,7.412873827191049e-07,6.528387890218744e-07
rh_chr1_443667,"{Mus,Mus}",0.5391132228229228,0.506192738738846,Mus,Mus,chr01,438310,True,2.350672893520504e-06,0.19341568203880138,2.7508214471669925e-06,2.9246959019756557e-06,4.388000302324528e-06,0.5391132228229228,0.05094034844974785,0.051779504239422985,0.16472917906683962,5.977081492690854e-07,1.183594071200661e-06,2.248596758249199e-06,6.818275953707773e-07,2.508701743722533e-06,2.4287634024846904e-06
rh_chr1_547952,"{Mus,Mus}",0.5399345700948464,0.5070727536730497,Mus,Mus,chr01,544389,False,2.755783129197272e-06,0.19384345867316735,3.2855526837955002e-06,3.4292314700132833e-06,5.199082885469531e-06,0.5399345700948464,0.050124270069698294,0.05096340595683153,0.16510886254104154,6.845173826268422e-07,1.3486875424972621e-06,2.3935721837229518e-06,7.212572243858335e-07,2.6337488614940895e-06,2.981231051788197e-06
rh_chr1_631086,"{Mus,Mus}",0.5379567939296281,0.5049537077817444,Mus,Mus,chr01,627268,True,7.320672651979329e-06,0.19581088048518935,8.89599817595329e-06,9.341627898974277e-06,1.4680019897668321e-05,0.5379567939296281,0.05021282581506983,0.050914986966768404,0.1650369205554115,1.808083784634231e-06,3.652728468984028e-06,6.754047402160559e-06,1.8606597369809818e-06,6.936090511565774e-06,6.342319403864708e-06
rh_chr1_741516,"{Mus,Mus}",0.5353407468732706,0.5021508002213614,Mus,Mus,chr01,737678,True,1.2172833385075281e-05,0.19844201237299755,1.4790448300145835e-05,1.5560845754199815e-05,2.454352691794258e-05,0.5353407468732706,0.050321526929250494,0.05084136702107203,0.16494302212198345,2.9708320563817288e-06,6.036423360259751e-06,1.121098540971107e-05,3.0337285721600093e-06,1.1305362333889454e-05,9.699695336345463e-06
rh_chr1_1060803,"{Mus,Mus}",0.5280611478083365,0.49435122979464624,Mus,Mus,chr01,1049416,False,1.8041555349978178e-05,0.20593852437707041,2.133098627602134e-05,2.2564581791956228e-05,3.500726571687106e-05,0.5280611478083365,0.05057271381741291,0.050578605424650536,0.16469204065339194,4.218176610545187e-06,8.512620914708442e-06,1.5438337262247437e-05,4.269251144346355e-06,1.5244340025152992e-05,1.2340804045946148e-05
rh_chr1_1170229,"{Mus,Mus}",0.5285692575911427,0.4948956331333672,Mus,Mus,chr01,1140710,False,5.04787658390615e-06,0.20697283559783788,5.486148350088046e-06,6.1803553719416196e-06,1.3943543806955765e-05,0.5285692575911427,0.05015992444330144,0.05001629407780634,0.16423231496243018,1.020049285593934e-06,2.2504191341241854e-06,4.884449731581062e-06,1.0840723013425638e-06,4.577146762853133e-06,4.899266153129299e-06
rh_chr1_1304008,"{Mus,Mus}",0.5284368119706314,0.4947537271113908,Mus,Mus,chr01,1265000,False,2.808738965052502e-06,0.20850665029165688,3.059650355089891e-06,3.5167957007817746e-06,1.3399367427243956e-05,0.5284368119706314,0.050012724032768185,0.049296276545793036,0.1637088450162548,5.456746720088507e-07,1.2772389265193582e-06,3.900629757050384e-06,6.222752766339757e-07,3.7232483147196205e-06,5.8385235004750375e-06
