Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9968191282086397,0.9965919230806854,Vv,Vv,chr01,89866,False,2.359776813942386e-06,2.1614125521422854e-06,2.236665360228544e-06,2.5977657433417967e-06,0.0010052023444426191,1.206322963863645e-06,1.7148608490616742e-06,2.0170211082613417e-06,0.0006132234904108062,1.3114622919040588e-06,2.085968338070456e-06,0.0006484695742083116,1.9404716027682928e-06,0.0008943446546749501,0.9968191282086397
rh_chr1_268616,"{Vv,Vv}",0.998373505774757,0.9982573276158111,Vv,Vv,chr01,263248,False,3.5704172647576606e-07,1.4976885435558178e-07,1.6710736395807845e-07,2.686634035721152e-07,0.000625790824728207,6.955851197713109e-08,8.4503088973029e-08,1.2894954079797367e-07,0.00022735291877114592,8.495111986804054e-08,1.426559874919048e-07,0.00025773676191363944,1.8795917701931807e-07,0.0005139725610555158,0.998373505774757
rh_chr1_334737,"{Vv,Vv}",0.9985423363932211,0.9984382175641655,Vv,Vv,chr01,329439,False,4.9007215787340725e-08,2.1241513472300198e-08,2.34941937284264e-08,4.852903315608335e-08,0.000534605114696637,9.191132404567252e-09,1.1684388320052088e-08,2.3282521959356796e-08,0.00020277943842241555,1.1160899960733484e-08,2.594642154084496e-08,0.00022982337648269947,3.8631998870452916e-08,0.0004901935078580173,0.9985423363932211
rh_chr1_443667,"{Vv,Vv}",0.9987375030308945,0.9986473246759584,Vv,Vv,chr01,438310,False,9.381478465775412e-09,4.626409065677188e-09,4.388684754192654e-09,1.9544972543918864e-08,0.00041926379382368134,1.6740565072676552e-09,2.240908511604377e-09,1.0229916231621981e-08,0.00017765179524441028,1.5889200903179963e-09,1.0896857490566937e-08,0.00019671389642046222,1.8819130074588513e-08,0.0004687840922832857,0.9987375030308945
rh_chr1_547952,"{Vv,Vv}",0.9988741894053061,0.998793774362828,Vv,Vv,chr01,544389,False,1.436591786531081e-09,1.9024587285827654e-09,1.065596071426483e-09,5.703676187124185e-09,0.0003310376972789303,6.413384022852624e-10,1.2796651813083305e-09,5.113490361615263e-09,0.0001668331755250469,4.400937193676426e-10,4.211482255851968e-09,0.00017278761385655842,6.381591685321904e-09,0.00045512393204888776,0.9988741894053061
rh_chr1_631086,"{Vv,Vv}",0.9989078304711297,0.9988298183619247,Vv,Vv,chr01,627268,False,2.039394142077677e-09,3.714853769698781e-09,3.1882047110356677e-09,1.0456805405343836e-08,0.00029395527142643107,1.4263278794727483e-09,3.31470676286664e-09,9.494297139954256e-09,0.0001576759574148501,1.357661020125234e-09,9.514196066553225e-09,0.00016920595563149038,9.117696245815377e-09,0.0004712787202544374,0.9989078304711297
rh_chr1_741516,"{Vv,Vv}",0.999120315225287,0.9990574805985217,Vv,Vv,chr01,737678,False,1.1411572089182535e-09,1.9622685703698293e-09,2.1554015047315177e-09,5.324519041852727e-09,0.00023964354845421146,5.302322429124135e-10,1.6461114107738222e-09,3.99908724637618e-09,0.00011677021132352088,7.39719335536422e-10,4.744163900174647e-09,0.00014505009407105368,3.6603525673177673e-09,0.00037819501785110336,0.999120315225287
rh_chr1_1060803,"{Vv,Vv}",0.9995491665822477,0.9995169641952654,Vv,Vv,chr01,1049416,False,1.8026938426190751e-09,9.77382339536354e-10,3.5798412528393983e-09,5.738331850606448e-09,0.0001301645634517089,1.7863137039136188e-10,8.144280823990675e-10,1.3670355459578983e-09,2.9373530759094245e-05,1.3595943410824779e-09,5.176025091816955e-09,9.378840335857106e-05,3.149978624792243e-09,0.00019748277624058292,0.9995491665822477
rh_chr1_1170229,"{Vv,Vv}",0.9997444422800444,0.9997261881571905,Vv,Vv,chr01,1140710,False,3.3916771384708366e-10,2.8703018369682315e-10,7.465545636755709e-10,1.1684651998709554e-09,6.983073726248004e-05,5.741956548324336e-11,2.554207762728037e-10,4.079095406219811e-10,2.0113829814778153e-05,3.2963527037311246e-10,1.1707299951387308e-09,5.503630177164332e-05,6.42042072255808e-10,0.00011057144673185474,0.9997444422800444
rh_chr1_1304008,"{Vv,Vv}",0.9998831275300355,0.9998747794964666,Vv,Vv,chr01,1265000,False,7.427381812250144e-11,2.034639159135859e-10,1.2977283263328644e-10,1.901726627567894e-10,3.199014759647898e-05,7.261961589975556e-11,1.5649775949261563e-10,2.557389813159567e-10,2.237701377808439e-05,5.684480106840074e-11,1.6898840954446913e-10,2.346860225268007e-05,1.0727351425960868e-10,3.903529069089196e-05,0.9998831275300355
rh_chr1_1400565,"{Vv,Vv}",0.9998652154591188,0.999855587991913,Vv,Vv,chr01,1361620,False,5.985586732174203e-11,3.525378292958305e-10,9.901459873136744e-11,1.3026091389620778e-10,3.6516441473399986e-05,1.3253956729925043e-10,2.689237652816844e-10,3.5562259268355415e-10,3.5408343943649695e-05,4.2243428976227724e-11,1.11896635605599e-10,2.7962075248632352e-05,8.128250053146907e-11,3.489604603786209e-05,0.9998652154591188
