Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.9845180125581005,0.9834121563122505,NA1,Vv,chr01,89866,False,1.8271997566459545e-06,2.0334723532315056e-06,0.00028285028695840465,1.955995603408445e-06,0.0030381046981609564,7.840241122780527e-07,0.00012539350983740055,1.1889345295733665e-06,0.0035050081806554997,0.00023532583162550984,0.00012234366162115193,0.9845180125581005,1.0545925085761084e-06,0.004428006469298974,0.0037361105848778696
rh_chr1_268616,"{NA1,Vv}",0.9945725291949706,0.9941848527088971,NA1,Vv,chr01,263248,False,5.214121148791172e-07,8.934614844720748e-07,0.00020739227578235058,6.964142191477558e-07,0.0008647540785557067,6.32061283057349e-08,3.535264503528701e-05,1.859658372128159e-07,0.0014246011116180498,4.5330583789915486e-05,2.9388082277710097e-05,0.9945725291949706,1.703584510282942e-07,0.002310099448446391,0.0005080217612890035
rh_chr1_334737,"{NA1,Vv}",0.9970258361762759,0.9968133959031528,NA1,Vv,chr01,329439,False,1.5394487577608525e-07,4.6664039766831695e-07,0.00019244947078795026,3.6750230512571237e-07,0.0002866359803319925,2.6885431649701462e-08,5.170979358932656e-05,1.3280167492589646e-07,0.0006855016378239839,4.9073743416806104e-05,3.0866357185928e-05,0.9970258361762759,1.0135486183962572e-07,0.0015096318215394443,0.0001670458895019146
rh_chr1_443667,"{NA1,Vv}",0.9975572942499767,0.9973828152678322,NA1,Vv,chr01,438310,False,6.983526504800927e-08,3.827879729434015e-07,0.0001574673499600622,2.6182264616143327e-07,0.00016380759703308687,1.749732177804399e-08,6.267607859497719e-05,1.3696466117611382e-07,0.0005407609646895064,3.895641179803678e-05,2.3919899544311132e-05,0.9975572942499767,6.798384471064095e-08,0.0013558816131561508,9.82989435352115e-05
rh_chr1_547952,"{NA1,Vv}",0.998039521604847,0.9978994874337647,NA1,Vv,chr01,544389,False,1.2063973770474282e-08,3.255315153815719e-07,0.0001189952654079789,1.712012893057917e-07,3.953790871504646e-05,7.013376621224965e-09,8.032258808594079e-05,1.4210553619255722e-07,0.0004538392310720249,2.132249279635432e-05,1.3481111182897241e-05,0.998039521604847,3.330401446800889e-08,0.0012101247850205402,2.2163793166505997e-05
rh_chr1_631086,"{NA1,Vv}",0.9980049564949843,0.9978624533874833,NA1,Vv,chr01,627268,False,5.042321945524753e-09,3.2260017864084803e-07,0.00010952657494801493,1.705918949325143e-07,2.0787661283512733e-05,6.135193755384697e-09,9.064682985855745e-05,1.5157190115850082e-07,0.0004937604896998843,1.3026403151741739e-05,9.857793295302145e-06,0.9980049564949843,2.5392985028117904e-08,0.001242679846427039,1.4076571876228818e-05
rh_chr1_741516,"{NA1,Vv}",0.9980194208567028,0.9978779509178959,NA1,Vv,chr01,737678,False,4.414869893281825e-09,1.9741729423065814e-07,9.277681409866817e-05,1.4622027625510445e-07,2.126677365933405e-05,8.822690685104929e-09,9.962793651480113e-05,1.826338099567631e-07,0.0004165533669191685,2.326036426302129e-05,1.8288150362266822e-05,0.9980194208567028,4.651135078321442e-08,0.0012865657217682176,2.1653995419835813e-05
rh_chr1_1060803,"{NA1,Vv}",0.9961918970132976,0.9959198896571045,NA1,Vv,chr01,1049416,False,1.585618530090367e-09,4.852875763379301e-08,2.1803962596180832e-05,2.920536402543872e-08,0.0001532766881831894,2.9841059613369325e-09,0.0001035936645847104,2.2342788445236502e-07,0.0007456379462275737,2.5576209323843247e-06,1.2190977532081802e-05,0.9961918970132976,1.761042484497284e-08,0.002411045371966734,0.0003576734125241214
rh_chr1_1170229,"{NA1,Vv}",0.995679577566392,0.9953709759639915,NA1,Vv,chr01,1140710,False,3.8599488338134876e-10,1.9993893381384736e-08,2.7428842435317962e-05,3.414250204704323e-08,0.00018349573611762366,2.9611565119954836e-09,0.0001185253707542829,2.745016107244313e-07,0.0008110524032438687,1.7144792634496164e-06,2.8463774222161918e-05,0.995679577566392,2.8355294742512763e-08,0.0027397250650896114,0.0004096564220293559
rh_chr1_1304008,"{NA1,Vv}",0.9953692727925422,0.9950385065634381,NA1,Vv,chr01,1265000,False,1.363888565447755e-09,5.094832399897108e-08,1.2973688944578698e-05,4.406655530809464e-08,0.00018787694083676775,2.2266101507140706e-08,9.895504126734619e-05,4.584838909742584e-07,0.0008320096897358267,3.7871345350625726e-06,2.8709642234423265e-05,0.9953692727925422,2.4700990399676974e-08,0.0030043824854269854,0.00046143075472628844
rh_chr1_1400565,"{NA1,Vv}",0.9909517215879095,0.9903054159870458,NA1,Vv,chr01,1361620,False,3.55683086001899e-09,9.115368410522145e-08,7.479690607107982e-06,9.740705772245283e-08,0.0003208652076715051,3.7201185797267895e-08,8.740923476490233e-05,6.985435280581158e-07,0.0009934168738826151,4.565463554486437e-06,3.0367906544898258e-05,0.9909517215879095,5.8995105470833504e-08,0.005464157528325423,0.0021390296493476357
rh_chr1_1482273,"{NA1,Vv}",0.9818416816764042,0.9805446589390044,NA1,Vv,chr01,1441962,False,4.731830611031901e-09,1.4404178682075825e-07,6.296085410601576e-06,1.2912519661935262e-07,0.0004517502118850237,9.213696446718384e-08,9.243998003721582e-05,1.3924863530847536e-06,0.0014702276673983538,6.216013029800928e-06,3.303149884705691e-05,0.9818416816764042,1.1205441010879575e-07,0.010692273179647412,0.005404209110798661
rh_chr1_1623606,"{NA1,Vv}",0.9590823051395605,0.9561596126495291,NA1,Vv,chr01,1583376,True,1.5826905044318074e-08,1.6098095788592532e-07,1.303067438991368e-05,7.969205195361297e-07,0.0005891126503010627,1.2477027839242872e-07,7.303223161159201e-05,2.9198929257663775e-06,0.0017391262692437722,2.2546235581295842e-05,0.00016898628307020346,0.9590823051395605,9.752143945351039e-07,0.02902161810051196,0.009285248809748263
