Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Mus,Mus}",0.9982518361780589,0.9981269673336346,Mus,Mus,chr01,89866,False,5.184607481011925e-07,0.0001818751975180599,7.27947005277554e-07,8.635483220862134e-07,7.766282340113763e-07,0.9982518361780589,0.00018210728180956248,0.0009905114628341075,0.0003863858971515825,5.20791752094365e-07,8.649293195806061e-07,7.779749016233339e-07,7.138197016949132e-07,9.163794130450095e-07,6.035032301209256e-07
rh_chr1_268616,"{Mus,Mus}",0.9994065001827955,0.9993641073387095,Mus,Mus,chr01,263248,False,9.241891957368504e-08,6.484643382009254e-05,1.2682572664751665e-07,1.5140883533242392e-07,1.439881575365977e-07,0.9994065001827955,6.510291917622147e-05,0.0003260340031142058,0.00013618108034216234,9.413265629726569e-08,1.5245009191746144e-07,1.4503339625224126e-07,1.2879978471941478e-07,1.7171338600964312e-07,1.2860979759099986e-07
rh_chr1_334737,"{Mus,Mus}",0.9998309567926064,0.9998188822777926,Mus,Mus,chr01,329439,False,4.0922801521303855e-08,1.8147407642163305e-05,5.101340935042404e-08,6.07931422299892e-08,6.283304888893983e-08,0.9998309567926064,1.841388406843618e-05,8.875445115434068e-05,4.314280642286954e-05,4.240204053379532e-08,6.170034875659099e-08,6.376069924264806e-08,5.746562353994657e-08,7.533224916457386e-08,6.843474260217115e-08
rh_chr1_443667,"{Mus,Mus}",0.9998524642830927,0.9998419260175994,Mus,Mus,chr01,438310,True,2.275470098443239e-08,1.9543498232931324e-05,2.9134266413104123e-08,3.4855532364732156e-08,3.7909868978827447e-08,0.9998524642830927,1.9977475115661768e-05,6.639680674924959e-05,4.1272822637495206e-05,2.3956265339921278e-08,3.560618871013923e-08,3.87006335090484e-08,3.230851187568296e-08,4.5864027071669335e-08,4.402417675049949e-08
rh_chr1_547952,"{Mus,Mus}",0.9999024202493529,0.9998954502671639,Mus,Mus,chr01,544389,False,1.1346911866629912e-08,1.3585721550303277e-05,1.398009347889901e-08,1.6696748829155645e-08,1.994927712280117e-08,0.9999024202493529,1.4184013351722194e-05,3.744412381397339e-05,3.2186073885889485e-05,1.227484798942818e-08,1.7287422012574356e-08,2.0602799092073442e-08,1.6317338914885076e-08,2.4360984617527567e-08,2.7001621330726196e-08
rh_chr1_631086,"{Mus,Mus}",0.9997883622906438,0.9997732453114041,Mus,Mus,chr01,627268,True,9.905978177934834e-09,3.7729346498112935e-05,1.2673251576150027e-08,1.526606973271704e-08,1.8281170996234173e-08,0.9997883622906438,3.9541460406485356e-05,5.9953265022687444e-05,7.425034091962244e-05,1.0790194836272113e-08,1.584475929123459e-08,1.8930878659695703e-08,1.4357389021496186e-08,2.2541340310510796e-08,2.4705476572489582e-08
rh_chr1_741516,"{Mus,Mus}",0.9996637571596078,0.9996397398138654,Mus,Mus,chr01,737678,True,8.380827454966357e-09,6.301039426960258e-05,1.1645790573924901e-08,1.3942940026877049e-08,1.6949019950040887e-08,0.9996637571596078,6.644949327676472e-05,8.307501264520967e-05,0.00012356027429216373,9.23627268529352e-09,1.4530110563132438e-08,1.7633960366841914e-08,1.209348425940777e-08,2.0849873511585868e-08,2.2403629183703527e-08
rh_chr1_1060803,"{Mus,Mus}",0.9994805465965899,0.9994434427820607,Mus,Mus,chr01,1049416,False,3.7837234466261045e-09,9.194211877001194e-05,5.985674916299785e-09,6.6474899241222325e-09,9.318333231800793e-09,0.9994805465965899,0.00010004170427151489,0.00010601567397529318,0.0002213741872560936,4.598735270570472e-09,7.251622399905058e-09,1.0190733223626804e-08,5.162299906472978e-09,1.1083778835369953e-08,1.5696746055247823e-08
rh_chr1_1170229,"{Mus,Mus}",0.9995528149200562,0.9995208731286317,Mus,Mus,chr01,1140710,False,1.3261714353689956e-09,7.123489866516576e-05,2.2552100943123133e-09,2.430893301852767e-09,3.4304615988684e-09,0.9995528149200562,7.740022760546639e-05,8.104254396728497e-05,0.00021747314388215243,1.873909177412609e-09,2.8134369740986325e-09,3.983639138798717e-09,1.8306727832553352e-09,4.082408656832082e-09,1.0239020619957018e-08
rh_chr1_1304008,"{Mus,Mus}",0.9995764751995875,0.9995462234281295,Mus,Mus,chr01,1265000,False,8.874848739287912e-10,5.751019644888407e-05,1.7407357110733161e-09,1.7606178622645958e-09,1.971125944725297e-09,0.9995764751995875,6.231445056707718e-05,6.390256539540772e-05,0.0002397690786495419,1.5580871260015427e-09,2.244831543387782e-09,2.672734189742825e-09,1.2141357078421943e-09,2.3422703232423517e-09,1.2117328436651727e-08
