Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.9898374122844391,0.989111513161899,NA1,NA1,chr01,89866,False,2.448282373450666e-05,8.567425284425412e-06,0.0037970615845993277,2.497546603867597e-05,1.7081697257910404e-05,5.052885031436337e-06,0.0013478120323583954,8.196445336368083e-06,8.058175262953013e-06,0.9898374122844391,0.0027937118917833615,0.002095233704467074,1.1880131352163175e-05,1.3282359240943e-05,7.191093813548884e-06
rh_chr1_268616,"{NA1,NA1}",0.9982087114150244,0.9980807622303833,NA1,NA1,chr01,263248,False,2.6412972768316456e-06,6.923570065808461e-07,0.0007000683917667846,2.013463237248379e-06,1.5956302372939923e-06,3.763023592559485e-07,0.00021909838438638715,6.014011754163019e-07,6.263482242911871e-07,0.9982087114150244,0.000484835351132214,0.00037606932549940394,9.150509392119482e-07,1.0503947267707653e-06,7.048870079542028e-07
rh_chr1_334737,"{NA1,NA1}",0.9994468895685849,0.9994073816806266,NA1,NA1,chr01,329439,False,1.199178613578676e-06,2.2459357338317364e-07,0.00024969023978206237,6.750844569480596e-07,6.558241724325967e-07,1.1242467819785522e-07,5.2350466305307605e-05,1.7727164213009703e-07,1.9741579516448297e-07,0.9994468895685849,0.00012219650843002717,0.00012471132486082073,2.868152639491478e-07,3.4324533709362115e-07,2.9003850425425975e-07
rh_chr1_443667,"{NA1,NA1}",0.9996859750305057,0.9996635446755419,NA1,NA1,chr01,438310,False,4.956579001463811e-07,5.1219691268298946e-08,0.00016429588804715815,1.7505365843313808e-07,2.6901507167632126e-07,2.98622227438182e-08,1.97211334064148e-05,4.686494460248811e-08,4.6415640114426595e-08,0.9996859750305057,5.010956881063797e-05,7.851546763829829e-05,7.614399772752942e-08,8.980922054849148e-08,1.028692444509134e-07
rh_chr1_547952,"{NA1,NA1}",0.9998624782460186,0.9998526552635914,NA1,NA1,chr01,544389,False,6.94519134309946e-08,7.455603622665217e-09,6.872432810559311e-05,2.5590094339356855e-08,3.861619540824438e-08,3.856935414714525e-09,1.021342240896166e-05,6.61525623330442e-09,6.5438917889500375e-09,0.9998624782460186,2.36340026034742e-05,3.4753172148735694e-05,1.103096314414356e-08,1.31403312171656e-08,1.4527530112105228e-08
rh_chr1_631086,"{NA1,NA1}",0.999947616999114,0.9999438753561937,NA1,NA1,chr01,627268,False,3.651553894756291e-08,4.063941059383128e-09,2.4269194301970713e-05,1.3588095815314494e-08,2.021962106911869e-08,1.908489053558054e-09,4.1868819819516325e-06,3.422290656058248e-09,3.419507165083798e-09,0.999947616999114,1.0247743505110406e-05,1.3575684791147415e-05,5.8024661221591124e-09,6.964374852230534e-09,7.591980980903075e-09
rh_chr1_741516,"{NA1,NA1}",0.9999037063803866,0.9998968282646999,NA1,NA1,chr01,737678,True,2.496039806810712e-08,3.5378302392139193e-09,3.3338427881065274e-05,1.0719363945514186e-08,1.558685990788562e-08,1.371783068316529e-09,1.5426905148239734e-05,2.8414038839163884e-09,2.8833778007076006e-09,0.9999037063803866,2.2750838310095922e-05,2.4700358158328103e-05,4.168216580686787e-09,5.643169251561194e-09,5.377712953473146e-09
rh_chr1_1060803,"{NA1,NA1}",0.9999465168351039,0.9999426966090399,NA1,NA1,chr01,1049416,False,1.884093817933254e-09,2.3488782472744697e-10,1.7325759201169008e-05,1.136888232060405e-09,1.381689820845548e-09,8.51472022801513e-11,5.349330237865851e-06,1.9980537621206789e-10,2.1191945631285566e-10,0.9999465168351039,1.6372038614377746e-05,1.4429118834171597e-05,5.065198135233439e-10,6.873224906039341e-10,5.897344122756238e-10
rh_chr1_1170229,"{NA1,NA1}",0.99998817876876,0.9999873343951,NA1,NA1,chr01,1140710,False,3.8126686003574334e-10,5.281756843412053e-11,2.925490543281574e-06,2.488862280691467e-10,3.663430536581964e-10,1.6448835952067774e-11,1.0635638690634167e-06,5.277740849788101e-11,6.091563593267345e-11,0.99998817876876,3.9784057504592975e-06,3.851940933212905e-06,1.5740650614668695e-10,2.1326748774530217e-10,2.800142981956814e-10
rh_chr1_1304008,"{NA1,NA1}",0.9999772072032769,0.999975579146368,NA1,NA1,chr01,1265000,False,1.6526770525829534e-10,3.821838917654666e-11,3.97948669704835e-06,1.4887339836177539e-10,2.4495225775680116e-10,1.4933201662979018e-11,2.1508681509905444e-06,5.3837231453966765e-11,5.86704361880362e-11,0.9999772072032769,6.321671813086121e-06,1.0339384019965725e-05,1.4442632611550238e-10,1.9362127990959204e-10,3.2324186950512293e-10
rh_chr1_1400565,"{NA1,NA1}",0.9999459644076303,0.999942104722461,NA1,NA1,chr01,1361620,False,1.2349007126652266e-10,5.093247001553398e-11,7.771457730868956e-06,1.669557944739433e-10,2.8398013613347837e-10,2.2907047431745534e-11,3.2305606550598375e-06,8.65367794519028e-11,7.23943666869714e-11,0.9999459644076303,1.4433773235685117e-05,2.8597949260144635e-05,2.11713834038905e-10,2.805926355583056e-10,5.519847627666124e-10
rh_chr1_1482273,"{NA1,NA1}",0.9999300364015467,0.9999250390016571,NA1,NA1,chr01,1441962,False,1.1117965548580709e-10,8.297350610660977e-11,7.866401202368447e-06,2.3432518527202746e-10,3.095355502851407e-10,3.432909184440288e-11,3.1220154222223662e-06,1.2068949481874542e-10,1.2448244351160657e-10,0.9999300364015467,2.5889444002129573e-05,3.3083275922132786e-05,3.163016317121228e-10,5.663198416909478e-10,5.617680924287332e-10
rh_chr1_1623606,"{NA1,NA1}",0.9998238712684169,0.9998112906447324,NA1,NA1,chr01,1583376,True,3.922548929357945e-10,4.840875038304678e-10,2.8301917481523185e-05,1.2058233476229537e-09,1.157845746585578e-09,2.4796067047884713e-10,2.1887354199626056e-05,9.011737540604786e-10,8.764125021311129e-10,0.9998238712684169,7.162779325472488e-05,5.4301411830650095e-05,1.461026831084043e-09,2.228810336000427e-09,1.2994212753346506e-09
rh_chr1_1879893,"{NA1,NA1}",0.9997611461716753,0.9997440851839379,NA1,NA1,chr01,1839399,False,4.3490979559833677e-10,6.145450075945561e-10,3.273017076911466e-05,2.0822131854127052e-09,1.4471284167553151e-09,2.6779156174897625e-10,2.3206476598909983e-05,1.33945641521478e-09,1.0627305263684562e-09,0.9997611461716753,0.0001225293746599484,6.03718723596848e-05,2.9552378743949347e-09,3.813766895335198e-09,1.916157378501136e-09
rh_chr1_1999515,"{NA1,NA1}",0.9998027653132417,0.9997886771213305,NA1,NA1,chr01,1959058,False,2.0267948206807688e-10,2.9982127117259627e-10,2.2453135019498898e-05,1.419440832563764e-09,6.354505793077203e-10,1.196102509471005e-10,1.2710733067356677e-05,5.363175236877374e-10,4.760697347490426e-10,0.9998027653132417,0.0001305605673352605,3.1501872943272174e-05,2.327774118575677e-09,1.7059790322962686e-09,6.552500290479919e-10
rh_chr1_2145831,"{NA1,NA1}",0.9998537731866181,0.9998433284142336,NA1,NA1,chr01,2106048,False,4.029841146557147e-11,7.077794973842648e-11,1.8602156690852753e-05,3.131416986807599e-10,1.1858689633565683e-10,2.7292833046749166e-11,1.2853493449656204e-05,2.053117312335048e-10,9.666294888981928e-11,0.9998537731866181,9.113468811107268e-05,2.3634653101801895e-05,4.945215647707786e-10,3.6669928485238373e-10,8.873520547396018e-11
rh_chr1_2306205,"{NA1,NA1}",0.9998878235612378,0.9998798109584691,NA1,NA1,chr01,2265211,False,4.316661940676921e-11,7.600953017160213e-11,1.4128715545215655e-05,3.592659805476474e-10,1.1601254090183469e-10,2.670668219716585e-11,9.70950935759049e-06,2.640175459847395e-10,8.750377568009783e-11,0.9998878235612378,7.123207264192748e-05,1.7104013806327234e-05,6.645278520995705e-10,4.3501866445919026e-10,5.518188341340426e-11
rh_chr1_2424927,"{NA1,NA1}",0.9999166916866756,0.9999107410928667,NA1,NA1,chr01,2384046,False,4.332656907852853e-11,7.537372562869668e-11,8.306364233687924e-06,3.3768092615574037e-10,1.3152268015314205e-10,2.5151878484538673e-11,3.5723628749263424e-06,1.795988894870423e-10,7.964580660937603e-11,0.9999166916866756,6.077820094203687e-05,1.0649130971052425e-05,8.588652337971638e-10,4.837684547226143e-10,3.936839881701158e-11
rh_chr1_2618562,"{NA1,NA1}",0.9999578094144619,0.9999547958012092,NA1,NA1,chr01,2577582,False,6.71642276949709e-11,4.707262332165194e-11,9.079328619273834e-06,2.9085586681414005e-10,6.533689168219884e-11,2.463766809226288e-11,2.4114510040592193e-06,2.1482385774569622e-10,5.101031844670023e-11,0.9999578094144619,2.7222136606962136e-05,3.476126797453538e-06,4.832512520726446e-10,2.644476617633024e-10,3.391001574408059e-11
rh_chr1_2718543,"{NA1,NA1}",0.9999592161499942,0.9999563030178509,NA1,NA1,chr01,2677534,False,7.330493604703127e-11,7.390373062007806e-11,5.6260420614709935e-06,2.880235739270942e-10,8.407598075005643e-11,3.450659315395445e-11,2.6703448627569827e-06,2.2969752533340045e-10,5.516093509092741e-11,0.9999592161499942,2.9227542079801433e-05,3.258349025893368e-06,4.6042136165497753e-10,2.3573767474359685e-10,3.714365614273055e-11
rh_chr1_2822616,"{NA1,NA1}",0.9998910549041439,0.9998832731115828,NA1,NA1,chr01,2781082,True,1.7684392131585614e-10,2.219791378301218e-10,1.944087288820094e-05,6.671595410783287e-10,2.2234698287275652e-10,1.5577843759208177e-10,1.465853172484126e-05,6.690889841477303e-10,1.8163319668013838e-10,0.9998910549041439,5.8406215623514747e-05,1.6435551211916285e-05,9.289145052999971e-10,5.765324927415957e-10,1.2413044535624814e-10
rh_chr1_2955463,"{NA1,NA1}",0.9998434668492631,0.9998322859099247,NA1,NA1,chr01,2913710,False,2.4795978610850243e-10,4.182004509990094e-10,2.7171145612151983e-05,1.0597747787983327e-09,3.7062893496727746e-10,3.3331578820441304e-10,2.0021854709320308e-05,1.3148198789678388e-09,3.5197010314299067e-10,0.9998434668492631,8.59984075044899e-05,2.3335142390883118e-05,1.3955853584802576e-09,9.26507080149469e-10,1.8175797998962004e-10
rh_chr1_3008587,"{NA1,NA1}",0.9998375616791475,0.9998259589419437,NA1,NA1,chr01,2966940,True,2.2469738030093508e-10,4.4218935747176174e-10,2.71285467967139e-05,1.0823366645053712e-09,3.7008877226282113e-10,2.694320502195307e-10,1.842861334845595e-05,1.4397959209864616e-09,3.6816886621988656e-10,0.9998375616791475,9.391971049196872e-05,2.295474758479351e-05,1.4127884518025713e-09,9.338701193925344e-10,1.592630604569652e-10
rh_chr1_3077430,"{NA1,NA1}",0.9998405303800592,0.9998291396929205,NA1,NA1,chr01,3035452,False,1.555741424173049e-10,3.9812502856299737e-10,2.4422066923170823e-05,8.907856952468956e-10,2.777256224589171e-10,1.847571570792831e-10,1.371898741654471e-05,1.426940333642451e-09,3.192458745191322e-10,0.9998405303800592,0.00010151307883471723,1.9809733595070262e-05,1.2740370402413508e-09,7.286565143704607e-10,9.732384286204716e-11
rh_chr1_3142598,"{NA1,NA1}",0.9998248585032725,0.9998123483963635,NA1,NA1,chr01,3100650,False,1.9413695679688901e-10,5.207746893298386e-10,2.320334441940998e-05,1.2166491768928873e-09,3.801199517030346e-10,2.1631552779559252e-10,1.9676094555357216e-05,2.0166467960040793e-09,4.042895830850911e-10,0.9998248585032725,0.00011422231280666324,1.8031949310029217e-05,1.7777236843145526e-09,9.582559781958573e-10,1.1072377768564268e-10
rh_chr1_3325315,"{NA1,NA1}",0.9998291009744422,0.9998168939011881,NA1,NA1,chr01,3282755,False,1.3226549418979007e-10,2.9925334689667276e-10,7.232488894853107e-06,4.973809142444088e-10,2.5469771042923844e-10,1.4659976553896592e-10,2.192058098066844e-05,2.7159644961574412e-09,2.5165079210506486e-10,0.9998291009744422,0.00013564525323559346,6.09373604433774e-06,2.1282650791548056e-09,4.3439422012099147e-10,1.0593063608573685e-10
rh_chr1_3523735,"{NA1,NA1}",0.9998119557028379,0.9997985239673263,NA1,NA1,chr01,3481846,False,2.1628643224979466e-10,4.4356935343710776e-10,1.2687886879039308e-05,9.325274561827442e-10,3.4513498902700593e-10,3.793311228589918e-10,3.2449566525245966e-05,2.389282827951577e-09,4.3740151972382953e-10,0.9998119557028379,0.00012989062257614558,1.300743742846745e-05,2.4870535980233724e-09,9.370598975854358e-10,2.161060585358509e-10
rh_chr1_3758335,"{NA1,NA1}",0.999719827721464,0.9996998154158543,NA1,NA1,chr01,3716202,False,2.6460127934056284e-10,5.424948330864714e-10,4.3967764268676124e-05,1.0877042315915339e-09,4.243037339858358e-10,5.092309901842431e-10,6.331503155045443e-05,1.5668240651226986e-09,6.089109115707749e-10,0.999719827721464,0.00012449116152777408,4.839063600719277e-05,1.2140940901301603e-09,1.1538626964804172e-09,3.1315508169896687e-10
rh_chr1_3875541,"{NA1,NA1}",0.9996334249808231,0.9996072410508818,NA1,NA1,chr01,3833574,True,1.2188942667038382e-09,2.935874333362209e-09,6.608869437074184e-05,4.409800387043956e-09,2.5734532760540083e-09,2.2229984540398755e-09,8.873304957463333e-05,5.359765240565856e-09,3.4020250599371095e-09,0.9996334249808231,0.0001375467212831475,7.417500685116428e-05,3.199234672427671e-09,4.722957278818508e-09,1.5020944457324277e-09
rh_chr1_3959025,"{NA1,NA1}",0.9995925252835791,0.999563419946692,NA1,NA1,chr01,3919488,True,1.8066809141587836e-09,4.735250629141872e-09,7.666897252453034e-05,6.562386379804916e-09,4.255887635525607e-09,3.386628466401579e-09,0.00010175606670814334,7.788381341887191e-09,5.592804802033158e-09,0.9995925252835791,0.00014154924433755595,8.745278656162742e-05,4.186440041652336e-09,7.05205065601413e-09,2.2797781505245487e-09
rh_chr1_4330482,"{NA1,NA1}",0.9996336677307242,0.9996075011400616,NA1,NA1,chr01,4291652,False,1.6447213358257396e-09,3.836167711937041e-09,6.769171834978704e-05,4.416163551132379e-09,3.6521732960792193e-09,5.999318764696854e-09,0.00010367467773929303,5.390619121458954e-09,6.739487862875475e-09,0.9996336677307242,0.00010457722669997087,9.034601616542695e-05,3.0169670839214255e-09,5.1022666365772035e-09,2.8324358752788427e-09
