Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.8583670170353747,0.8482503753950443,NA2,Vv,chr01,89866,False,0.0002510149366601589,0.0003587090722583967,0.0005070095294517073,0.06471924832614376,0.0021715589148511285,5.1752794457926036e-05,7.757218755584744e-05,0.009042145790540211,0.003643853466942295,0.0001545605547801017,0.007278116623359592,0.0018493955767737524,0.04783928909945513,0.8583670170353747,0.0036887560913953427
rh_chr1_268616,"{NA2,Vv}",0.8792747569521804,0.8706515253059075,NA2,Vv,chr01,263248,False,0.00012495859192593805,0.00012070142228087343,0.0004508668958546228,0.06556899761266594,0.0013188830514578851,1.6389583979498448e-05,2.8942331528266077e-05,0.003720409422067741,0.0014372201744859384,0.00013890552910376074,0.005963776251401516,0.001048202230006003,0.03917631128778258,0.8792747569521804,0.001610678663279057
rh_chr1_334737,"{NA2,Vv}",0.8885813572712468,0.8806228827906215,NA2,Vv,chr01,329439,False,6.0898749814887526e-05,3.416685092141474e-05,0.00019337912518508187,0.06559808774987162,0.0007898639117719041,1.0978561660964593e-05,1.773255968295318e-05,0.001756376463424208,0.0005894864975171193,8.895107744532866e-05,0.0049675795533093954,0.0005062785328491413,0.03598663998567786,0.8885813572712468,0.0008182231096214343
rh_chr1_443667,"{NA2,Vv}",0.8930677806402559,0.8854297649717028,NA2,Vv,chr01,438310,True,5.379157041374636e-05,2.2027013658438283e-05,0.0001499381467089061,0.06332150156364559,0.0007344376232030804,7.11114151816851e-06,1.1705248988760662e-05,0.001403511020166248,0.00047066825308804254,6.15881388854735e-05,0.004595109473245003,0.0004389806992044173,0.03496388635621078,0.8930677806402559,0.0006979631108075036
rh_chr1_547952,"{NA2,Vv}",0.8975069931779306,0.8901860641192113,NA2,Vv,chr01,544389,False,4.6667365964525176e-05,1.076233276940795e-05,0.00011040853823234359,0.0611098968128496,0.0006682615524486415,4.272881193590463e-06,6.614878784269557e-06,0.0010448308764918841,0.0003489701590167436,3.84170836659731e-05,0.004215083883713144,0.00036337201806686803,0.03395206999270533,0.8975069931779306,0.0005733784461672075
rh_chr1_631086,"{NA2,Vv}",0.910196357068522,0.903781811144845,NA2,Vv,chr01,627268,False,3.552978983298274e-05,8.524857274864063e-06,8.351123121133931e-05,0.05325110216973373,0.0006526240779359505,2.6468075861999603e-06,4.6135751130802725e-06,0.000911669651935465,0.0002880758135244037,2.5852673162142662e-05,0.0036322345886563258,0.00032351748208033117,0.03007174072783717,0.910196357068522,0.0005119994855940558
rh_chr1_741516,"{NA2,Vv}",0.9272326622801336,0.9220349953001431,NA2,Vv,chr01,737678,False,2.2722931175311643e-05,5.580902462306791e-06,5.324262655651882e-05,0.04282368061353964,0.0005978286353638751,1.0275187841802089e-06,2.3571901746790216e-06,0.0006911165646620297,0.00020204785382653512,1.2665872362695464e-05,0.00281243724175761,0.00025822309243004373,0.024860892387328467,0.9272326622801336,0.0004235142894425988
rh_chr1_1060803,"{NA2,Vv}",0.9772618956375531,0.9756377453259497,NA2,Vv,chr01,1049416,False,2.185015308070147e-06,3.029001386880434e-07,5.731161085809002e-06,0.012305030744981965,0.00024663503303980205,5.162859476957587e-08,1.121271237575569e-07,0.00011755155501453153,3.289715018414021e-05,1.419868105942512e-06,0.0009931609874621263,0.00010346003810272467,0.008778341765128648,0.9772618956375531,0.0001512243881759883
rh_chr1_1170229,"{NA2,Vv}",0.9940417655319642,0.993616177355676,NA2,Vv,chr01,1140710,False,2.2231584088142129e-07,4.3105752757291814e-08,7.055303543490259e-07,0.0020588863791910703,7.848559318966228e-05,6.3835331402752705e-09,1.7194611491053836e-08,2.7543340413046286e-05,1.0705283969356977e-05,1.9746912095946844e-07,0.00021531813029345196,3.328073889469895e-05,0.003465478646277467,0.9940417655319642,6.734435659337416e-05
rh_chr1_1304008,"{NA2,Vv}",0.9994944577866248,0.9994583476285266,NA2,Vv,chr01,1265000,False,2.578175990440702e-08,5.2599400118467256e-09,8.205325991340147e-08,0.00021930540252195147,5.2969638646549365e-06,8.985993818967875e-10,3.114105716097041e-09,1.04929167009054e-05,1.3703053797839779e-06,4.5712251524542805e-08,3.9410586239263524e-05,3.161996554957969e-06,0.00021831198756787503,0.9994944577866248,8.029234629345152e-06
