Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA2}",0.9912407358246194,0.9906150740978065,NA1,NA2,chr01,89866,False,3.22843302780274e-06,3.5745338977650875e-06,0.0009239041194704108,0.00035252905393552995,3.660663691040008e-06,3.097558513432957e-06,0.0008910683588738691,0.0003566114464835632,3.5939099426024444e-06,0.0036456863600204223,0.9912407358246194,0.0009275626378682407,0.0012843800667494305,0.00035710174774349686,3.2652851630251086e-06
rh_chr1_268616,"{NA1,NA2}",0.9938018378521679,0.9933591119844656,NA1,NA2,chr01,263248,False,1.3992213529314093e-06,1.5731459759386131e-06,0.0006314262445598699,0.0002331395057231776,1.636418694780028e-06,1.2977700921446356e-06,0.0005974856773189224,0.0002374999844029993,1.5833205928878543e-06,0.0026345402072717053,0.9938018378521679,0.0006351812110614531,0.0009819986164593694,0.00023798364042100387,1.4171839048620737e-06
rh_chr1_334737,"{NA1,NA2}",0.9948490098706343,0.994481082004251,NA1,NA2,chr01,329439,True,9.01888328899696e-07,1.0533598078834968e-06,0.0005233046085259863,0.00018517859926429363,1.106649192416588e-06,8.171201140544176e-07,0.0004885971071184555,0.00018808420917675395,1.0614955260140345e-06,0.0022682023968953256,0.9948490098706343,0.0005268756897911299,0.0007758261951285378,0.00018906447802812676,9.16332467852502e-07
rh_chr1_443667,"{NA1,NA2}",0.996610332805822,0.9963682137205235,NA1,NA2,chr01,438310,True,3.352675887612892e-07,4.093702406422136e-07,0.00034070502434379403,0.00010176075477098824,4.455253585759703e-07,2.797993207201611e-07,0.0003047273524617298,0.00010228975366422762,4.1458317284950593e-07,0.0016591995169665797,0.996610332805822,0.0003439722865631974,0.0004307018829577195,0.00010408131112807413,3.447656400716494e-07
rh_chr1_547952,"{NA1,NA2}",0.9983731716949041,0.9982569696731116,NA1,NA2,chr01,544389,False,7.339339021992158e-08,7.367088532016735e-08,0.0001570100640350362,1.5013876354912381e-05,9.220684957938412e-08,4.866435986565974e-08,0.00011978400463404307,1.324580923448829e-05,7.664279564013344e-08,0.0010582346613729925,0.9983731716949041,0.00015997956658693637,8.729516375225536e-05,1.582152802644593e-05,7.905281801712206e-08
rh_chr1_631086,"{NA1,NA2}",0.9985660423570893,0.9984636168111671,NA1,NA2,chr01,627268,False,3.516976159242249e-08,3.638475625672835e-08,0.00014223655535340355,1.0372459208292248e-05,4.990153864882737e-08,1.9493242354102463e-08,0.00010275494696422725,8.068856213864355e-06,3.883441280031088e-08,0.0009571528217797542,0.9985660423570893,0.00014531940753140859,5.6657969834809104e-05,1.1175051334387769e-05,3.979097888785756e-08
rh_chr1_741516,"{NA1,NA2}",0.9988864517301644,0.9988069125680333,NA1,NA2,chr01,737678,False,2.478769076608319e-08,2.856743068076964e-08,0.00011985462794920836,1.8855907307895178e-05,4.122905777810268e-08,1.1390989994075062e-08,7.716662820802916e-05,1.3599274072822617e-05,3.0432924904182625e-08,0.0006727819064865132,0.9988864517301644,0.0001227960828030924,6.852428258236994e-05,1.9805076379516306e-05,2.8075951799658487e-08
rh_chr1_1060803,"{NA1,NA2}",0.9996356548987307,0.9996096302486401,NA1,NA2,chr01,1049416,True,2.171919418470944e-09,3.6013483878960134e-09,3.665132513038251e-05,9.774075389767588e-06,4.420632609469958e-09,1.9310746822828843e-09,3.4227677229733355e-05,8.729624330313806e-06,3.935685819263773e-09,0.0001988783411860944,0.9996356548987307,3.747522359828771e-05,2.8113850757752925e-05,1.0476216498502972e-05,2.7064875415088792e-09
rh_chr1_1170229,"{NA1,NA2}",0.9999152377188529,0.9999091832701996,NA1,NA2,chr01,1140710,False,3.1692340359995747e-10,5.630277443654806e-10,5.809541624065878e-06,1.097708035464984e-06,6.997737929674741e-10,6.632315538166814e-10,1.502414427406235e-05,1.3241212679933938e-06,7.312555475932234e-10,4.907187613784388e-05,0.9999152377188529,6.021512792565386e-06,4.6820423754935435e-06,1.7277760665128749e-06,5.843610476728896e-10
rh_chr1_1304008,"{NA1,NA2}",0.9999517032394,0.9999482534707856,NA1,NA2,chr01,1265000,False,1.3746853527101353e-10,2.036858629763765e-10,1.9587599807187234e-06,1.9654569745557346e-06,3.251570552191991e-10,7.776765338468898e-10,1.4975946037343886e-05,3.496334430787753e-06,3.4685663171962517e-10,1.630425927094898e-05,0.9999517032394,2.131171258793182e-06,2.67196763682275e-06,4.790769542728964e-06,3.046228165085237e-10
rh_chr1_1400565,"{NA1,NA2}",0.9999497146628283,0.9999461228530304,NA1,NA2,chr01,1361620,False,8.591611266470032e-11,2.033229783385396e-10,1.6970203901731097e-06,5.89979385893683e-06,1.7913150877655214e-10,4.6107696510073405e-10,6.682606184842822e-06,1.7375392944340577e-06,3.0167812314760234e-10,1.147306127775874e-05,0.9999497146628283,2.019684174174853e-06,3.5713626006642823e-06,1.7202890520839248e-05,1.477442479691882e-10
rh_chr1_1482273,"{NA1,NA2}",0.999891052386152,0.9998832704137343,NA1,NA2,chr01,1441962,False,2.445849217973311e-10,4.0280981992611085e-10,8.002763078740596e-06,8.936458485866023e-06,6.35931672970739e-10,4.4070408339345523e-10,1.2315514354971356e-05,5.2732387849143135e-06,6.945376284502726e-10,3.2962676628668216e-05,0.999891052386152,8.854432622069328e-06,1.3219558746245432e-05,1.9380047914258e-05,5.046641503085611e-10
rh_chr1_1623606,"{NA1,NA2}",0.9998188798745644,0.9998059427227476,NA1,NA2,chr01,1583376,True,8.307885490460531e-10,1.4778238478371543e-09,1.5914922887275624e-05,1.6202253256240047e-05,1.5019061487866942e-09,1.0508839138431254e-09,2.0351822148183058e-05,1.3888223172759393e-05,1.5912101006497964e-09,5.0188250718602605e-05,0.9998188798745644,1.4111815352634516e-05,2.9280537075672714e-05,2.1175018860508383e-05,8.293510378127895e-10
rh_chr1_1879893,"{NA1,NA2}",0.9998499998385593,0.9998392855413135,NA1,NA2,chr01,1839399,False,6.210531830870418e-10,1.3314115887978254e-09,1.3977203959311124e-05,1.3165200635874581e-05,6.06537394452853e-10,8.717938116051153e-10,1.8702606262914425e-05,1.3256633405854296e-05,6.484252512506235e-10,4.921113171438531e-05,0.9998499998385593,7.311107592947796e-06,2.606878073541987e-05,8.303089465212509e-06,3.2844759395888616e-10
rh_chr1_1999515,"{NA1,NA2}",0.9999298135063652,0.9999248001853913,NA1,NA2,chr01,1959058,False,1.719080081571567e-10,3.6680167323890014e-10,4.8866505614344126e-06,3.21233616883744e-06,1.9992971985150288e-10,2.3055379043272317e-10,8.431835819463707e-06,3.3804896331763396e-06,2.1815123035297344e-10,3.536334909222767e-05,0.9999298135063652,3.0187232304685327e-06,9.622989967660101e-06,2.2688321121593275e-06,9.970483110739117e-11
