Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.8450567365970636,0.833989360639711,Vv,Vv,chr01,89866,False,4.763420016481252e-05,1.4405679303684989e-05,1.728834433067333e-05,7.273691640264877e-05,0.051854198223119964,2.17384762086556e-06,3.877062657849453e-06,3.764678864819247e-05,0.0005572024015114208,4.484920268777296e-06,4.317243074698305e-05,0.0057068484304722755,8.625099781468406e-05,0.0964953431598736,0.8450567365970636
rh_chr1_268616,"{Vv,Vv}",0.8510371084295179,0.8403969018887691,Vv,Vv,chr01,263248,False,2.5647150243373044e-05,3.2705477341682157e-06,4.3836682447743445e-06,3.191776276093884e-05,0.04894312418451927,3.270408037711241e-07,6.490105586136219e-07,1.064842808441777e-05,0.00031117676059972706,8.900895519502584e-07,1.2682667443924006e-05,0.003907136655663423,2.863899408373776e-05,0.09568239861019012,0.8510371084295179
rh_chr1_334737,"{Vv,Vv}",0.8521634419617922,0.8416036878162059,Vv,Vv,chr01,329439,False,2.28256785106635e-05,2.178447696843172e-06,3.1105560325044052e-06,2.7486875442791055e-05,0.048250597901932424,2.3586706713986249e-07,4.947307091013509e-07,8.42099343721638e-06,0.0002510414938931093,6.70615515712312e-07,1.0218273794446334e-05,0.0034900838773278013,2.29677758975484e-05,0.09574622495095042,0.8521634419617922
rh_chr1_443667,"{Vv,Vv}",0.8537933474603104,0.8433500151360469,Vv,Vv,chr01,438310,False,1.4123178335668722e-05,1.4448911637947161e-06,2.0464840287852223e-06,2.0407037766504767e-05,0.0461927151562944,1.302467731832562e-07,2.8598271066569596e-07,4.906941566541051e-06,0.0001950286359228685,3.7284216535004384e-07,6.168485863942178e-06,0.0030621975228638278,1.4174859518154059e-05,0.0966926502747159,0.8537933474603104
rh_chr1_547952,"{Vv,Vv}",0.8554148686307551,0.8450873592472377,Vv,Vv,chr01,544389,False,5.8143978663414045e-06,5.841873127766801e-07,8.054379456621288e-07,1.1456047562290364e-05,0.04418787277077942,6.381493259070972e-08,1.0656367747891334e-07,1.045660584124618e-06,0.0001237926349195218,1.1083227498019317e-07,1.523775726747947e-06,0.0026318593553029514,4.906743249375059e-06,0.09761518914711059,0.8554148686307551
rh_chr1_631086,"{Vv,Vv}",0.8623685315023156,0.8525377123239096,Vv,Vv,chr01,627268,False,4.9199662143807565e-06,6.54495353376259e-07,8.292406105911413e-07,1.3313357710030634e-05,0.038536569925751496,4.096651256473775e-08,7.336254796107708e-08,7.209953766929188e-07,0.00013850327596009567,6.882963681336317e-08,1.0813557691766912e-06,0.002089468242602504,3.948929491015145e-06,0.09684127555414772,0.8623685315023156
rh_chr1_741516,"{Vv,Vv}",0.8704098409184748,0.8611534009840802,Vv,Vv,chr01,737678,False,3.6819124207454466e-06,7.887806690108473e-07,9.2461532266034e-07,1.6285763781917413e-05,0.03079456347724921,3.724165436356792e-08,8.82680846295114e-08,8.271681611825063e-07,0.00017209028292004553,7.152253172090538e-08,1.2909183695210687e-06,0.0016542444647337329,4.779436924015846e-06,0.09694048522870234,0.8704098409184748
rh_chr1_1060803,"{Vv,Vv}",0.8923867815518474,0.884700123091265,Vv,Vv,chr01,1049416,False,5.466615880857767e-07,6.738529573444092e-07,7.002094311431965e-07,8.861392425259104e-06,0.009319532163787895,4.7922164137646126e-08,8.680942382946807e-08,1.1166977304545855e-06,0.00040945926156713756,5.731271986654448e-08,1.5758828264146614e-06,0.001210439260621051,2.6830170126176677e-06,0.09665743800389738,0.8923867815518474
rh_chr1_1170229,"{Vv,Vv}",0.8989032533482048,0.8916820571587908,Vv,Vv,chr01,1140710,False,1.9252078135743902e-07,3.417119647003355e-07,4.488444231108437e-07,3.0470864005316553e-06,0.003072615115083056,3.6847710780044765e-08,6.898516225503045e-08,4.941201700058537e-07,0.0004226451832923489,4.099216336550809e-08,9.362296431880934e-07,0.0010345958077588313,9.089423073056478e-07,0.09656037426493433,0.8989032533482048
rh_chr1_1304008,"{Vv,Vv}",0.896888921619524,0.8895238445923472,Vv,Vv,chr01,1265000,False,1.1706581810718859e-07,1.7663354350563695e-07,4.376079699047843e-07,9.579874394836595e-07,0.0021047709278116224,4.0047399952407975e-08,8.152721993682516e-08,3.5734991930059355e-07,0.0008238595569874222,4.3264914546123675e-08,1.1115806648964637e-06,0.0012365058697068056,1.6763432710334106e-07,0.09894245132675336,0.896888921619524
