Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.9539368118507681,0.9506465841258229,NA2,NA2,chr01,89866,False,0.00017243052398140297,6.721799949348927e-05,8.790382802162506e-05,0.031281399392073035,9.25922716824101e-05,5.9067921730822175e-06,1.4163858734935208e-05,0.002410870438204808,1.8801788545226127e-05,1.635159704955424e-05,0.0039595051318661685,2.866147895190971e-05,0.9539368118507681,0.007877411214797363,2.9971833656986056e-05
rh_chr1_268616,"{NA2,NA2}",0.9615876130536136,0.9588438711288717,NA2,NA2,chr01,263248,False,1.6368573868675876e-05,6.601781162545151e-06,8.409495341367626e-06,0.02931540576491144,8.831243047872197e-06,5.462340975177024e-07,1.1739259378836776e-06,0.0009171300465237488,1.7274754274726477e-06,1.5184807273428925e-06,0.0019387418041914774,2.5535683147346897e-06,0.9615876130536136,0.006190493954202026,2.8845986322602543e-06
rh_chr1_334737,"{NA2,NA2}",0.963233490785462,0.9606073115558522,NA2,NA2,chr01,329439,False,2.560570067407984e-06,1.140558369956836e-06,1.6306478874197426e-06,0.02890731977029453,1.3522683173503662e-06,3.0170156789021916e-07,5.930467336841754e-07,0.0005656700608946865,5.125794965275289e-07,7.174955971582289e-07,0.0014731632844029983,7.428685351712042e-07,0.963233490785462,0.005810284001112753,5.203612604079664e-07
rh_chr1_443667,"{NA2,NA2}",0.9720068780822327,0.9700073693738208,NA2,NA2,chr01,438310,False,1.264556981267043e-06,4.41167759862189e-07,7.093418495119162e-07,0.0229437408879495,4.90208127667239e-07,1.2509259323917645e-07,2.1464306661412663e-07,0.000375109197129348,2.019786737780474e-07,2.493514138030572e-07,0.0010696004743951581,2.5188153484213795e-07,0.9720068780822327,0.003600547822387395,1.753139052238269e-07
rh_chr1_547952,"{NA2,NA2}",0.9769042172864275,0.9752545185211723,NA2,NA2,chr01,544389,False,1.2321019196972615e-06,3.6108189004692756e-07,6.990869034879016e-07,0.019627117651462245,4.436924985169501e-07,9.211209584011597e-08,1.5108076443748886e-07,0.0002570347235255767,1.750307740205276e-07,1.7318718919486032e-07,0.0008464880986847491,2.037489999335211e-07,0.9769042172864275,0.002361468959350456,1.421575143296251e-07
rh_chr1_631086,"{NA2,NA2}",0.9799645562039804,0.9785334530756933,NA2,NA2,chr01,627268,False,1.128358417016572e-06,5.157881357264581e-07,7.769858291417929e-07,0.016938883053377454,5.882490840230606e-07,7.716221609968865e-08,1.3766619070872526e-07,0.0002633340127852327,1.7368063279245503e-07,1.4403961989974508e-07,0.0007604208807225326,2.0056738580296785e-07,0.9799645562039804,0.002068931055419457,1.3229620364696766e-07
rh_chr1_741516,"{NA2,NA2}",0.9835171821389249,0.982339838005991,NA2,NA2,chr01,737678,False,9.454863020067091e-07,6.122544828741906e-07,7.891051061962534e-07,0.013833117486049814,6.69201828770402e-07,5.981629726979682e-08,1.1877863397785155e-07,0.00026560627254031854,1.626592256406486e-07,1.0917923778642696e-07,0.0006548275068864709,1.8568261112092777e-07,0.9835171821389249,0.0017255010212465648,1.1341062624174722e-07
rh_chr1_1060803,"{NA2,NA2}",0.9929211565298599,0.9924155248534213,NA2,NA2,chr01,1049416,True,1.9319258382770622e-07,1.9310964960827862e-07,1.792517584069738e-07,0.005799125043489558,1.7701392984706424e-07,1.4784132723915229e-08,2.592908863413986e-08,0.0001885334783813348,4.169858457645229e-08,1.844872899371826e-08,0.0003119627357731684,3.8773283405356074e-08,0.9929211565298599,0.0007783145912004054,2.541955564124236e-08
rh_chr1_1170229,"{NA2,NA2}",0.9957382904297563,0.9954338826033102,NA2,NA2,chr01,1140710,False,4.573744655361447e-08,6.879187803807017e-08,4.309613668509655e-08,0.0034535566617730556,4.645851546753397e-08,5.762980958693416e-09,8.224250985346122e-09,0.00014099802497200144,1.5133420669492008e-08,3.852772909567002e-09,0.00018750765118148865,9.446114613108833e-09,0.9957382904297563,0.0004793942323349303,6.496465348692789e-09
rh_chr1_1304008,"{NA2,NA2}",0.9979328367506582,0.9977851822328482,NA2,NA2,chr01,1265000,False,2.0004086288453384e-08,6.013747392948664e-08,1.7177271940563013e-08,0.001631805953452779,2.3557141835279395e-08,4.760977300485753e-09,5.625802393649447e-09,0.00010445018086218905,1.2874180385552291e-08,1.1908098082666585e-09,8.650131808789805e-05,3.851650714732498e-09,0.9979328367506582,0.0002442532495597523,3.3679845824460073e-09
