Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.99438112717688,0.9939797791180857,Vv,Vv,chr01,89866,False,1.0092815617759777e-05,1.1846245280449131e-05,1.1365916055837861e-05,1.1768930082271535e-05,0.0013989434443309637,9.800060132067787e-06,1.1206531369857299e-05,1.171631018387607e-05,0.001380360801248758,9.08238919325457e-06,1.1259771814939735e-05,0.0013441391747776067,9.88065222979704e-06,0.0013874097808025119,0.99438112717688
rh_chr1_268616,"{Vv,Vv}",0.9960903628624289,0.9958111030668881,Vv,Vv,chr01,263248,True,5.287319697944736e-06,6.308245655637506e-06,5.885549076583099e-06,6.2156606504782634e-06,0.00098544583256161,5.060915653502755e-06,5.7573363725308755e-06,6.197113535147134e-06,0.0009661347738245314,4.473500576826852e-06,5.7988542097301355e-06,0.0009284950985065071,5.116512228180149e-06,0.000973460425021832,0.9960903628624289
rh_chr1_334737,"{Vv,Vv}",0.9967673214889601,0.9965364158810287,Vv,Vv,chr01,329439,True,3.994088732937731e-06,4.912406897844434e-06,4.512466377823411e-06,4.813820845287249e-06,0.0008198622969949626,3.7932760265813948e-06,4.396547993338412e-06,4.808695381255194e-06,0.0008002701778077603,3.256097839209541e-06,4.4334433230379804e-06,0.0007620833726247289,3.839231570948515e-06,0.0008077025886241732,0.9967673214889601
rh_chr1_443667,"{Vv,Vv}",0.9979155650367107,0.9977666768250473,Vv,Vv,chr01,438310,True,2.3089082492614988e-06,2.8972315035418114e-06,2.535569088938722e-06,2.7885801186927043e-06,0.0005379550490708378,2.150548261420796e-06,2.440316787529845e-06,2.805998425756923e-06,0.0005178968895586788,1.6966994922961702e-06,2.469442886235001e-06,0.0004788028909196839,2.1805091132756483e-06,0.0005255063298129914,0.9979155650367107
rh_chr1_547952,"{Vv,Vv}",0.9990737678087578,0.9990076083665262,Vv,Vv,chr01,544389,False,1.2924936774997394e-06,1.5534773147737262e-06,1.230177878545146e-06,1.434775034693182e-06,0.0002518742427773429,1.1759217157775656e-06,1.155619442086324e-06,1.4747455334239778e-06,0.000231357508194486,8.040914330276688e-07,1.1769670711915533e-06,0.00019137088462919336,1.190137015258129e-06,0.0002391411495249652,0.9990737678087578
rh_chr1_631086,"{Vv,Vv}",0.999026280082028,0.9989567286593157,Vv,Vv,chr01,627268,True,1.1211595262001167e-06,1.3900653552512586e-06,1.076863539249559e-06,1.266664543894509e-06,0.0002673923463374153,1.0180953957148994e-06,1.0086284267457079e-06,1.3148658476206104e-06,0.00024402567335755104,6.72734641559473e-07,1.0276100577990827e-06,0.00019848699503506855,1.0272069069277069e-06,0.0002528910090009515,0.999026280082028
rh_chr1_741516,"{Vv,Vv}",0.9989907863895764,0.9989186997031175,Vv,Vv,chr01,737678,True,9.083307885986651e-07,1.1822101644857934e-06,8.826796539659743e-07,1.052247333358871e-06,0.0002811201973472356,8.234705121864961e-07,8.231011104324001e-07,1.1118186639548375e-06,0.00025393243861684397,5.136834986406553e-07,8.38838831080665e-07,0.00020095066520456047,8.256835138903874e-07,0.0002642482451844439,0.9989907863895764
rh_chr1_1060803,"{Vv,Vv}",0.9990626118952084,0.998995655602009,Vv,Vv,chr01,1049416,True,3.802290573283825e-07,5.867825097472055e-07,3.279002393262066e-07,4.363446442715189e-07,0.00027699076921313434,3.4852411471791526e-07,2.945181935564288e-07,5.308095688787703e-07,0.00023885144397012428,1.4189470644008484e-07,3.004159873737639e-07,0.00016454251346435737,3.304441053308192e-07,0.0002533255150169714,0.9990626118952084
rh_chr1_1170229,"{Vv,Vv}",0.9991312908332576,0.9990692401784903,Vv,Vv,chr01,1140710,False,2.640507024691939e-07,4.680381013851893e-07,2.2183608663874545e-07,3.1092967382652027e-07,0.0002637908409342312,2.485066732661838e-07,1.9676071721078556e-07,4.1659922122518487e-07,0.00022240549885476775,7.317137324880499e-08,1.995316572352403e-07,0.00014177678311260247,2.2424257095675443e-07,0.00023811237706334443,0.9991312908332576
rh_chr1_1304008,"{Vv,Vv}",0.9992923320514779,0.9992417843408692,Vv,Vv,chr01,1265000,False,7.733096800606516e-08,2.7588798795379374e-07,6.733674145235075e-08,8.867036682189714e-08,0.0001987839448725665,1.711132360550966e-07,1.2144116439480258e-07,2.417667129640143e-07,0.00021099514479980337,2.288424132194777e-08,5.940517139165441e-08,0.00011888885063136478,6.176109099201026e-08,0.00017781241053700024,0.9992923320514779
