Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9971455282505972,0.9969416374113541,Vv,Vv,chr01,89866,False,3.1271113723457888e-06,2.386845694126806e-06,2.420834805528765e-06,2.5488895011716853e-06,0.0010828741323923772,1.1737423892699975e-06,1.6518972477695304e-06,1.7156998005569232e-06,0.0005726334059626606,1.18696561143762e-06,1.732979707237138e-06,0.0005733190898582408,1.3074524003085717e-06,0.0006063927026598176,0.9971455282505972
rh_chr1_268616,"{Vv,Vv}",0.9987082034440432,0.9986159322614748,Vv,Vv,chr01,263248,False,9.599835664246286e-07,3.397628183577977e-07,3.5175594701563663e-07,4.502087769569853e-07,0.0007069963996715148,1.223917231503358e-07,1.4546299145165933e-07,1.7645805989524925e-07,0.0001857908467130178,1.2149528874388144e-07,1.7969223150503782e-07,0.00018032958256348502,1.7299273685597705e-07,0.00021565952286849797,0.9987082034440432
rh_chr1_334737,"{Vv,Vv}",0.9988905461424905,0.9988112994383826,Vv,Vv,chr01,329439,True,6.10130314858297e-07,2.178304144632591e-07,2.2362592915370284e-07,3.054388723913073e-07,0.0006179285887259209,7.354736073043096e-08,9.050962699478063e-08,1.170259350721141e-07,0.00015950313264290208,7.054076952218769e-08,1.1834208149518346e-07,0.00014937071941566258,1.1187169305691979e-07,0.00018071255372733092,0.9988905461424905
rh_chr1_443667,"{Vv,Vv}",0.9992161454452098,0.9991601558341533,Vv,Vv,chr01,438310,False,1.2628841730559604e-07,3.3954258798285556e-08,3.249233401111354e-08,8.949341278482806e-08,0.0004652153110900956,9.263472136772342e-09,9.991511366029273e-09,2.9597471940694385e-08,0.00010968145504833492,6.2830439594875894e-09,2.9237190509958545e-08,9.187162034279143e-05,3.324844067101502e-08,0.00011668631875552328,0.9992161454452098
rh_chr1_547952,"{Vv,Vv}",0.9994720866511267,0.9994343785547787,Vv,Vv,chr01,544389,False,3.5830410131261045e-08,6.006193196588274e-09,4.90865237752377e-09,1.3277030278108697e-08,0.0003478530630608239,1.6661223244185811e-09,1.183136225096997e-09,3.5937795240422086e-09,7.58547467814537e-05,6.445201313822249e-10,2.943435620510385e-09,4.474570399528152e-05,3.3938278627017593e-09,5.9386387928099566e-05,0.9994720866511267
rh_chr1_631086,"{Vv,Vv}",0.9995765253302762,0.9995462771395817,Vv,Vv,chr01,627268,False,3.043604245768478e-08,4.272294449374923e-09,3.799837433215741e-09,8.797345407898261e-09,0.00031408419894812263,8.831058992781497e-10,8.558108777720777e-10,2.062407736427988e-09,4.464858990380661e-05,4.1678100125889604e-10,1.8222589533418036e-09,2.7876515710297517e-05,1.835601550989456e-09,3.681018367588106e-05,0.9995765253302762
rh_chr1_741516,"{Vv,Vv}",0.9996122456699102,0.9995845489320467,Vv,Vv,chr01,737678,False,2.2633088912496375e-08,6.232902350652941e-09,6.575060079998536e-09,1.0500678854888504e-08,0.00026035007113977084,8.652776116546066e-10,1.3445533375927035e-09,2.2797957514011437e-09,4.7895156591575584e-05,5.798445002641832e-10,2.179347095918558e-09,3.575412180067988e-05,1.619558894668648e-09,4.3700170450317447e-05,0.9996122456699102
rh_chr1_1060803,"{Vv,Vv}",0.9998490427723504,0.9998382601132326,Vv,Vv,chr01,1049416,False,6.669037452825972e-10,7.334053151077551e-10,4.0983127136508737e-10,4.5400984827215305e-10,6.646035466807633e-05,2.9265429358633714e-10,2.2802239279184138e-10,2.456941868707022e-10,4.5617664522107595e-05,6.511494053432744e-11,1.3701515341960714e-10,1.8684365552968778e-05,7.719749649636403e-11,2.019153305781432e-05,0.9998490427723504
rh_chr1_1170229,"{Vv,Vv}",0.9999114422202308,0.999905116664533,Vv,Vv,chr01,1140710,False,1.2447619746510555e-10,1.8445889144581958e-10,1.2131868970773975e-10,1.2774695242043147e-10,3.503822872022424e-05,7.641883202784775e-11,8.671695130596062e-11,8.325373533838816e-11,2.6703218437866284e-05,2.606468473437091e-11,5.435548668398246e-11,1.3233807162872096e-05,2.4160953590690174e-11,1.3581616476889916e-05,0.9999114422202308
rh_chr1_1304008,"{Vv,Vv}",0.999949752161162,0.9999461630298164,Vv,Vv,chr01,1265000,False,2.5919423198258215e-11,8.222184130486788e-11,3.144446092085694e-11,2.963937510091103e-11,1.4734515281997037e-05,5.887298562339245e-11,4.6674457492523047e-11,4.195858382800733e-11,2.264424801324403e-05,9.246291656812164e-12,1.6382351539055284e-11,7.1462259115768345e-06,7.630232771629019e-12,5.722499641103436e-06,0.999949752161162
rh_chr1_1400565,"{Vv,Vv}",0.9999288904134592,0.9999238111572778,Vv,Vv,chr01,1361620,False,1.8472854977366874e-11,1.0075093273122104e-10,2.6591400577044516e-11,2.3281024019651966e-11,1.861451820243152e-05,6.244085924999087e-11,7.638231270250598e-11,5.6865086767376004e-11,3.0117621606295686e-05,1.1664259921958776e-11,1.7093968051930873e-11,1.3705467146628763e-05,9.210617135800486e-12,8.671576832056913e-06,0.9999288904134592
rh_chr1_1482273,"{Vv,Vv}",0.9999068806183904,0.9999002292339897,Vv,Vv,chr01,1441962,False,2.4920154391650088e-11,3.4137855958336583e-10,4.324441994787741e-11,2.303697905425103e-11,2.3031277399847803e-05,1.8599975538006858e-10,2.9459855407953737e-10,1.568711862922713e-10,4.012093952436327e-05,1.942527329971792e-11,1.9971004405719293e-11,1.9701634045790165e-05,1.0711370371949356e-11,1.0264410482384146e-05,0.9999068806183904
rh_chr1_1623606,"{Vv,Vv}",0.9998814900976483,0.9998730251046232,Vv,Vv,chr01,1583376,False,2.4291500849105585e-11,9.060465568640687e-11,5.189073131918398e-11,4.305983952450384e-11,2.9033108940613913e-05,4.196158452209598e-11,8.864342672018779e-11,6.93372826699523e-11,3.7424289728617765e-05,2.6119432965597583e-11,4.197885975826278e-11,2.9352384069386e-05,1.9237331156126725e-11,2.2699622488474416e-05,0.9998814900976483
rh_chr1_1879893,"{Vv,Vv}",0.9998942640062687,0.9998867114352878,Vv,Vv,chr01,1839399,False,1.297624901395324e-10,1.8698447417212648e-10,3.185800341109748e-10,3.042022889164818e-10,2.4652415312775402e-05,7.579503070269843e-11,2.672512842981813e-10,2.661134085389245e-10,1.9458767397669393e-05,2.5193135997408814e-10,3.9938190713508357e-10,3.258132688054017e-05,2.179886985523519e-10,2.9041066149425007e-05,0.9998942640062687
rh_chr1_1999515,"{Vv,Vv}",0.9998700682751431,0.9998607874376534,Vv,Vv,chr01,1959058,False,1.3446571841492765e-10,1.7792817399922826e-10,3.930170903003727e-10,4.4183096953594815e-10,3.136830093057355e-05,4.7576894435139385e-11,3.12371691112969e-10,3.761958964453983e-10,2.3345986689213275e-05,2.69954296820625e-10,5.516374123877469e-10,3.732379955844095e-05,2.9283635474264404e-10,3.789063986415496e-05,0.9998700682751431
rh_chr1_2145831,"{Vv,Vv}",0.9998643336990836,0.9998546432490181,Vv,Vv,chr01,2106048,False,4.321888800176049e-11,8.619350328725645e-11,1.2882669677889561e-10,1.1363021960550346e-10,3.581058290076859e-05,3.402522208907498e-11,1.1674558710978869e-10,1.1323562034391047e-10,2.470514861436102e-05,7.191229663626113e-11,1.4359239762542728e-10,3.688308003852365e-05,5.702746693282603e-11,3.82665809548432e-05,0.9998643336990836
rh_chr1_2306205,"{Vv,Vv}",0.9998910773196779,0.9998832971282263,Vv,Vv,chr01,2265211,False,2.2911660852008923e-10,3.1557785107660907e-10,5.426128537951458e-10,5.732887991987768e-10,3.1805765860047084e-05,8.377877624725174e-11,3.1845458999096005e-10,3.5047076736445476e-10,1.804381095460305e-05,1.8484568051790114e-10,4.965160872503752e-10,2.8472224096759972e-05,2.2329924960275128e-10,3.059756144951728e-05,0.9998910773196779
rh_chr1_2424927,"{Vv,Vv}",0.9999424608595189,0.9999383509209131,Vv,Vv,chr01,2384046,False,1.1457840937287286e-10,1.6114861165715122e-10,3.6102012419337007e-10,3.891914385176347e-10,1.8566284774398867e-05,3.4678141022819266e-11,1.8881082850000148e-10,2.3209728704813348e-10,9.633139568685726e-06,7.179731287791917e-11,2.720462011002497e-10,1.3884976794081141e-05,1.2001075673792783e-10,1.5452793964750096e-05,0.9999424608595189
rh_chr1_2618562,"{Vv,Vv}",0.9999672611211248,0.9999649226297765,Vv,Vv,chr01,2577582,False,1.0920045380978167e-10,7.240486911048455e-11,6.727388637131371e-11,1.0873429534569002e-10,1.7110511654685987e-05,1.564936955297766e-11,2.7402171884235027e-11,4.512179004769395e-11,4.99105931478934e-06,1.0573662309898429e-11,3.572915955645818e-11,3.988090918390264e-06,2.678958602735221e-11,6.648698108142635e-06,0.9999672611211248
rh_chr1_2718543,"{Vv,Vv}",0.9999692667998742,0.9999670715712938,Vv,Vv,chr01,2677534,False,8.015223937297501e-11,9.287909769118993e-11,3.637807900189015e-11,1.0971649907813575e-10,1.4185740170598083e-05,2.158905574125319e-11,1.7834882605476523e-11,5.508000375878444e-11,6.611727786054195e-06,4.772471694171872e-12,2.1051867795279765e-11,2.422297506350155e-06,2.738152665700133e-11,7.512967827115144e-06,0.9999692667998742
rh_chr1_2822616,"{Vv,Vv}",0.9999868282336705,0.9999858873932184,Vv,Vv,chr01,2781082,False,1.6745857070227262e-11,2.1501527456136786e-11,1.3916656779869779e-11,2.521215734532131e-11,5.61003932598796e-06,4.880070745597055e-12,7.418568828650646e-12,1.3629821816911424e-11,2.6436830942960415e-06,2.298610022197015e-12,8.55684125405449e-12,1.7068931713191654e-06,6.489492690243578e-12,3.211030088318367e-06,0.9999868282336705
rh_chr1_2955463,"{Vv,Vv}",0.9999903572595213,0.9999896684923443,Vv,Vv,chr01,2913710,False,7.208726678188733e-12,4.9927083220124125e-12,4.815301312593082e-12,7.492109198638877e-12,4.537925996799406e-06,1.2432629986247791e-12,2.0676611259229812e-12,2.9721989602868322e-12,1.4234345785286871e-06,1.176980350917873e-12,2.8122563500973047e-12,1.439409258909211e-06,2.2869229983028736e-12,2.24193357627549e-06,0.9999903572595213
rh_chr1_3008587,"{Vv,Vv}",0.9999919856977937,0.9999914132476361,Vv,Vv,chr01,2966940,False,2.7191126051232e-12,2.2335539038681063e-12,2.1761101383247986e-12,2.6077344843123198e-12,3.6452267115956525e-06,5.616681154570101e-13,9.664442006670447e-13,1.195374719534393e-12,1.370346960527906e-06,4.985424719534787e-13,1.118114127512881e-12,1.3763920201020587e-06,6.978187953350124e-13,1.6223217396506222e-06,0.9999919856977937
