Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.7724590730051424,0.7562061496483669,NA2,Vv,chr01,89866,True,9.999805792910722e-05,0.0005092186722273294,0.00011111261410061014,0.010503662283107083,0.00452396020985395,0.00056911316684581,0.0005294633937390353,0.06439495379494292,0.00459396529166078,0.00010650568488313092,0.009999345031612114,0.004682974214233045,0.11914404250283754,0.7724590730051424,0.007772612076885339
rh_chr1_268616,"{NA2,Vv}",0.7888594432032859,0.7737779748606635,NA2,Vv,chr01,263248,False,4.2567493991625154e-05,0.00033719000216937076,5.035303446852891e-05,0.008595338787482315,0.0028611138530792793,0.00027793067750505934,0.000358669719381031,0.06378199630876726,0.0028119294603864576,5.05547908617487e-05,0.008078469755770075,0.003025010050449662,0.11645767301397508,0.7888594432032859,0.004411759848426539
rh_chr1_334737,"{NA2,Vv}",0.794612270655574,0.7799417185595436,NA2,Vv,chr01,329439,True,3.3929299341698516e-05,0.0003130157163052457,4.012285023843978e-05,0.007743166649613532,0.002657132763513778,0.00022695980896559787,0.0003297743665191859,0.0632841913392006,0.0025411710550468803,3.913010546007365e-05,0.007122611491570451,0.002775682676591733,0.11431516285782732,0.794612270655574,0.003965678364231348
rh_chr1_443667,"{NA2,Vv}",0.8041518164565278,0.7901626604891369,NA2,Vv,chr01,438310,True,2.149086447215278e-05,0.00027433189162556196,2.500348626675746e-05,0.006326113491040198,0.00231162692181307,0.00014530195920522582,0.000283704302716034,0.062454703976343104,0.002084315226283994,2.3129116132108306e-05,0.005534772211095956,0.0023547502719382064,0.1107845728334163,0.8041518164565278,0.0032243669911235797
rh_chr1_547952,"{NA2,Vv}",0.8135403100371218,0.800221760754059,NA2,Vv,chr01,544389,False,1.1426323916327075e-05,0.00023827537401600518,1.268863451715537e-05,0.00492640289164347,0.001962810226779589,6.82386228748073e-05,0.00024096116766336674,0.061633199910934126,0.001625142110998016,1.076195497738434e-05,0.003968314255816627,0.0019314237554434244,0.1073371507919457,0.8135403100371218,0.0024928939413521793
rh_chr1_631086,"{NA2,Vv}",0.8167374553589216,0.8036472735988446,NA2,Vv,chr01,627268,True,9.902821824384914e-06,0.00021159905620887892,1.1134873566891793e-05,0.004707737707595735,0.001786319259549199,6.222726599398591e-05,0.00021159537032187483,0.060118342417929654,0.0014797112828350465,8.914057928444276e-06,0.003697066696072974,0.0017181775638373327,0.10703607665155586,0.8167374553589216,0.0022037396158580682
rh_chr1_741516,"{NA2,Vv}",0.8210513986830547,0.8082693557318443,NA2,Vv,chr01,737678,True,7.955119815999864e-06,0.0001776952239958629,9.044043508035711e-06,0.00440323319982031,0.0015460483748432794,5.401315827896814e-05,0.00017457780946075025,0.05810308885218305,0.0012752622602210403,6.663153581527818e-06,0.0033220693803003433,0.001428988727678486,0.1066289229217782,0.8210513986830547,0.001811039091479435
rh_chr1_1060803,"{NA2,Vv}",0.8335731328982856,0.8216854995338775,NA2,Vv,chr01,1049416,True,3.2033179036229675e-06,9.012918916212267e-05,3.0771665217166305e-06,0.0034621259235584254,0.0008352115514066217,3.0217800088596218e-05,8.066194232673138e-05,0.052431502943514924,0.0006317873269236811,1.9102002394633707e-06,0.0021792327524382147,0.0005802984481710054,0.1054437987643213,0.8335731328982856,0.0006537097751379571
rh_chr1_1170229,"{NA2,Vv}",0.8373385396095919,0.8257198638674199,NA2,Vv,chr01,1140710,False,2.023086856194983e-06,6.878161852131563e-05,1.7081929706998634e-06,0.003163097528355656,0.0006176495870852364,2.31204996653767e-05,5.848487139809149e-05,0.050772306372797935,0.0004246550927654784,9.574571136021349e-07,0.0018202908399127771,0.00032243125789654156,0.10508425359860404,0.8373385396095919,0.00030170038646501615
rh_chr1_1304008,"{NA2,Vv}",0.841086664304533,0.8297357117548568,NA2,Vv,chr01,1265000,False,1.235359226120911e-06,5.327870375000093e-05,1.096714001291388e-06,0.0028006105893173673,0.0004813641472776062,1.7767533840904043e-05,4.733545884127547e-05,0.04930793468261781,0.0003120743082069847,5.037370472696865e-07,0.0016146161641215837,0.00023380998042523722,0.10402205739847648,0.841086664304533,1.965091831693172e-05
