Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.9934415878293256,0.9929731298171346,NA1,NA1,chr01,89866,False,1.1668390910372124e-05,1.369074950127103e-05,0.0016084609423486589,1.3601122688021928e-05,1.4015193842349919e-05,1.1478089202617917e-05,0.0015910157795763378,1.3563982543345921e-05,1.3916816343454344e-05,0.9934415878293256,0.0015925046907738646,0.0016370492112073387,1.1394224798723195e-05,1.382537203143319e-05,1.2227604906652117e-05
rh_chr1_268616,"{NA1,NA1}",0.9954176287099749,0.995090316474973,NA1,NA1,chr01,263248,True,6.040413081216825e-06,7.193559988023233e-06,0.0011299044789786267,7.099286951326474e-06,7.437111204316527e-06,5.914080949147594e-06,0.0011118209828616474,7.094727591651889e-06,7.369656810372771e-06,0.9954176287099749,0.0011133651410884147,0.0011595375718885391,5.824672947993392e-06,7.273517075661335e-06,6.496088608136049e-06
rh_chr1_334737,"{NA1,NA1}",0.9961971382887503,0.9959255053093754,NA1,NA1,chr01,329439,True,4.526109953612947e-06,5.554778744890454e-06,0.0009390307655465622,5.45868935245635e-06,5.766441530448355e-06,4.424450069901364e-06,0.0009207008825590913,5.466960345942736e-06,5.711173559844195e-06,0.9961971382887503,0.0009222663756364792,0.0009690671276894535,4.332902700796225e-06,5.613198357830724e-06,4.941855202373223e-06
rh_chr1_443667,"{NA1,NA1}",0.9975158016810839,0.9973383589440185,NA1,NA1,chr01,438310,True,2.5533609524945315e-06,3.1884914070356837e-06,0.0006149391952707553,3.089365518635818e-06,3.3465696777726155e-06,2.492631488032429e-06,0.0005962006797773381,3.1191827822566956e-06,3.3117757545836194e-06,0.9975158016810839,0.0005978015681496561,0.0006456443606289322,2.3975302805759266e-06,3.210732233487673e-06,2.902874994587569e-06
rh_chr1_547952,"{NA1,NA1}",0.9988417688212722,0.9987590380227916,NA1,NA1,chr01,544389,False,1.3641927566482023e-06,1.6090417063061953e-06,0.00028705746954167584,1.5068963725076881e-06,1.713486830724147e-06,1.343753810131231e-06,0.00026791675659248483,1.5582623489345933e-06,1.6991808437475477e-06,0.9988417688212722,0.00026955249699474397,0.0003184208829950188,1.245150217285896e-06,1.5950863938524237e-06,1.6485213238499973e-06
rh_chr1_631086,"{NA1,NA1}",0.9988183400299447,0.9987339357463694,NA1,NA1,chr01,627268,True,1.1756359438416586e-06,1.4255745732810101e-06,0.00029352895119830983,1.3214659612080352e-06,1.5137268754368312e-06,1.167778240857916e-06,0.0002723178327314959,1.3803379491021904e-06,1.5058225315702168e-06,0.9988183400299447,0.000274131567212802,0.0003282831487485666,1.0678288386427788e-06,1.399732026214947e-06,1.4405672239859728e-06
rh_chr1_741516,"{NA1,NA1}",0.9988150174543784,0.9987303758439768,NA1,NA1,chr01,737678,True,9.438930837317495e-07,1.1937289806339446e-06,0.0002951412780668295,1.0868649090435023e-06,1.2594863499417474e-06,9.530513975064503e-07,0.0002711539182613357,1.1561034365902636e-06,1.260394492931939e-06,0.9988150174543784,0.0002732066358125478,0.0003344417345273003,8.512271793688539e-07,1.151502404429616e-06,1.1827267194368326e-06
rh_chr1_1060803,"{NA1,NA1}",0.9989786541274233,0.9989057008508107,NA1,NA1,chr01,1049416,True,3.8316881566701505e-07,5.327255080704824e-07,0.0002563661063397204,4.1722887984252355e-07,5.304114803141482e-07,4.4238171896484115e-07,0.00022441993921800256,5.182003535737107e-07,5.581658521937766e-07,0.9989786541274233,0.00022715964634008475,0.0003086965193193593,3.3464017334413877e-07,4.40496171351818e-07,5.462424061160916e-07
rh_chr1_1170229,"{NA1,NA1}",0.999074327931776,0.9990082084983314,NA1,NA1,chr01,1140710,True,2.68296863402469e-07,4.1068886000523644e-07,0.00023291889716708236,2.923765260413655e-07,3.8674839693993615e-07,3.4273743738774074e-07,0.00019861311579888368,4.0349303297010187e-07,4.230489128751438e-07,0.999074327931776,0.00020155703570449003,0.00028911154090182647,2.3315978258458313e-07,3.0251607194391157e-07,4.0841276769366066e-07
rh_chr1_1304008,"{NA1,NA1}",0.9992396883752287,0.9991853804020308,NA1,NA1,chr01,1265000,False,1.3677270818766023e-07,2.628909877878449e-07,0.00019217035036967682,1.40547641645459e-07,2.0816206288815274e-07,2.3246010894851607e-07,0.0001546279764271688,2.661265719110678e-07,2.5663451802180604e-07,0.9992396883752287,0.00015785238813736488,0.00025366004934998087,1.2026331604723615e-07,1.3200268431176878e-07,2.4499988748238653e-07
