Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.9616897695052727,0.9589533244699351,NA2,NA2,chr01,89866,True,0.00016014831615186666,0.00012662086171405103,0.0001448375860226749,0.013185042413052957,0.00012772443342339083,7.692570090952378e-05,9.57132279132864e-05,0.007323999070292354,8.137764582302141e-05,0.00010213651056384642,0.009259873682108498,9.763947958354823e-05,0.9616897695052727,0.007456733687569066,7.145787959906758e-05
rh_chr1_268616,"{NA2,NA2}",0.9700391710925039,0.9678991118848257,NA2,NA2,chr01,263248,True,0.00010443374265878434,7.976595884481604e-05,9.405804800832079e-05,0.011294160656079669,8.061102255203186e-05,4.653358451699977e-05,5.6969877066297996e-05,0.00529240200721448,4.637342348811833e-05,6.334747302578598e-05,0.007274752739070687,5.8659242782652233e-05,0.9700391710925039,0.005428337703387038,4.0423428800405925e-05
rh_chr1_334737,"{NA2,NA2}",0.9732687932949179,0.971359421387412,NA2,NA2,chr01,329439,True,8.617006570005539e-05,6.582227943195747e-05,7.856847399341689e-05,0.010553199013159974,6.656553231349233e-05,3.803106459827464e-05,4.6220304200003906e-05,0.004496973686343943,3.7096229824576706e-05,5.160813647707626e-05,0.0064973139223997835,4.7816239824919456e-05,0.9732687932949179,0.004634148512109125,3.1673244705629234e-05
rh_chr1_443667,"{NA2,NA2}",0.978661314579574,0.9771371227638292,NA2,NA2,chr01,438310,True,5.855206180644041e-05,4.4338087401372904e-05,5.4488335737411895e-05,0.009310188589417616,4.4910388741246925e-05,2.659953557646197e-05,3.009881211127206e-05,0.0031634748572428725,2.344678118744526e-05,3.480906149182999e-05,0.005193702009508098,3.153773142258418e-05,0.978661314579574,0.003302708406098752,1.9830762682621934e-05
rh_chr1_547952,"{NA2,NA2}",0.9839995723646958,0.9828566846764598,NA2,NA2,chr01,544389,False,3.50846556354331e-05,2.6734141486772675e-05,3.428830322176323e-05,0.00807013623283856,2.713550028277662e-05,1.905653222282994e-05,1.7856582502473536e-05,0.0018341596109571663,1.3676158315257284e-05,2.198534629120663e-05,0.003893868898721751,1.913832090627208e-05,0.9839995723646958,0.0019754241167542325,1.1883235167610347e-05
rh_chr1_631086,"{NA2,NA2}",0.9852266783962168,0.9841714411388037,NA2,NA2,chr01,627268,True,3.026425156585037e-05,2.3215923219415305e-05,3.0432801908390974e-05,0.00739073093911608,2.3860355253203904e-05,1.7355764263355617e-05,1.5535390974979523e-05,0.0017425157883688186,1.191170593102946e-05,1.9263402933665503e-05,0.0036124463512624714,1.6933364933667932e-05,0.9852266783962168,0.0018286497779009569,1.0205786151296649e-05
rh_chr1_741516,"{NA2,NA2}",0.9868989017382083,0.9859631090052231,NA2,NA2,chr01,737678,True,2.4427726158552443e-05,1.8764078294654257e-05,2.5582602626132918e-05,0.006477794090203937,1.9758469676925105e-05,1.526544158901274e-05,1.2585869421113752e-05,0.0016093295593615068,9.677307323294004e-06,1.59430599970842e-05,0.0032274582477208463,1.4160153858300434e-05,0.9868989017382083,0.0016221683365630474,8.183318997429852e-06
rh_chr1_1060803,"{NA2,NA2}",0.9918680257105228,0.9912871704041316,NA2,NA2,chr01,1049416,False,1.0845247945069899e-05,6.126319417190226e-06,1.188284193921942e-05,0.003848499635650141,8.207924954503677e-06,1.0224276266619454e-05,4.155116234780568e-06,0.0011638367725755328,3.29194691062758e-06,8.075281601849086e-06,0.002076558187380501,6.298683713570237e-06,0.9918680257105228,0.0009704482311488394,3.5238237387655555e-06
rh_chr1_1170229,"{NA2,NA2}",0.9932981960026335,0.9928194957171073,NA2,NA2,chr01,1140710,True,8.255388266143069e-06,4.631918800397848e-06,9.257449233409406e-06,0.0030229685900997456,6.390469906162803e-06,9.218193499006864e-06,3.183615034793091e-06,0.0011774758782955698,2.497320196432751e-06,6.318821817662866e-06,0.001661332157577913,4.963023435042028e-06,0.9932981960026335,0.0007825272451248482,2.783926079374921e-06
rh_chr1_1304008,"{NA2,NA2}",0.9952924121776021,0.9949561559045736,NA2,NA2,chr01,1265000,False,5.588898500508075e-06,2.60061437278348e-06,6.2710239555430535e-06,0.001889057546931234,4.316473345441215e-06,7.919467158038243e-06,1.8563349936535618e-06,0.0011826226287531211,1.4317053049526107e-06,4.482866583295709e-06,0.0010832266497692608,3.4313102302488868e-06,0.9952924121776021,0.0005127701167729906,2.0121857268859936e-06
rh_chr1_1400565,"{NA2,NA2}",0.9955546980984045,0.9952371765340048,NA2,NA2,chr01,1361620,False,4.656507250586153e-06,2.2689136602618446e-06,5.376853139442148e-06,0.0017556145140643798,3.707131216830808e-06,6.561680933557886e-06,1.6466662007134904e-06,0.0011125784965980595,1.2675108846206043e-06,3.8221898007741575e-06,0.0010352793447962383,2.9740455949241403e-06,0.9955546980984045,0.0005078053829548158,1.7426645003225966e-06
rh_chr1_1482273,"{NA2,NA2}",0.9957922391653061,0.9954916848199709,NA2,NA2,chr01,1441962,True,3.943594593361912e-06,2.002442850560756e-06,4.685546481112235e-06,0.0016399756921043496,3.2348164251419916e-06,5.530916006709346e-06,1.4743355273885048e-06,0.0010493630251216144,1.132830963305313e-06,3.3130805985107433e-06,0.0009904226561437122,2.618411150538933e-06,0.9957922391653061,0.0004985283202644194,1.53516646316879e-06
rh_chr1_1623606,"{NA2,NA2}",0.9962538757713879,0.9959862954693441,NA2,NA2,chr01,1583376,True,2.7982984864247283e-06,1.521648989672068e-06,3.5075425612232584e-06,0.0014259853369256175,2.4253571811343073e-06,3.89053624012303e-06,1.154413683765966e-06,0.000927047874740722,8.828288448278997e-07,2.4873054533831144e-06,0.000900403854771767,2.007246013431566e-06,0.9962538757713879,0.0004708131692502604,1.1988154696692638e-06
rh_chr1_1879893,"{NA2,NA2}",0.9972314990771517,0.997033749011234,NA2,NA2,chr01,1839399,True,1.085326776326644e-06,6.236919168952657e-07,1.4988615225340087e-06,0.0010044589997233668,1.0308655351542995e-06,1.4793589589998218e-06,5.29240115542183e-07,0.0006695967929960864,3.936366338488355e-07,1.2217188662239857e-06,0.0007013809292580528,9.467009095182267e-07,0.9972314990771517,0.0003835704639933375,6.843356425322837e-07
rh_chr1_1999515,"{NA2,NA2}",0.9977495407231972,0.997588793631997,NA2,NA2,chr01,1959058,False,5.262635657398695e-07,3.180915965588994e-07,8.404693292886084e-07,0.0007926012046080939,5.750498227113935e-07,7.064025864821322e-07,3.0423482476291876e-07,0.000533492821938724,2.1904169891739574e-07,7.839834983426324e-07,0.0005925367156729655,5.897208688284715e-07,0.9977495407231972,0.0003264560000553645,5.09276736012495e-07
rh_chr1_2145831,"{NA2,NA2}",0.99808627665324,0.9979495821284714,NA2,NA2,chr01,2106048,True,3.5824848371553767e-07,2.3966755808429334e-07,6.380246742625936e-07,0.0006456819920738729,4.509274948993897e-07,4.689105829843457e-07,2.4577318469732937e-07,0.00044234654028497283,1.7846677889428065e-07,6.333782232314873e-07,0.0005240572375315791,4.875670540039144e-07,0.99808627665324,0.0002974656658587473,4.709469758360035e-07
rh_chr1_2306205,"{NA2,NA2}",0.9985157314359255,0.9984097122527774,NA2,NA2,chr01,2265211,True,2.1198959805632918e-07,1.5573172509457103e-07,4.4248699001946315e-07,0.00047089315890087765,3.292631841552341e-07,2.684409256972185e-07,1.799192865330238e-07,0.00032737405537582503,1.320125930312367e-07,4.967160649757964e-07,0.00043360832986734577,3.8668071129928755e-07,0.9985157314359255,0.0002493499402473395,4.398386042642168e-07
rh_chr1_2424927,"{NA2,NA2}",0.9988802151334685,0.9988002305001448,NA2,NA2,chr01,2384046,True,1.32752607125375e-07,1.046651727293896e-07,3.273607678879545e-07,0.00032976230805400764,2.5800053208837776e-07,1.6288634835052324e-07,1.3723683465437806e-07,0.00023050657012622372,1.019846738138413e-07,4.1628310140389e-07,0.0003550345773367022,3.2600162708841235e-07,0.9988802151334685,0.0002020889802097195,4.252591397520129e-07
rh_chr1_2618562,"{NA2,NA2}",0.999554839695176,0.9995230425305457,NA2,NA2,chr01,2577582,False,5.026897016482462e-08,2.7837551274778415e-08,1.6165431566911715e-07,8.022777907989405e-05,1.5491576048700108e-07,5.68372252726126e-08,6.82242739031341e-08,5.239901545056467e-05,5.3174312104413616e-08,3.179948982693164e-07,0.0002067160339782963,2.3542639763056255e-07,0.999554839695176,0.00010427501777598056,4.1612483442037934e-07
