Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.9839169776936849,0.982768190386091,Vv,NA2,chr01,89866,False,1.9742474451598382e-06,2.2274399802413593e-06,2.426320789276163e-06,0.0004149143379751793,0.0037990332935902674,1.1286763164172784e-06,1.8764946684296165e-06,0.00028696599095614226,0.00032388636395189397,1.3815818342921578e-06,0.0003200789708593838,0.0021368530982115927,0.0007740131051580728,0.9839169776936849,0.008016262384578698
rh_chr1_268616,"{NA2,Vv}",0.995255134908373,0.9949162159732569,Vv,NA2,chr01,263248,False,1.6368126369510554e-07,1.574740691500687e-07,1.617692863209417e-07,0.00010003519044426333,0.00039762906207494315,8.171821059243345e-08,1.0868613128034302e-07,2.3828271560009552e-05,4.7514683348609116e-05,9.863921062990176e-08,2.8273617987168385e-05,0.00024344638099190382,0.00018353602119731152,0.995255134908373,0.00371982989585117
rh_chr1_334737,"{NA2,Vv}",0.9957883937585199,0.9954875647412713,Vv,NA2,chr01,329439,False,8.878778643033374e-08,8.990261181362082e-08,9.165085086918955e-08,7.87139660667086e-05,0.00027857676202561497,4.220383808367029e-08,6.038900359613682e-08,2.006228156468909e-05,3.547133312026807e-05,5.003495413749215e-08,2.335916417288292e-05,0.00016895067025410207,0.0001558395495630851,0.9957883937585199,0.0034502095456678534
rh_chr1_443667,"{NA2,Vv}",0.9984451458893349,0.9983340848814302,Vv,NA2,chr01,438310,False,1.9071093643353094e-08,1.9054889955477565e-08,1.7629381092690644e-08,4.6936102460609644e-05,8.325634034147419e-05,7.227782959422076e-09,1.0777654695202364e-08,1.2854401964069895e-05,1.2286423118313382e-05,7.166681758058071e-09,1.4391141460737433e-05,4.520348030290088e-05,0.00011463820312103626,0.9984451458893349,0.001225207090411856
rh_chr1_547952,"{NA2,Vv}",0.9992236474948819,0.9991681937445164,Vv,NA2,chr01,544389,False,6.928226255244076e-09,4.35120488538172e-09,4.2527032055546954e-09,1.1793872442732731e-05,3.53546263596879e-05,8.572603311131932e-10,1.186627083317328e-09,1.3130768994136385e-06,4.3339925885633855e-06,9.47253014947763e-10,1.4964813245763132e-06,1.4197586252216174e-05,2.4961531408827197e-05,0.9992236474948819,0.0006828828145673284
rh_chr1_631086,"{NA2,Vv}",0.999312425839107,0.9992633133990432,Vv,NA2,chr01,627268,False,5.307269132803453e-09,3.0293698901910307e-09,3.1306461173672746e-09,1.5432177682903686e-05,3.53556213953202e-05,3.1627068731987315e-10,5.263656537159716e-10,1.5466574174780548e-06,5.790567839106485e-06,3.929730403533341e-10,1.7312091594863804e-06,1.3383467927992403e-05,2.494892069070176e-05,0.999312425839107,0.0005893728358855696
rh_chr1_741516,"{NA2,Vv}",0.9995405618688528,0.9995077448594851,Vv,NA2,chr01,737678,False,2.4347734922930608e-09,1.6319183786759486e-09,1.8303396035145047e-09,1.7213582524406803e-05,2.2960573767358922e-05,1.3492220668083854e-10,3.271148539051769e-10,2.40638243539887e-06,4.151148310531553e-06,2.1771556880973178e-10,2.8901932442237754e-06,8.867428361914079e-06,4.14386696252898e-05,0.9995405618688528,0.00035950357609397336
rh_chr1_1060803,"{NA2,Vv}",0.999831473125616,0.9998194354917315,Vv,NA2,chr01,1049416,False,9.660055512499746e-11,1.0680714561787466e-10,1.21120279016086e-10,2.062377233314983e-06,1.1186566940888202e-05,4.706232315359696e-11,6.124365506082992e-11,1.0275279212054568e-06,1.4829108235157154e-06,4.2559408928588646e-11,1.2295016150859064e-06,8.760601023981627e-06,4.933375206726214e-06,0.999831473125616,0.000137843538225937
rh_chr1_1170229,"{NA2,Vv}",0.9999582861867454,0.9999553066286558,Vv,NA2,chr01,1140710,False,1.7402764420962365e-11,3.503382474366756e-11,2.691822023859052e-11,7.24905667900824e-07,2.0400962313037385e-06,2.869381287909935e-11,2.394190844724805e-11,7.543878506146445e-07,1.6407145269484795e-06,9.378605978833728e-12,5.499319974576839e-07,1.6450782440940162e-06,2.7041982662118774e-06,0.9999582861867454,3.165435910085849e-05
rh_chr1_1304008,"{NA2,Vv}",0.9999811064754661,0.9999797569379995,Vv,NA2,chr01,1265000,False,1.490561139360257e-11,2.8054664636838628e-11,1.865603404145359e-11,5.702074495712344e-07,6.931987289388116e-07,1.4228109471205356e-10,2.081381834206695e-11,2.028718713535028e-06,5.5700104206519445e-06,9.960168421918972e-12,4.645070262902328e-07,6.0267529706224e-07,2.568942243484265e-06,0.9999811064754661,6.395029982891013e-06
rh_chr1_1400565,"{NA2,Vv}",0.9999785597909406,0.9999770283474364,Vv,NA2,chr01,1361620,False,3.285499822218787e-11,8.3140869598839e-11,3.43101391672529e-11,1.5788586636881079e-06,6.839209808085383e-07,1.4768788240593836e-10,6.164514931335305e-11,2.690288223797116e-06,2.470171103418213e-06,2.157441759603873e-11,1.1717382988574715e-06,5.221424372681169e-07,9.800109036520182e-06,0.9999785597909406,2.522599101543177e-06
rh_chr1_1482273,"{NA2,Vv}",0.9999048091992423,0.999898009856331,Vv,NA2,chr01,1441962,False,3.306632508571934e-10,5.628915901440923e-10,3.227492297325908e-10,8.903789143845232e-06,8.071828014231905e-06,6.266678657482617e-10,4.082776902887828e-10,1.1939805645708553e-05,1.176258385765022e-05,2.185211805273034e-10,6.373233531677565e-06,6.031481112216986e-06,2.8395731658380798e-05,0.9999048091992423,1.3709878023150222e-05
rh_chr1_1623606,"{NA2,Vv}",0.99982488462549,0.9998123763844536,Vv,NA2,chr01,1583376,False,8.997417315667499e-10,1.8210081816368015e-09,9.985166473544505e-10,1.677000563421599e-05,1.608737783670181e-05,1.6705171034140726e-09,1.153110248602485e-09,2.3216811546938008e-05,2.3157030393184353e-05,5.785838367764762e-10,1.047616763402988e-05,1.0720028057212743e-05,5.123728103170268e-05,0.99982488462549,2.3443550898244332e-05
rh_chr1_1879893,"{NA2,Vv}",0.9998195535309715,0.9998066644974695,Vv,NA2,chr01,1839399,False,9.819219098683706e-10,1.8319767159925368e-09,1.532848858966248e-09,1.713086197594487e-05,2.1953463044521578e-05,1.130949466742182e-09,1.6905404051318614e-09,1.995861505322368e-05,2.7792646805026565e-05,8.850580703096368e-10,1.4111565520201449e-05,1.7737122601204376e-05,4.438008652622511e-05,0.9998195535309715,1.7374054206663152e-05
rh_chr1_1999515,"{NA2,Vv}",0.999861591260486,0.9998517049219493,Vv,NA2,chr01,1959058,False,4.903357122761995e-10,1.1783197400352474e-09,1.0157445690656235e-09,1.2899343984111977e-05,1.6037410525778298e-05,5.43389515318283e-10,1.1042328424531e-09,1.4313784928069436e-05,1.9362463813217175e-05,4.550908900846138e-10,1.1095393992279433e-05,1.4266256948040344e-05,3.205281069367864e-05,0.999861591260486,1.8376487515605364e-05
rh_chr1_2145831,"{NA2,Vv}",0.9999755704672694,0.9999738255006457,Vv,NA2,chr01,2106048,False,5.764290238869609e-11,1.1255379996242891e-10,1.1268285518208091e-10,1.4355579321931052e-06,2.5585990277990014e-06,4.273954866685551e-11,1.019694668170795e-10,1.1220767435809403e-06,2.8258418420919214e-06,4.9877453445018584e-11,1.113305654226262e-06,3.7697719332928253e-06,4.511436402425013e-06,0.9999755704672694,7.092465729035857e-06
rh_chr1_2306205,"{NA2,Vv}",0.9999719150484337,0.9999699089804648,Vv,NA2,chr01,2265211,False,2.8183190461136922e-11,3.6619021302376315e-11,5.959836630673577e-11,2.941484087994521e-06,1.634426914292065e-06,9.906247727070303e-12,3.124105962725696e-11,6.422041881403754e-07,1.2594127349887227e-06,2.8152635453570324e-11,6.999278199673942e-07,3.5977347347394016e-06,7.427142970209009e-06,0.9999719150484337,9.882424415463245e-06
rh_chr1_2424927,"{NA2,Vv}",0.9999696731475627,0.9999675069438172,Vv,NA2,chr01,2384046,False,1.520412651679306e-11,2.3263907699696298e-11,4.144684046468485e-11,9.564556828958845e-07,7.036424032409843e-07,8.34659375766032e-12,2.6909380314394676e-11,5.009187987900904e-07,6.37406656794265e-07,2.5203628163812992e-11,8.001657482520126e-07,7.891550884689332e-06,2.551938385149621e-06,0.9999696731475627,1.628463350294083e-05
