Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.9771684473440541,0.9755376221543436,NA1,NA1,chr01,89866,False,8.180722996194318e-05,1.5934842642179598e-05,0.010877167525160913,0.00012004400600180401,3.16161269274679e-05,5.954914433283032e-06,0.0013919425448574011,1.7395711985234762e-05,9.053893846463769e-06,0.9771684473440541,0.00802107141186048,0.002161648005446037,5.3080250415757026e-05,3.6225105789449825e-05,8.611086617539468e-06
rh_chr1_268616,"{NA1,NA1}",0.9853886509071554,0.9843449831148094,NA1,NA1,chr01,263248,False,1.0891156866211394e-05,2.1333102217521586e-06,0.007934548753313394,6.44361709212738e-05,4.515087983145974e-06,1.0748727319501035e-06,0.00026799635471071154,4.152441064632754e-06,1.4265089216865394e-06,0.9853886509071554,0.0058368089602599425,0.00044906619166476346,1.733752748436998e-05,1.5135821226519369e-05,1.8259354741887601e-06
rh_chr1_334737,"{NA1,NA1}",0.9862685431022808,0.9852877247524437,NA1,NA1,chr01,329439,True,8.465441730498552e-06,1.7179458869077274e-06,0.007068326824885155,5.737238436997026e-05,3.6162557207529834e-06,8.045560681890334e-07,0.0002501627454715108,2.858150113404854e-06,1.1153398087355875e-06,0.9862685431022808,0.005894030273675137,0.000416187260990772,1.2235701365667416e-05,1.3154063650853692e-05,1.4099539815804915e-06
rh_chr1_443667,"{NA1,NA1}",0.9877477557451717,0.9868725954412554,NA1,NA1,chr01,438310,False,4.971564137040861e-06,1.0405477623169405e-06,0.005639595700442136,4.5777469542521515e-05,2.210302298135782e-06,4.277552841384139e-07,0.0002107196435237979,6.885761540331055e-07,6.425914309539975e-07,0.9877477557451717,0.005979580383799014,0.0003519722617074051,3.919876696038782e-06,9.88186131091705e-06,8.15720739789205e-07
rh_chr1_547952,"{NA1,NA1}",0.9906082681171305,0.9899374301254971,NA1,NA1,chr01,544389,False,2.362686367384038e-06,5.594039450171795e-07,0.004304246259350749,2.2525981238067516e-05,1.143405017691741e-06,1.990573337744951e-07,0.0001813941963624389,4.0127387870128984e-07,3.2382660625530916e-07,0.9906082681171305,0.004579184646715015,0.0002921254859154198,1.929357785402404e-06,4.9430736391255065e-06,3.932287145232841e-07
rh_chr1_631086,"{NA1,NA1}",0.9928749196821574,0.99236598537374,NA1,NA1,chr01,627268,False,7.842906721337482e-07,2.2056780331780808e-07,0.003252509859533669,8.69804536111689e-06,4.5118324911656695e-07,6.353545721264512e-08,0.00014823049130742002,1.7230340381060016e-07,1.2443876499080333e-07,0.9928749196821574,0.0034766086583561955,0.00023441143312541232,7.0548605026276e-07,1.9631565433964374e-06,1.368682147093633e-07
rh_chr1_741516,"{NA1,NA1}",0.9945100904189222,0.9941179540202738,NA1,NA1,chr01,737678,False,5.495849065758257e-07,2.0513934392063743e-07,0.002488561512250429,6.35383102034611e-06,3.759233398479293e-07,4.2850627001388765e-08,0.00012937927112187855,1.742315354165185e-07,9.672346308835006e-08,0.9945100904189222,0.0026652893245337306,0.0001968201312150127,5.015061216518058e-07,1.4657008139703896e-06,9.385078485595195e-08
rh_chr1_1060803,"{NA1,NA1}",0.9986465774070626,0.99854990436471,NA1,NA1,chr01,1049416,False,4.1733998951156015e-08,1.8215941182744463e-08,0.000598721111447588,4.6812929748201356e-07,3.456472114571671e-08,1.6369518254041985e-09,3.513926639284215e-05,1.761801966098351e-08,5.953289917032976e-09,0.9986465774070626,0.0006612587228899072,5.755989999514165e-05,4.10937996812145e-08,1.084631826707591e-07,6.183009283922862e-09
rh_chr1_1170229,"{NA1,NA1}",0.9998439761707012,0.9998328316114655,NA1,NA1,chr01,1140710,False,4.273709328655493e-09,2.3278846788348303e-09,6.141374735067514e-05,4.612679861791784e-08,3.7180870153062913e-09,2.2833119736620492e-10,5.357996007171514e-06,2.2813513796467005e-09,7.129635710912245e-10,0.9998439761707012,8.287173460330878e-05,6.3049156606003245e-06,4.165494486878253e-09,1.0964450182390583e-08,6.366065240524412e-10
rh_chr1_1304008,"{NA1,NA1}",0.9999835253530979,0.9999823485926048,NA1,NA1,chr01,1265000,False,2.7845542050569605e-10,1.2488997818028298e-10,5.164852184029376e-06,2.172498386867278e-09,2.09544144187561e-10,1.015982935670855e-11,4.251200036123444e-06,1.2554986880783337e-10,3.7109863684785806e-11,0.9999835253530979,6.1654500486312095e-06,8.892462954641969e-07,2.792787773992047e-10,6.122438480382406e-10,4.8607774171733024e-11
