Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9944531785519755,0.9940569770199738,Vv,Vv,chr01,89866,False,1.9026301017931203e-05,1.058002845640318e-05,1.574268289836273e-05,1.2071723802046532e-05,0.0016860273412597163,6.415193209783276e-06,9.417893136600242e-06,8.35365893290904e-06,0.0011046906006689577,1.1560352745686786e-05,1.0163334057950778e-05,0.0014693907491212064,7.585884519925256e-06,0.0011757957041970872,0.9944531785519755
rh_chr1_268616,"{Vv,Vv}",0.9961641346333787,0.9958901442500486,Vv,Vv,chr01,263248,True,1.3235506802507543e-05,4.980410352603785e-06,9.581684833098064e-06,6.373526887224105e-06,0.0012839051602310462,2.68289784740478e-06,4.210861870253313e-06,3.680253577681304e-06,0.000679799109554791,6.507955860944602e-06,4.837448234890071e-06,0.0010587891251682986,3.593929451917368e-06,0.000753687495948738,0.9961641346333787
rh_chr1_334737,"{Vv,Vv}",0.9968417502871098,0.9966161610219033,Vv,Vv,chr01,329439,True,1.1562077981110305e-05,3.56018681696888e-06,7.939735611824543e-06,4.914287513330055e-06,0.0011227123120647108,1.8033701977315453e-06,2.9453592783267875e-06,2.62498529840011e-06,0.0005098209571989282,5.119263827185628e-06,3.525050087883895e-06,0.0008943246547558607,2.6142530169181684e-06,0.0005847832192410908,0.9968417502871098
rh_chr1_443667,"{Vv,Vv}",0.9979910760077397,0.997847581436864,Vv,Vv,chr01,438310,False,9.24606313532357e-06,1.503912572927083e-06,5.510426501481835e-06,2.792289285928916e-06,0.0008480870861946023,8.041598949911243e-07,1.1490423448589028e-06,1.1818241019039886e-06,0.00022062868617632093,3.2753820436037594e-06,1.6498846847514681e-06,0.0006142747959790743,1.4489100773415803e-06,0.0002973715292671811,0.9979910760077397
rh_chr1_547952,"{Vv,Vv}",0.9989401180410594,0.9988644121868494,Vv,Vv,chr01,544389,False,7.222089838199285e-06,8.492269647444857e-07,3.3090602308266785e-06,1.967138404762253e-06,0.0005052112094067237,4.06737425064011e-07,5.749992650677926e-07,6.000040607119662e-07,9.922712391286607e-05,1.90065203703858e-06,9.132218093367394e-07,0.00027913393217521754,9.663732205857644e-07,0.00015760019018939698,0.9989401180410594
rh_chr1_631086,"{Vv,Vv}",0.9988682524707755,0.9987874133615452,Vv,Vv,chr01,627268,True,6.839444465467885e-06,7.678397791334443e-07,3.0056178554204415e-06,1.8720594242697372e-06,0.0005313021863910226,3.4775023716417424e-07,5.151523726988114e-07,5.291830422087971e-07,0.00011594581851995639,1.6885249405267e-06,8.278142654968388e-07,0.0002837713419115928,8.85418780505708e-07,0.00018344937723901756,0.9988682524707755
rh_chr1_741516,"{Vv,Vv}",0.9988003024099821,0.9987146097249808,Vv,Vv,chr01,737678,True,6.355983938280941e-06,6.604054744432289e-07,2.6171734886209345e-06,1.748970204330183e-06,0.0005592413373857478,2.762238277919904e-07,4.3835159739057497e-07,4.392417426373008e-07,0.00013114215301575312,1.4300912379689245e-06,7.176435876468307e-07,0.0002829439379669259,7.849491830612481e-07,0.00021090112736733314,0.9988003024099821
rh_chr1_1060803,"{Vv,Vv}",0.9987803555426588,0.9986932380814201,Vv,Vv,chr01,1049416,True,5.119226790656855e-06,3.2632001650325836e-07,1.5163323737301759e-06,1.3789057782686872e-06,0.0005960711044345663,1.0745855821025935e-07,2.056479739098344e-07,1.7808369693869637e-07,0.0001303598979799551,8.192667693140164e-07,3.877712943373339e-07,0.0002373107525322686,5.356051630757493e-07,0.0002453280839795141,0.9987803555426588
rh_chr1_1170229,"{Vv,Vv}",0.9988223004921993,0.998738179098785,Vv,Vv,chr01,1140710,False,4.817816002296751e-06,2.483981647829519e-07,1.276569189207254e-06,1.2980976556548735e-06,0.0005950742087587285,7.492724924549747e-08,1.6232544205414e-07,1.2468117712425048e-07,0.00011791472280050215,6.991587882683645e-07,3.1963067835260683e-07,0.0002118683219259073,4.789643485570145e-07,0.00024334168561999359,0.9988223004921993
rh_chr1_1304008,"{Vv,Vv}",0.9989549194165236,0.9988802708034181,Vv,Vv,chr01,1265000,False,3.981828855607076e-06,1.8844275362739306e-07,1.087367484081417e-06,1.0245758682088085e-06,0.0005398140998659085,3.971401159919643e-08,1.1172780071132596e-07,7.68291760788356e-08,0.00010439205875071738,5.677346745465333e-07,2.6039698283521524e-07,0.00018575198200783305,3.4754951956756746e-07,0.0002074362757251191,0.9989549194165236
