Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.9709440650249616,0.9688686410981731,NA2,NA2,chr01,89866,False,4.2373470389743117e-05,3.466380964531828e-05,5.324481721253609e-05,0.008413598844918203,3.13700759214139e-05,1.9541831733869963e-05,3.941646021259985e-05,0.0049566151218944044,2.212498823589482e-05,5.176183851021776e-05,0.010681263830242278,3.483282768739313e-05,0.9709440650249616,0.004657998290532072,1.7128767902465105e-05
rh_chr1_268616,"{NA2,NA2}",0.9789453060684321,0.9774413993590344,NA2,NA2,chr01,263248,False,4.717178302737641e-06,4.184410731688346e-06,5.830755482812246e-06,0.006207556327676192,2.9186773422387857e-06,2.0544746918846765e-06,5.4968058985580105e-06,0.003150042379390035,2.4951978106198885e-06,5.835655815666022e-06,0.008663065456583803,3.1811378501018275e-06,0.9789453060684321,0.0029959476297115642,1.3678442800015303e-06
rh_chr1_334737,"{NA2,NA2}",0.9810616876981358,0.9797089511051456,NA2,NA2,chr01,329439,False,5.531562719216243e-07,4.654724915861513e-07,7.421166097809128e-07,0.005635181569299813,3.3255272544531474e-07,2.006338081821144e-07,6.439253341604964e-07,0.0025279025419233823,2.657068959866076e-07,7.611898604329649e-07,0.008164294272815462,3.8214522119374576e-07,0.9810616876981358,0.0026064452005972573,1.4181800959594762e-07
rh_chr1_443667,"{NA2,NA2}",0.9840322565978661,0.9828917034977137,NA2,NA2,chr01,438310,False,1.1230361869063455e-07,8.606862198618674e-08,1.8774558113727252e-07,0.004802640813689818,5.628529236391942e-08,3.769628460085681e-08,1.3947897116338207e-07,0.0016700774759798565,4.413781526864345e-08,2.1287615899942839e-07,0.007450117164762361,8.012952596939517e-08,0.9840322565978661,0.0020439322167597612,1.9009071818142438e-08
rh_chr1_547952,"{NA2,NA2}",0.9861047757028526,0.9851122596816277,NA2,NA2,chr01,544389,False,6.82221534407207e-08,2.986420469746012e-08,1.3501239028800793e-07,0.004217722638497443,3.561408995857652e-08,1.2984282720042988e-08,4.7025824458823875e-08,0.0010718697572189436,1.5440574150348876e-08,1.35423904664511e-07,0.006959895312736503,4.880375516325675e-08,0.9861047757028526,0.0016451989726273934,9.224887697447362e-09
rh_chr1_631086,"{NA2,NA2}",0.9872573167455598,0.9863471250845284,NA2,NA2,chr01,627268,False,1.6617604366368163e-08,1.2221266308433481e-08,3.86360625509395e-08,0.0037243562090748723,1.0558243474303658e-08,5.361327186864821e-09,2.3389962613229163e-08,0.0009826234731290847,6.0612293143295566e-09,4.407320701773196e-08,0.00654873765205148,1.522144391433935e-08,0.9872573167455598,0.0014867912399943288,2.5398434903167815e-09
rh_chr1_741516,"{NA2,NA2}",0.9883513770170236,0.9875193325182395,NA2,NA2,chr01,737678,False,3.4754247684998434e-08,4.3375023797745464e-08,8.823137603778278e-08,0.003350244168600972,4.0124546744824325e-08,1.091152182481793e-08,6.479838765405089e-08,0.000869294091609829,2.220664032732675e-08,5.946887394137589e-08,0.00604577652398478,4.9566650222328147e-08,0.9883513770170236,0.0013828855392810644,9.222231727213426e-09
rh_chr1_1060803,"{NA2,NA2}",0.9904101335709562,0.9897251431117388,NA2,NA2,chr01,1049416,True,5.605671805207519e-08,6.160615913269744e-08,1.6422446367521662e-07,0.002594472780698834,8.279530497114256e-08,1.3548262105482936e-08,1.0258838960176245e-07,0.000640496417037852,3.571436812323843e-08,1.2909820307694254e-07,0.005137517460051504,1.2768279852532555e-07,0.9904101335709562,0.0012165773534079135,2.9103180351823248e-08
rh_chr1_1170229,"{NA2,NA2}",0.991064085999675,0.9904258064282232,NA2,NA2,chr01,1140710,False,3.413790622436228e-08,3.5530589127075887e-08,1.0301257078906905e-07,0.0023613666263047222,5.1566756288641276e-08,7.648378635006992e-09,6.250003914736667e-08,0.0005591762318662578,2.0117648644862265e-08,9.205770261595191e-08,0.004861003702918765,8.450470889130552e-08,0.991064085999675,0.0011538552780503931,2.1084884536383636e-08
rh_chr1_1304008,"{NA2,NA2}",0.9916852398800441,0.9910913284429044,NA2,NA2,chr01,1265000,False,2.8886218732841873e-08,3.168506181590798e-08,8.670780619793346e-08,0.002191854042927129,3.1615487891093e-08,6.549838487847592e-09,5.458684105473755e-08,0.000527325654349598,1.473769221712323e-08,6.117372931485666e-08,0.004569813101598672,4.2725682376966097e-08,0.9916852398800441,0.0010253979597550826,1.069296743636013e-08
rh_chr1_1400565,"{NA2,NA2}",0.9920025624820673,0.9914313169450721,NA2,NA2,chr01,1361620,False,1.3172072603161964e-08,1.6618199847668507e-08,4.187787168955542e-08,0.0020620916942642653,1.908051117535726e-08,3.4240749477121074e-09,2.9620017466163102e-08,0.0005040371844912407,9.505070081759025e-09,1.950756463108195e-08,0.004383464643286246,1.962716273637872e-08,0.9920025624820673,0.0010476673684481459,4.194897597948064e-09
