Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.9824116491849297,0.9811553384124247,NA1,Vv,chr01,89866,False,5.8946076280153495e-06,3.4480308770790916e-06,0.000670870772434986,3.9722508737776974e-06,0.007248478795676203,1.090557089551509e-06,0.00030873143286633,1.9844560958946763e-06,0.0003389904181645123,0.0007144451026166302,0.0003614678976655462,0.9824116491849297,1.4721507907702264e-06,0.0025998775561916236,0.005327626786099266
rh_chr1_268616,"{NA1,Vv}",0.9955148599233276,0.9951944927749938,NA1,Vv,chr01,263248,False,1.6084402998880811e-06,2.4585994636480896e-07,0.00033006490655900953,3.7037795781740285e-07,0.003424728635165761,4.4352842176869105e-08,1.540213870275756e-05,6.627768768623889e-08,2.3808689161609954e-05,6.238714654436262e-05,3.087647840250789e-05,0.9955148599233276,6.316875737078239e-08,0.00016975545489377594,0.00042571814975132517
rh_chr1_334737,"{NA1,Vv}",0.9979073579137072,0.997757883478972,NA1,Vv,chr01,329439,False,4.80872343539867e-07,1.1768586566901621e-07,0.0003170463686978551,1.3018480671076402e-07,0.001480682458852154,1.8443736888246965e-08,4.619978028964899e-06,2.5350765189626283e-08,1.0884801324293115e-05,3.4644185249241296e-05,1.3557720284755393e-05,0.9979073579137072,2.5078683542059807e-08,5.4140992498279336e-05,0.00017626796515567524
rh_chr1_443667,"{NA1,Vv}",0.9987685981880977,0.998680640915819,NA1,Vv,chr01,438310,False,2.0414012221903895e-07,8.92865717666269e-08,0.0002022947119229202,6.460324015633001e-08,0.0008298254840037918,5.353186759073952e-09,3.930059770024876e-06,8.193594579570012e-09,1.289789681241458e-05,2.6676231989668537e-05,9.672290499357373e-06,0.9987685981880977,9.268292233980043e-09,3.107690619636758e-05,0.00011464738570018139
rh_chr1_547952,"{NA1,Vv}",0.9996504812557233,0.9996255156311321,NA1,Vv,chr01,544389,False,6.862539506862553e-08,7.726770178480623e-08,7.311817985646813e-05,3.082990459326622e-08,0.00018125155458167562,1.4813283512672634e-09,1.2358739140128052e-06,2.9992794033245032e-09,1.4890392736572143e-05,9.234748754720547e-06,4.720905140899861e-06,0.9996504812557233,5.161885014447653e-09,1.4067840947755e-05,5.081288285035132e-05
rh_chr1_631086,"{NA1,Vv}",0.9996293229351729,0.999602846001971,NA1,Vv,chr01,627268,False,4.7015649013623115e-08,9.455099250376768e-08,6.951261341391425e-05,2.9697935431509048e-08,0.00014142168594950024,3.2791123370780717e-10,3.064725776081829e-06,2.1121426398202155e-09,5.253745278066405e-05,1.1425073919601758e-05,1.1198884841876985e-05,0.9996293229351729,4.971998276324228e-09,2.316449250845953e-05,5.817345900782675e-05
rh_chr1_741516,"{NA1,Vv}",0.9997230749024131,0.9997032945382998,NA1,Vv,chr01,737678,False,2.1747660462377285e-08,3.953011417873122e-08,6.154175809338696e-05,2.6338301442463983e-08,7.779004704414969e-05,3.971460286701063e-10,2.0542554789038426e-06,2.6950658935798333e-09,1.7766051174431225e-05,9.876337642689136e-06,1.8588758245839243e-05,0.9997230749024131,5.280609858016081e-09,3.217072661329714e-05,5.704117439649782e-05
rh_chr1_1060803,"{NA1,Vv}",0.9994997156580543,0.999463981062201,NA1,Vv,chr01,1049416,False,4.311297346276456e-09,5.113634751749716e-09,1.8475464470024726e-05,1.7143160456295108e-08,6.60072231092186e-05,8.49664875532544e-10,1.1142616454204752e-06,3.765431808611472e-09,5.44482995792762e-06,3.0397883156265843e-06,1.4607396646001535e-05,0.9994997156580543,8.037467166237557e-09,0.00014646042600724248,0.00024509573113788675
rh_chr1_1170229,"{NA1,Vv}",0.9994287315986186,0.9993879267128056,NA1,Vv,chr01,1140710,False,3.4638748929246315e-09,4.240550580503558e-09,2.1335300714771384e-05,2.424997324548575e-08,5.91919976317236e-05,1.2959846039898582e-09,1.22594357839616e-06,6.295082644374665e-09,9.184240781364984e-06,1.7744693717012769e-06,2.6214732462559525e-05,0.9994287315986186,1.334100666793887e-08,0.00017813523521975204,0.00027415359514861443
rh_chr1_1304008,"{NA1,Vv}",0.998852848488419,0.9987709090947346,NA1,Vv,chr01,1265000,False,5.201245218193061e-09,6.460568931934377e-09,3.157529268189332e-06,6.239496687928435e-08,9.088874724468358e-05,5.157057408731863e-09,3.5191399601563585e-06,2.6216505419334702e-08,4.282335296468008e-05,6.578298850455147e-07,1.9837909705167996e-05,0.998852848488419,3.7501918861899276e-08,0.00040221318045824525,0.0005839108898323243
rh_chr1_1400565,"{NA1,Vv}",0.9917697086769355,0.991181830725288,NA1,Vv,chr01,1361620,False,1.3517971460575975e-08,1.6651134801539355e-08,5.463584158628923e-06,2.0117445789867622e-07,0.0005681597893313424,5.0815849959677653e-08,6.194914364066483e-06,1.4498443428772588e-07,0.0004463935646389058,4.066827817475703e-06,8.267495900271799e-05,0.9917697086769355,1.9352510762720034e-07,0.0034287324589416554,0.0036879845558536587
rh_chr1_1482273,"{NA1,Vv}",0.912335686233682,0.9060739495360879,NA1,Vv,chr01,1441962,False,7.881692800629649e-08,9.633897117111025e-08,2.052235463276252e-05,1.2785150419723252e-06,0.0019893237571831654,5.908673303391396e-07,2.1213820513857035e-05,1.4810308023828528e-06,0.0056693967523912415,1.4797500743917115e-05,0.0003261071891766141,0.912335686233682,2.0822023723271104e-06,0.04264388314131941,0.036973461478910875
rh_chr1_1623606,"{NA1,Vv}",0.8229379249472715,0.8102906338720766,NA1,Vv,chr01,1583376,True,2.949076569090891e-07,4.50218016679454e-07,4.014725448860171e-05,5.813222825569727e-06,0.004309300068545978,5.750550523440375e-07,3.1021040785882484e-05,8.062652500803382e-06,0.005992176805891153,2.799300450423301e-05,0.0006736047072017232,0.8229379249472715,9.355228466250344e-06,0.11292911784682583,0.05303416303996674
