Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.7242037399670056,0.704504007107506,NA2,Vv,chr01,89866,False,0.0006308677941863756,0.00027693294914123574,0.00042194695761363745,0.005558161198664791,0.032091509079620516,6.36386093908549e-05,0.00014460307110606224,0.001906593759762801,0.0044627170637405724,0.00025182105480317946,0.0021062933315588294,0.015059166798705236,0.005332067500330124,0.7242037399670056,0.20748994086437014
rh_chr1_268616,"{NA2,Vv}",0.7394411981478707,0.7208298551584329,NA2,Vv,chr01,263248,False,0.00047801379103514923,0.0001873682343288267,0.00031163552944438747,0.003991610727480967,0.030683461852154814,4.382561177859859e-05,9.788930819440882e-05,0.000314958078589551,0.002399404324680643,0.0001858072669064656,0.0004953482078303728,0.013249796724835141,0.0021784248261981554,0.7394411981478707,0.20594125736867172
rh_chr1_334737,"{NA2,Vv}",0.736612317101456,0.7177989111801315,NA2,Vv,chr01,329439,True,0.0004426427223616943,0.00016924787858826608,0.00028849355667224245,0.0038189245926020334,0.031247451003268895,4.069004130574736e-05,8.915421055705837e-05,0.0002926731183649139,0.0022553263469744203,0.00017109526120005476,0.000463742304025063,0.013367644266079667,0.0020188223640987997,0.736612317101456,0.20872177523244503
rh_chr1_443667,"{NA2,Vv}",0.7319958992650127,0.7128527492125136,NA2,Vv,chr01,438310,True,0.0003841834157816109,0.000138996394525566,0.00024967656227075757,0.0035319727666484656,0.03216503127353986,3.6098239959040355e-05,7.49285944172754e-05,0.00025265599707083097,0.002000419440607892,0.0001472774016040481,0.00040746029150207324,0.013547291978176421,0.0017533197924714233,0.7319958992650127,0.21331478858641187
rh_chr1_547952,"{NA2,Vv}",0.727542166713269,0.7080808929070739,NA2,Vv,chr01,544389,False,0.00032691680004242175,0.00010916925694487352,0.00021111839920457512,0.003249674208557541,0.03304742419362264,3.233993848668539e-05,6.142810556021875e-05,0.00020995215448790469,0.0017305395278477034,0.00012455411784202615,0.00034779565459166774,0.013705442132324799,0.0014913441337155752,0.727542166713269,0.21781013466350238
rh_chr1_631086,"{NA2,Vv}",0.7133331396870148,0.6928569353789444,NA2,Vv,chr01,627268,True,0.00031886245814187047,0.00010559530710985997,0.00020709010388506336,0.0032813233953788187,0.0328198557807596,3.066886926542939e-05,5.875526991971344e-05,0.000230258835851731,0.0019487616645081699,0.00011992888631147172,0.0003710169109906715,0.013925062751748553,0.0014851153482785082,0.7133331396870148,0.23176456473083565
rh_chr1_741516,"{NA2,Vv}",0.6944894762329867,0.6726672959639144,NA2,Vv,chr01,737678,True,0.00030829288720609786,0.00010075537785427945,0.00020156680913407444,0.0033206820846569314,0.03247386835961099,2.8592822703894495e-05,5.52519538327245e-05,0.00025346438551540753,0.0021881904282324105,0.0001139579748014171,0.00039717700153163254,0.014172005365957417,0.001472917683714035,0.6944894762329867,0.25042380063226194
rh_chr1_1060803,"{NA2,Vv}",0.6417570055646792,0.6161682202478705,NA2,Vv,chr01,1049416,False,0.0002793152750790763,8.558801330012221e-05,0.00018383203203455983,0.00340895512770872,0.03122673154528373,2.3559339678345018e-05,4.4944689491547795e-05,0.0002947007732589957,0.0025450011678968825,9.816380554270931e-05,0.0004406380102526349,0.014583451195743351,0.0014144129567999514,0.6417570055646792,0.3036137005032502
rh_chr1_1170229,"{NA2,Vv}",0.6264747669311617,0.5997943931405304,NA2,Vv,chr01,1140710,False,0.00027113311204092494,8.151392514620973e-05,0.00017891853160137265,0.003434821651972252,0.03078898449733382,2.2332080346689523e-05,4.2291601552111785e-05,0.000302246206666728,0.002560716608324404,9.3786906942914e-05,0.00044741352557303195,0.014625966170870317,0.0013925270136809602,0.6264747669311617,0.3192825812367866
rh_chr1_1304008,"{NA2,Vv}",0.6072078292609335,0.5791512456367145,NA2,Vv,chr01,1265000,True,0.0002539989183864059,7.694512343733692e-05,0.00017336944475711564,0.003470639012764825,0.029829974261939188,2.0864956534667156e-05,3.879818087876857e-05,0.00030985412052861175,0.0025444332158833078,8.816147423805434e-05,0.00045314028499847864,0.014688084106744086,0.0013614711961605637,0.6072078292609335,0.33948243644181514
rh_chr1_1400565,"{NA2,Vv}",0.5923060305762159,0.5631850327602314,NA2,Vv,chr01,1361620,False,0.00024108199670760933,7.344495717779727e-05,0.00016900893569578003,0.003497825694156187,0.029043483862588378,1.9854700384461124e-05,3.6157155574254474e-05,0.000313327640170425,0.002482314502830117,8.391530925874962e-05,0.0004542279970080161,0.014692809813089224,0.001334562533632258,0.5923060305762159,0.3552519543255109
rh_chr1_1482273,"{NA2,Vv}",0.5891236115290338,0.5597752980668219,NA2,Vv,chr01,1441962,True,0.00023377621910850466,7.344954740421733e-05,0.0001674041107677469,0.003547216668728761,0.028604583321564063,1.921365929881726e-05,3.597256007576629e-05,0.0003192141576739248,0.002621699916959994,8.135829726112922e-05,0.00046250743213453196,0.014532262151516918,0.0013218025950207158,0.5891236115290338,0.35885592783345105
rh_chr1_1623606,"{NA2,Vv}",0.5835707589618628,0.5538258131734245,NA2,Vv,chr01,1583376,True,0.0002209373760147887,7.308798711972767e-05,0.00016416639938178482,0.0036309306513032233,0.027813449911201195,1.814316260375499e-05,3.5502938593296705e-05,0.00032520156684330694,0.002840567011559209,7.693759013829302e-05,0.00047237199566240384,0.014227569904211718,0.0012933444503885243,0.5835707589618628,0.36523703009311603
rh_chr1_1879893,"{NA2,Vv}",0.573672500812763,0.5432205365851032,NA2,Vv,chr01,1839399,True,0.00019775286304320476,7.121229822533463e-05,0.00015695620676900964,0.003772259357414354,0.026320022838295192,1.6351888116980297e-05,3.414182146734983e-05,0.000322015621509285,0.0031506399320034703,6.917889186074846e-05,0.00047514906780156223,0.013603684157725216,0.001222552428124403,0.573672500812763,0.3769155818148808
rh_chr1_1999515,"{NA2,Vv}",0.5691193802691308,0.5383421931454972,NA2,Vv,chr01,1959058,True,0.00018701346368308258,7.001217403739376e-05,0.00015339820994741659,0.0038354000008908877,0.025595887032691438,1.5530483191596942e-05,3.3404239942454164e-05,0.0003150065182207411,0.003257756465056868,6.566531837594489e-05,0.0004705854501814933,0.013280753223065805,0.0011813559318816567,0.5691193802691308,0.3824188512197025
rh_chr1_2145831,"{NA2,Vv}",0.5635849562659675,0.532412453142108,NA2,Vv,chr01,2106048,True,0.00017388267574753905,6.815898944856545e-05,0.0001486687720876641,0.003909727726561955,0.024682437175211132,1.4556354457203171e-05,3.234330139771434e-05,0.000301396987136934,0.003355972650991004,6.145497063168447e-05,0.00045963400676125003,0.012855953996939203,0.001123632037728628,0.5635849562659675,0.38922722408893207
