Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{EA,Vv}",0.7104968749723567,0.689818080327525,EA,Vv,chr01,89866,False,0.0002539866157257098,0.00012410256921071224,0.0001446987072160834,0.0001464648587836652,0.7104968749723567,5.708755954296842e-06,9.258948700743166e-06,1.2882552567050423e-05,0.01683974823467284,1.309211642580415e-05,1.7530555828460586e-05,0.03341880235800783,2.1215979577717986e-05,0.05454006820617883,0.18395556456879386
rh_chr1_268616,"{EA,Vv}",0.7169221108569881,0.6967022616324873,EA,Vv,chr01,263248,False,0.00012013476967761808,6.121374808430709e-05,8.02236889915595e-05,8.023977576535197e-05,0.7169221108569881,2.464347994626406e-06,4.487481623972591e-06,6.312964750075221e-06,0.014812749219556652,6.671028069565861e-06,9.500830708535377e-06,0.03153055865376859,1.0959379714668147e-05,0.05292707724330589,0.18342529601100047
rh_chr1_334737,"{EA,Vv}",0.719412445044681,0.6993704768335869,EA,Vv,chr01,329439,False,3.450799092358091e-05,1.6064470085118666e-05,2.3108032663237098e-05,2.3209628962847202e-05,0.719412445044681,6.094234910153867e-07,1.1659553413490053e-06,1.6454064422563173e-06,0.013998940547863862,1.809876806518974e-06,2.6611718016876693e-06,0.03055234867501276,3.0488702380024716e-06,0.05207014520072174,0.18385828970496518
rh_chr1_443667,"{EA,Vv}",0.7235059800866801,0.7037564072357286,EA,Vv,chr01,438310,True,2.503728380896956e-05,1.2676756076555564e-05,1.8701748302464585e-05,1.881163713652481e-05,0.7235059800866801,3.912630588649071e-07,8.575423125134172e-07,1.2281250786463017e-06,0.012854702924380247,1.2022263577620356e-06,2.0224396520283444e-06,0.029073032016407544,2.0809139272451234e-06,0.05077019731598548,0.18371307772083498
rh_chr1_547952,"{EA,Vv}",0.727543408609258,0.7080822235099193,EA,Vv,chr01,544389,False,1.0539431909871314e-05,4.331651268986968e-06,8.531814656054008e-06,8.552176208589929e-06,0.727543408609258,1.2339832144225192e-07,3.0121280518801854e-07,4.235885895184981e-07,0.01173034281002189,4.621516440797073e-07,8.664446830934185e-07,0.02762657846326797,8.280024380307951e-07,0.04949985929329859,0.18356485095162867
rh_chr1_631086,"{EA,Vv}",0.7306933751673552,0.7114571876793092,EA,Vv,chr01,627268,True,1.0691196020808426e-05,5.741443218572366e-06,9.882050926074657e-06,9.93137583515601e-06,0.7306933751673552,1.298718563986381e-07,3.808177010635969e-07,5.372804787631459e-07,0.011176161059229688,4.254863634362932e-07,9.508169271592817e-07,0.02653223262130796,7.893084824682498e-07,0.048549114998203725,0.18300965650609347
rh_chr1_741516,"{EA,Vv}",0.7349350185011604,0.7160018055369576,EA,Vv,chr01,737678,False,5.9638016264538125e-06,3.543928256773401e-06,6.243898280081707e-06,6.252689982423453e-06,0.7349350185011604,6.748064901593099e-08,2.3996576251240493e-07,3.2749844234078327e-07,0.010426958280873347,2.1213855717759086e-07,5.595905834498348e-07,0.025070003919812577,4.2385446437152905e-07,0.0472793853405971,0.18226479911095192
rh_chr1_1060803,"{EA,Vv}",0.749536486100805,0.7316462351080054,EA,Vv,chr01,1049416,True,1.1613467955048196e-05,8.826025781013639e-06,1.6796964505414897e-05,1.6291600541584662e-05,0.749536486100805,1.260322516604736e-07,6.254780547372786e-07,7.592715341828906e-07,0.008611441557236182,3.1018821722302906e-07,1.178487645578726e-06,0.021302043974297465,7.895024047885568e-07,0.04407343816317065,0.1764192731855993
rh_chr1_1170229,"{EA,Vv}",0.7538985972762384,0.7363199256531126,EA,Vv,chr01,1140710,False,4.389357620350397e-06,3.3395658743718566e-06,1.0456640501890308e-05,9.610800360273195e-06,0.7538985972762384,4.138310110921325e-08,3.9983644292538087e-07,3.46055505080319e-07,0.008056909081005424,8.631840973531194e-08,5.911701344364018e-07,0.020186054700297447,3.765496695170659e-07,0.043124665578404386,0.17470413568643467
rh_chr1_1304008,"{EA,Vv}",0.7584002620958253,0.7411431379598129,EA,Vv,chr01,1265000,False,6.425056538340869e-07,1.9350660876511064e-06,9.078893357447321e-07,9.402374629393189e-07,0.7584002620958253,3.5393351427986625e-08,1.5924412818905736e-07,1.8022653981627648e-07,0.00775106088979011,9.330762915106512e-09,4.791693171482571e-08,0.0197936908242018,3.057022866499722e-08,0.04214194274241924,0.17190815506728063
rh_chr1_1400565,"{EA,Vv}",0.7559946912256361,0.7385657405988958,EA,Vv,chr01,1361620,False,2.2918030542808114e-06,1.917019407453917e-06,2.146635418470743e-06,2.5270513256746773e-06,0.7559946912256361,2.2667190583300006e-08,1.1154446093956612e-07,1.517295428572094e-07,0.006473416187353661,4.67916255360852e-08,1.640306408178945e-07,0.017711891447361745,1.001982881470511e-07,0.03784306007619216,0.18196746159250154
