Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA2}",0.9729942765075821,0.9710652962581237,NA1,NA2,chr01,89866,False,5.502600390931553e-06,4.380708223547478e-05,0.0011690063271649564,0.0038973112296276672,1.3731022713376786e-05,4.489115174851745e-06,0.0038281692654632956,0.003854496863481764,1.55696491004905e-05,0.0024042625953411443,0.9729942765075821,0.0015348233696117028,0.00799266072593804,0.002235158712239973,6.734933934297381e-06
rh_chr1_268616,"{NA1,NA2}",0.9963450519264029,0.9960839842068603,NA1,NA2,chr01,263248,False,4.5499373817898773e-07,2.372417321610181e-06,0.00017802001186028788,0.000527193348477577,8.56538236561373e-07,2.3037070570084592e-07,0.0005209474601026189,0.00033846462072556043,7.944704187342892e-07,0.0005208739210704231,0.9963450519264029,0.00021566664649443293,0.0010642191293187585,0.00028437678872791667,4.773563988150974e-07
rh_chr1_334737,"{NA1,NA2}",0.9974525948316625,0.9972706373196384,NA1,NA2,chr01,329439,True,2.3671379080354868e-07,1.2346741348674786e-06,0.00012294991609350565,0.00041645583638290985,4.644135239960605e-07,9.381050080590537e-08,0.0003379853718057861,0.00022045667698976295,4.0438156286227126e-07,0.0003499624669174782,0.9974525948316625,0.00014260605547146795,0.0007352553889838928,0.00021906979993439716,2.2966224499307339e-07
rh_chr1_443667,"{NA1,NA2}",0.9993143224943832,0.9992653455296964,NA1,NA2,chr01,438310,False,2.6992970025972703e-08,1.1578549179812797e-07,2.7265412642832624e-05,0.0002296713660532297,4.508576749920099e-08,7.038386930448326e-09,3.3582962187259784e-05,2.1277543987764248e-05,3.0468339864856205e-08,6.147003185745052e-05,0.9993143224943832,1.7944331002723165e-05,0.00018766632068787517,0.00010655877791807908,1.5388323560286578e-08
rh_chr1_547952,"{NA1,NA2}",0.999882215511022,0.9998738023332379,NA1,NA2,chr01,544389,False,2.270683878839731e-09,7.860375674949182e-09,1.7646164990553328e-05,2.7907662654935846e-05,3.5918815075369664e-09,3.7626490408576973e-10,2.9952461841072915e-06,2.1479430098202183e-06,1.829045990638061e-09,2.838279776316755e-05,0.999882215511022,3.215771263409482e-06,2.52874103046753e-05,1.0184467238677905e-05,1.0973167291674777e-09
rh_chr1_631086,"{NA1,NA2}",0.9999782215289588,0.9999766659238843,NA1,NA2,chr01,627268,False,7.206323874539774e-10,1.4148806395279881e-09,5.3412207738042955e-06,2.6220578424507736e-06,8.568835738227615e-10,4.690076884869175e-11,3.580293985908215e-07,2.38531020389937e-07,2.9475126963558327e-10,5.468027946839795e-06,0.9999782215289588,1.0400511055184021e-06,5.715531103772086e-06,9.914263474962483e-07,2.614537523981609e-10
rh_chr1_741516,"{NA1,NA2}",0.9999590323294913,0.9999561060673121,NA1,NA2,chr01,737678,False,3.5593557967456184e-10,4.949910526719253e-10,1.4062526728448318e-05,2.797956972060284e-06,3.9695462755363496e-10,3.457902543462581e-11,8.4847366169912e-07,8.094988405065818e-07,1.3748071826961465e-10,7.1506273688163474e-06,0.9999590323294913,7.33740848095739e-06,6.309542357317036e-06,1.6501080648167224e-06,1.080930997231268e-10
rh_chr1_1060803,"{NA1,NA2}",0.9999329560926731,0.9999281672421497,NA1,NA2,chr01,1049416,False,4.213063576986742e-10,1.3940869536907932e-10,1.9994843087647637e-05,5.431703124742998e-06,4.090114259081898e-10,4.633290015622829e-11,1.7329082223786393e-06,1.7323907607343893e-06,9.310733253520526e-11,1.4123070895530798e-05,0.9999329560926731,8.971364613955167e-06,1.0599116771841897e-05,4.457229582497142e-06,1.7110080674695034e-10
rh_chr1_1170229,"{NA1,NA2}",0.9999730406077209,0.9999711149368438,NA1,NA2,chr01,1140710,False,3.520471002613842e-11,2.824010020379329e-11,1.5523615978673308e-05,9.497424655945353e-07,5.80298606808918e-11,1.0615600395225235e-11,3.9961235259275204e-07,4.3375007915979393e-07,2.3344908660919884e-11,2.4911342648029753e-06,0.9999730406077209,4.508910824185003e-06,1.8620782419561582e-06,7.903671881501579e-07,2.5448898550970676e-11
rh_chr1_1304008,"{NA1,NA2}",0.9999937659141701,0.9999933206223252,NA1,NA2,chr01,1265000,False,1.3885793631407402e-11,1.8387866713590723e-11,1.223542582724402e-06,4.2433978397198387e-07,2.633368999575442e-11,8.224468569109578e-12,4.165313977430503e-07,1.0954452337666967e-06,1.5491555378611803e-11,9.47142629420031e-07,0.9999937659141701,6.255946357233107e-07,6.90284440713275e-07,8.111076595238197e-07,1.5142871476763378e-11
