Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.9736647010005486,0.9717836082148735,NA2,Vv,chr01,89866,False,4.470243558791953e-06,4.605626310966696e-06,4.893632279571833e-06,0.0006430946649100436,0.004840590337230789,3.5520247914498857e-06,4.510842268871364e-06,0.0005873459557413806,0.004199259842098579,4.241908386452427e-06,0.0006074391949651022,0.0048302637298689236,0.0017095138081456263,0.9736647010005486,0.008891517188894861
rh_chr1_268616,"{NA2,Vv}",0.9841075958074554,0.9829724240794165,NA2,Vv,chr01,263248,True,1.8523090618666568e-06,1.949640785023176e-06,2.0927170162664594e-06,0.000449853080698388,0.002936173594384274,1.3202032990253196e-06,1.911165409986851e-06,0.0003966849597622502,0.0023345698719937844,1.7372569577656239e-06,0.0004136017811448371,0.002938790328784265,0.0012346434062550677,0.9841075958074554,0.005177223876991862
rh_chr1_334737,"{NA2,Vv}",0.9881462503710285,0.9872995539689592,NA2,Vv,chr01,329439,False,1.121106774582795e-06,1.2344249949480112e-06,1.3240470517327179e-06,0.00037031163528923594,0.0022023347663642267,7.284461849112023e-07,1.2171103998294292e-06,0.00031816918518956245,0.0016157162416438507,1.0474149959854047e-06,0.00033383404193940743,0.0022098589214108303,0.0010479810484818799,0.9881462503710285,0.00374887123825036
rh_chr1_443667,"{NA2,Vv}",0.994531346580979,0.9941407284796203,NA2,Vv,chr01,438310,False,2.934894358197265e-07,4.608429028397043e-07,3.770044410190492e-07,0.0002242764315366655,0.0009287312663771597,2.2364742504419484e-07,5.050716674034764e-07,0.0002176957365614531,0.0007113000891477503,3.2588995328016954e-07,0.00020179698026259822,0.0010587061098035096,0.0007315130420343634,0.994531346580979,0.0013924478174720894
rh_chr1_547952,"{NA2,Vv}",0.9961647299375991,0.995890782075999,NA2,Vv,chr01,544389,False,6.54103770101694e-08,2.297363424640143e-07,8.716251513022495e-08,7.167174894161459e-05,0.0007614253056119444,5.4834238269482754e-08,2.650594557695644e-07,0.00011364611694788095,0.0005494254626981459,6.852846215221905e-08,6.268751550593977e-05,0.0008744818264555973,0.0002897463642937576,0.9961647299375991,0.0011114149905552637
rh_chr1_631086,"{NA2,Vv}",0.9968174245519247,0.996590097734205,NA2,Vv,chr01,627268,True,5.864950015527373e-08,1.9127610545602412e-07,9.269375482108915e-08,7.331396063986447e-05,0.000624362786103586,4.582913675135757e-08,2.304299147613858e-07,0.00010668797893123725,0.0004402289684379816,6.079127817060472e-08,6.473251906738198e-05,0.0007247592013453088,0.0002879626463933347,0.9968174245519247,0.0008598477174666783
rh_chr1_741516,"{NA2,Vv}",0.9977254667800025,0.9975630001214313,NA2,Vv,chr01,737678,False,4.335559853651752e-08,1.3488526753784927e-07,8.119614527235862e-08,7.155819446379523e-05,0.000437873902822873,3.065045638833089e-08,1.7884977362441237e-07,9.362479119526644e-05,0.000290497759824854,4.373699378377689e-08,6.34541876947648e-05,0.000521567786243131,0.0002788502841616099,0.9977254667800025,0.000516593639356041
rh_chr1_1060803,"{NA2,Vv}",0.998947206261982,0.9988720067092663,NA2,Vv,chr01,1049416,False,1.172916326314036e-08,1.7195802142215406e-08,3.4954814723494235e-08,3.783352518559719e-05,0.00021582629720992607,4.778118943539182e-09,7.262830983954331e-08,3.0454677114243046e-05,6.490867394672951e-05,1.7604713965043403e-08,3.517935800837471e-05,0.00034718053469765306,0.00013485910789578996,0.998947206261982,0.0001863926730367548
rh_chr1_1170229,"{NA2,Vv}",0.9992968291183087,0.9992466026267594,NA2,Vv,chr01,1140710,False,2.150974778417546e-09,8.322008024728382e-09,1.4812886080642056e-08,1.509510393242776e-05,0.00014379106525004565,3.1758919939569718e-09,7.219509625417506e-08,2.6278130894498773e-05,4.910502429311783e-05,4.565826327998813e-09,1.4520036087706484e-05,0.00028887488989373064,6.173353377914212e-05,0.9992968291183087,0.00010366787487703376
rh_chr1_1304008,"{NA2,Vv}",0.9995501552113247,0.9995180234407051,NA2,Vv,chr01,1265000,False,4.798597737614893e-10,9.152279984208219e-09,4.351710459917295e-09,4.187533055420005e-06,8.091200448030595e-05,4.638238719681567e-09,8.951673365898993e-08,3.714342522676905e-05,3.77257524957505e-05,1.0138286740687164e-09,4.057317256852686e-06,0.0002656691380228124,1.5650784632716036e-05,0.9995501552113247,4.389680853496816e-06
