Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9874317690000757,0.9865340382143668,Vv,Vv,chr01,89866,True,2.0939222678807658e-05,2.3955881004625647e-05,2.3972908807725764e-05,2.4769076509113775e-05,0.003619678525119026,1.6249702781604867e-05,2.2098812577272773e-05,2.253956761106299e-05,0.002826253765153009,1.615924784586058e-05,2.2524775715270775e-05,0.002849369715110634,1.713551238768227e-05,0.003062584286622624,0.9874317690000757
rh_chr1_268616,"{Vv,Vv}",0.9961175147479094,0.9958401943727602,Vv,Vv,chr01,263248,False,7.029385623905255e-06,6.872060371908282e-06,6.838722682225399e-06,7.180452361383698e-06,0.001497357656356189,5.787439822981908e-06,6.685545998654107e-06,6.662521893133197e-06,0.0006848499220415397,5.595045727584782e-06,6.596528204786069e-06,0.0007085226028649844,5.641754863030509e-06,0.0009268656132782191,0.9961175147479094
rh_chr1_334737,"{Vv,Vv}",0.9965571771999302,0.9963112612856395,Vv,Vv,chr01,329439,True,5.92044514241754e-06,5.929825481562861e-06,5.894101844640826e-06,6.179447339412693e-06,0.001320115735854224,4.89646520394567e-06,5.763084541769254e-06,5.738251945302449e-06,0.0006134423978535048,4.715933929274389e-06,5.675585584741545e-06,0.0006323966248897,4.73995519245364e-06,0.0008214149452668354,0.9965571771999302
rh_chr1_443667,"{Vv,Vv}",0.9973104113589512,0.9971182978845905,Vv,Vv,chr01,438310,True,4.359302016161898e-06,4.504105769662913e-06,4.466150955724511e-06,4.667981239322325e-06,0.0010211487393319868,3.6386663915079044e-06,4.371287254084425e-06,4.3433545527543626e-06,0.0004878013818902575,3.4783180143338997e-06,4.286848946445954e-06,0.0004990251928613885,3.472282071000015e-06,0.0006400250297542726,0.9973104113589512
rh_chr1_547952,"{Vv,Vv}",0.9980791873027858,0.9979419863958419,Vv,Vv,chr01,544389,False,3.2108270802273557e-06,3.4029445615166823e-06,3.3661555114915283e-06,3.50618346448287e-06,0.0007210007602764677,2.706842504663139e-06,3.2987350967902416e-06,3.269364481079056e-06,0.0003555929894441289,2.5671768966264853e-06,3.2202914324415898e-06,0.0003593229849487463,2.542660864606791e-06,0.00045380478065097906,0.9980791873027858
rh_chr1_631086,"{Vv,Vv}",0.998212279198027,0.9980845848550289,Vv,Vv,chr01,627268,True,2.621296575776189e-06,2.891584058591889e-06,2.8583484499801367e-06,2.971874804580131e-06,0.0006607719937953357,2.2230192838581256e-06,2.7995435763599637e-06,2.771523457440561e-06,0.00033883857752779907,2.0985177928681694e-06,2.7288887139149543e-06,0.00033994249434281736,2.067621818935266e-06,0.00042213551777478986,0.998212279198027
rh_chr1_741516,"{Vv,Vv}",0.998418620284879,0.9983056645909418,Vv,Vv,chr01,737678,True,1.927448101400514e-06,2.2623352981266753e-06,2.2347478942182176e-06,2.3169444387666303e-06,0.0005733043460953255,1.6507540968962511e-06,2.187158001437988e-06,2.160967405278886e-06,0.00030901043700129363,1.5468191694703834e-06,2.1273791143906944e-06,0.00030662089402215645,1.5099812141527143e-06,0.00037251950326809286,0.998418620284879
rh_chr1_1060803,"{Vv,Vv}",0.9991837844639162,0.9991254833541959,Vv,Vv,chr01,1049416,True,4.19525865647769e-07,5.106470913447535e-07,5.019043162485044e-07,5.018566204971732e-07,0.0002813000440985674,3.899069050536501e-07,4.961312305518288e-07,4.727345536898257e-07,0.00017821841642134603,3.4639239350371013e-07,4.664806834324929e-07,0.00016598541876984368,3.060489409680721e-07,0.00018630002819317767,0.9991837844639162
rh_chr1_1170229,"{Vv,Vv}",0.9994564737422229,0.9994176504380959,Vv,Vv,chr01,1140710,True,2.1254713222856438e-07,2.791017908927025e-07,2.792906418270407e-07,2.734013644010039e-07,0.00018336777040685786,2.04536885632306e-07,2.7270954599558183e-07,2.5325470493677136e-07,0.00012696560485835667,1.7974085528949108e-07,2.567864058531185e-07,0.00011186147368049924,1.459111375665836e-07,0.00011897412836676842,0.9994564737422229
rh_chr1_1304008,"{Vv,Vv}",0.9998644453223674,0.9998547628453937,Vv,Vv,chr01,1265000,False,4.954490624891139e-08,4.3793797024632294e-08,5.742620616966776e-08,4.8989567425123555e-08,4.08531436056296e-05,4.495384595972158e-08,4.5587073366385455e-08,3.2586584899542716e-08,4.76820974865089e-05,4.633684075650076e-08,5.023214640618517e-08,2.8673594204188527e-05,2.543010672082229e-08,1.7900961261382448e-05,0.9998644453223674
