Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.9898439947909152,0.9891185658474092,NA2,Vv,chr01,89866,False,1.0974352805551257e-05,6.629147647596984e-06,6.989123280446793e-06,0.0005001632861586321,0.00239598912408564,2.3043799137824016e-06,2.922916697968621e-06,0.00026908127376591056,0.0008521741831967172,2.8671273369638876e-06,0.0002732060767377856,0.0010392513783307833,0.0008489759319656859,0.9898439947909152,0.003944476907161261
rh_chr1_268616,"{NA2,Vv}",0.9923563392916671,0.9918103635267862,NA2,Vv,chr01,263248,True,6.794876013066725e-06,3.63798986724464e-06,3.877135844122259e-06,0.00039407207333966293,0.002148592891496439,8.043151285716851e-07,1.0995372104764648e-06,0.00015025022207812376,0.0005551214714109865,1.112556215502522e-06,0.00015445010276386335,0.0007483497067805159,0.0005476683813827267,0.9923563392916671,0.002927829448801543
rh_chr1_334737,"{NA2,Vv}",0.9933474778423717,0.9928722976882554,NA2,Vv,chr01,329439,False,5.373239823205986e-06,2.705565504253533e-06,2.89632905569871e-06,0.000350011775284743,0.0020501719483321658,4.245699488486358e-07,6.347860100536549e-07,0.00010129811056538227,0.00043753569546204247,6.338532370354389e-07,0.00010552260618522334,0.0006331394859823728,0.00042744945768283336,0.9933474778423717,0.0025347247345545304
rh_chr1_443667,"{NA2,Vv}",0.9953798405296139,0.9950498291388721,NA2,Vv,chr01,438310,False,2.6820455668822956e-06,1.3472998064619954e-06,1.3994528424794943e-06,0.00022235101399296466,0.0016677166820894922,1.7117459146516958e-07,2.8394505680065505e-07,6.207418947238195e-05,0.0002508274663416827,2.7126566240081605e-07,6.31360595491066e-05,0.0004436844778234742,0.00032538982259146373,0.9953798405296139,0.0015788245749991138
rh_chr1_547952,"{NA2,Vv}",0.9973871525052573,0.9972005205413471,NA2,Vv,chr01,544389,False,8.416330222133382e-07,4.885152618132987e-07,4.10552867374971e-07,9.265980002215345e-05,0.0013053265374663307,6.570608507015873e-08,9.060983525909815e-08,1.7786484220093162e-05,6.92329647564397e-05,7.668158092113534e-08,1.6901155699857056e-05,0.0002603158943718977,0.00017049898214087353,0.9973871525052573,0.0006781519774123979
rh_chr1_631086,"{NA2,Vv}",0.9979197173225867,0.9977711257027714,NA2,Vv,chr01,627268,True,5.707381503662263e-07,3.727163874464285e-07,2.892829422581863e-07,9.0324072016392e-05,0.0009998603874035686,3.98601674370221e-08,6.22154528219888e-08,1.907044299189984e-05,6.18150909417626e-05,4.94994899444117e-08,1.691124818943981e-05,0.00019460204301401414,0.0001798977028840068,0.9979197173225867,0.0005164173773819554
rh_chr1_741516,"{NA2,Vv}",0.9986671110188071,0.9985719046630076,NA2,Vv,chr01,737678,False,2.7729270657375956e-07,2.3801232878127876e-07,1.516948889564771e-07,8.274524482100049e-05,0.0005911773810114434,1.3847974680018777e-08,3.120125898733368e-08,1.721608174308762e-05,4.689850371160749e-05,2.456827145025606e-08,1.3167096850473369e-05,0.00010264949127042142,0.0001857479893760539,0.9986671110188071,0.0002925505749792817
rh_chr1_1060803,"{NA2,Vv}",0.9996049386364425,0.999576719967617,NA2,Vv,chr01,1049416,False,2.1870673348180966e-08,1.2628364765870046e-08,1.6767343908136892e-08,3.0061937792684046e-05,0.00015195905491631066,1.3483521792122103e-09,2.011439761246026e-09,5.366364802555598e-06,1.284210495200143e-05,2.678939886744439e-09,1.1102275386006833e-05,3.3711599935670684e-05,6.853872845439252e-05,0.9996049386364425,8.142199220405566e-05
rh_chr1_1170229,"{NA2,Vv}",0.9999286060898631,0.9999235065248533,NA2,Vv,chr01,1140710,False,2.083816016138155e-09,1.7566724515223875e-09,1.6420360815485193e-09,4.201366193682824e-06,2.2184350611330116e-05,4.713849072905611e-10,3.0533980892269825e-10,1.268092454105908e-06,5.926838593158617e-06,2.7214336271758003e-10,1.721614616779869e-06,5.126074985266829e-06,1.2674582985719818e-05,0.9999286060898631,1.8284458304191662e-05
rh_chr1_1304008,"{NA2,Vv}",0.9999784626184333,0.9999769242340356,NA2,Vv,chr01,1265000,False,2.9278588790763053e-10,2.488469205566044e-10,2.3078376833071005e-10,1.1578695525017328e-06,3.025326367894651e-06,5.042029822349846e-10,5.969100353613685e-11,2.084589613800862e-06,7.714514724896963e-06,5.027241785835074e-11,8.63175721604461e-07,9.586126049247885e-07,2.0704678321436137e-06,0.9999784626184333,3.661438565988702e-06
rh_chr1_1400565,"{NA2,Vv}",0.9999879032884689,0.9999870392376452,NA2,Vv,chr01,1361620,False,7.67872542765879e-11,1.2489191511862623e-10,5.889369231213895e-11,1.9750502890174124e-06,5.390960034970044e-07,5.085938823007362e-10,5.853172674568363e-11,2.382904293123492e-06,2.287297937556165e-06,1.6905178520544273e-11,2.4759243740862377e-06,2.891879709106814e-07,1.1995226751482432e-06,0.9999879032884689,9.468833841717656e-07
rh_chr1_1482273,"{NA2,Vv}",0.9999545802068,0.999951335935857,NA2,Vv,chr01,1441962,False,1.2449550602663324e-10,2.0090911699445224e-10,1.3901262115122224e-10,3.1367138038688705e-06,1.8218244270608145e-06,1.202684647396682e-09,1.581038136040669e-10,1.907947420567096e-05,6.759137069360315e-06,7.335491387635588e-11,3.4055325045882343e-06,1.4858221039829195e-06,5.697311154921663e-06,0.9999545802068,4.032079369974346e-06
rh_chr1_1623606,"{NA2,Vv}",0.9998594940747463,0.9998494579372281,NA2,Vv,chr01,1583376,True,7.184793844226812e-10,1.377899766046424e-09,8.988762138514475e-10,1.260584203568842e-05,1.2515557419189543e-05,1.5897316294644879e-09,1.2445126458949794e-09,2.498145962159126e-05,1.5565140795844744e-05,5.625034347288089e-10,1.250469519037968e-05,1.04971911726125e-05,2.4672068892914902e-05,0.9998594940747463,2.715757812236936e-05
rh_chr1_1879893,"{NA2,Vv}",0.999849005811598,0.9998382205124264,NA2,Vv,chr01,1839399,False,7.9234132501223e-10,1.4697458667969133e-09,1.06715576637323e-09,1.3535530687366334e-05,1.5685098833511074e-05,9.302078482103362e-10,1.1920759378874264e-09,1.957955654359629e-05,1.5299041275363543e-05,4.781304576406227e-10,1.2774556062244652e-05,1.0569336162787871e-05,2.6717977106896118e-05,0.999849005811598,3.682716207310646e-05
rh_chr1_1999515,"{NA2,Vv}",0.9999294374458702,0.9999243972634323,NA2,Vv,chr01,1959058,False,1.99014777391972e-10,3.0660361107403737e-10,2.421172128782043e-10,1.9848311699519544e-06,9.185919766802656e-06,1.3861876907904697e-10,2.0591070711878623e-10,2.709242898565418e-06,6.238785097174228e-06,9.104632359548964e-11,1.8351143477851645e-06,3.6312666991112894e-06,5.148014629501585e-06,0.9999294374458702,3.982819620956027e-05
rh_chr1_2145831,"{NA2,Vv}",0.9998679029926832,0.9998584674921607,NA2,Vv,chr01,2106048,False,5.083872408181095e-11,1.0118429393752544e-10,1.2319574778519306e-10,1.5797356053302895e-06,2.0150572348607112e-05,4.898756002511616e-11,1.1237741523538332e-10,1.5126392726297553e-06,5.455914144777189e-06,7.079536365619529e-11,1.366055065726353e-06,5.1918757334642725e-06,3.184914950553558e-06,0.9998679029926832,9.365479281664292e-05
rh_chr1_2306205,"{NA2,Vv}",0.9999279963800626,0.9999228532643528,NA2,Vv,chr01,2265211,False,1.8208384879863673e-11,3.013517909795843e-11,7.642577621954049e-11,6.288763773458078e-07,4.0518038072939245e-06,1.0400225325592755e-11,4.802472413041868e-11,5.940024893140889e-07,1.6666593455629657e-06,5.0874353282854953e-11,6.343414820651404e-07,7.186084587701071e-06,1.8020551635601585e-06,0.9999279963800626,5.543956261595708e-05
rh_chr1_2424927,"{NA2,Vv}",0.9999206593107947,0.9999149921187086,NA2,Vv,chr01,2384046,False,1.9735941186087967e-11,2.7714194192954306e-11,8.375047035457479e-11,6.480461628011329e-07,1.2282761264962946e-06,1.0468567301390142e-11,4.736479832712968e-11,5.048270501489473e-07,7.595259371358027e-07,6.126158333455761e-11,7.964893379302218e-07,1.9508053484571078e-05,1.5834849311999483e-06,0.9999206593107947,5.431173587950033e-05
rh_chr1_2618562,"{NA2,Vv}",0.9999347758763127,0.9999301170103351,NA2,Vv,chr01,2577582,False,5.658634525120133e-11,4.537349173757881e-11,4.846165749411017e-10,2.3300384452344953e-06,1.5996174712197312e-06,2.3319115487529037e-11,1.3056792198846907e-10,4.2015215294595807e-07,1.074273425425707e-06,2.2133422971355942e-10,2.284143540180672e-06,2.82097139390622e-05,3.4722999551799235e-06,0.9999347758763127,2.583292296040578e-05
rh_chr1_2718543,"{NA2,Vv}",0.9998102019061782,0.9997966448994766,NA2,Vv,chr01,2677534,False,1.9966159206074807e-10,1.8771139612320307e-10,2.150207472277922e-09,6.603689898848602e-06,5.443033089600124e-06,1.065515314451106e-10,2.4823372693909797e-10,2.5610292216453423e-06,3.552641436373112e-06,3.7509657762630565e-10,2.142422024597706e-05,9.399898282710634e-05,1.904077492491064e-05,0.9998102019061782,3.71704547150965e-05
rh_chr1_2822616,"{NA2,Vv}",0.9997460953743058,0.9997279593296133,NA2,Vv,chr01,2781082,True,4.93690327754776e-10,5.305113365602279e-10,3.043069950769443e-09,9.795322735721757e-06,1.4016886380409733e-05,2.6632370856185557e-10,1.5329022932153224e-09,6.704225320823045e-06,9.024714373817803e-06,1.889490831101259e-09,2.0409441314851664e-05,0.00010037488268339426,2.3356218918383036e-05,0.9997460953743058,7.021517797824334e-05
rh_chr1_2955463,"{NA2,Vv}",0.9997139347280124,0.999693501494299,NA2,Vv,chr01,2913710,True,5.480607791814632e-10,6.445040176990463e-10,2.714562619699677e-09,8.890912009801448e-06,1.9897717686678227e-05,2.7337685869050135e-10,1.7899749579729231e-09,7.015535439162115e-06,1.0894360054222405e-05,2.0969383573572313e-09,1.4113641305346464e-05,0.00010362821361230022,1.8978697415639217e-05,0.9997139347280124,0.00010263812704691032
rh_chr1_3008587,"{NA2,Vv}",0.9997168089933598,0.999696581064314,NA2,Vv,chr01,2966940,True,4.12748169111447e-10,5.294581718513783e-10,2.1131515771854124e-09,6.950619132550005e-06,2.0647973453641216e-05,1.9313604525612573e-10,1.4611929543480115e-09,5.5625596607373825e-06,1.0021440603855488e-05,1.596141774304679e-09,1.000689428346464e-05,0.00010338263740401322,1.4095783502636617e-05,0.9997168089933598,0.00011251679277057638
rh_chr1_3077430,"{NA2,Vv}",0.9997338088593658,0.9997147952064633,NA2,Vv,chr01,3035452,False,1.8123284677034602e-10,2.8314682310635943e-10,9.957340240165061e-10,3.123445723416071e-06,2.025477746952381e-05,9.0980268387496e-11,7.470761778111453e-10,2.3619152193326904e-06,7.528594331181656e-06,6.104878627565946e-10,3.3899795818954046e-06,0.0001017575827538575,5.174659601213242e-06,0.9997338088593658,0.0001225972772957339
rh_chr1_3142598,"{NA2,Vv}",0.9997453459186268,0.9997271563413859,NA2,Vv,chr01,3100650,False,1.232404529699044e-10,1.9747271335385587e-10,7.301499276960569e-10,2.2131909607851204e-06,1.8712643868632798e-05,6.65989076468144e-11,5.705736158922069e-10,1.8108190749520708e-06,9.765998830093519e-06,2.743288528489654e-10,1.3734933644698849e-06,0.00010110741644836702,2.30268652025339e-06,0.9997453459186268,0.00011736586994111048
rh_chr1_3325315,"{NA2,Vv}",0.9997109221427299,0.9996902737243535,NA2,Vv,chr01,3282755,False,4.064208447163982e-10,6.686738978839771e-10,3.707472372707855e-09,1.1867385813698243e-05,1.0687545292559341e-05,3.9601782795055353e-10,3.3853982124938768e-09,1.099337014436574e-05,8.363219233505488e-06,7.172701070046931e-10,2.216963385247796e-06,9.14735960624168e-05,4.883784476730597e-06,0.9997109221427299,0.00014858271160831003
rh_chr1_3523735,"{NA2,Vv}",0.9993048385511891,0.9992551841619883,NA2,Vv,chr01,3481846,False,9.436301627564992e-10,1.979436031966139e-09,3.716157058027431e-09,1.2614274035100462e-05,2.4273324116787096e-05,1.481753767446419e-09,4.14793590642817e-09,1.335645953541376e-05,2.96725427573281e-05,1.9865943436984703e-09,7.80345307861699e-06,9.00272051191102e-05,1.5676291840757693e-05,0.9993048385511891,0.0005017236428205715
rh_chr1_3758335,"{NA2,Vv}",0.9993230236843152,0.9992746682331949,NA2,Vv,chr01,3716202,False,5.997263730360493e-10,1.6180164879621593e-09,2.1067669584199658e-09,2.9571503494968268e-06,1.4088298154893888e-05,1.458466233973745e-09,3.0147385984716943e-09,5.071650795198189e-06,2.334487284586203e-05,1.6277448083111335e-09,2.489872342972845e-06,5.6626355091374764e-05,7.220244219400089e-06,0.9993230236843152,0.0005651674464260395
rh_chr1_3875541,"{NA2,Vv}",0.9989329797123742,0.9988567639775437,NA2,Vv,chr01,3833574,True,1.4724590133397387e-09,3.987609179659191e-09,4.26218481209367e-09,1.2355844040673775e-05,2.919103988078128e-05,3.962295446650256e-09,6.445623122158018e-09,1.926853134352461e-05,5.144696250054995e-05,3.730635476884312e-09,1.2787813638582529e-05,8.737118754871427e-05,2.4392640993327667e-05,0.9989329797123742,0.0008301824068726843
rh_chr1_3959025,"{NA2,Vv}",0.998676248686313,0.9985816950210497,NA2,Vv,chr01,3919488,False,1.82405952803393e-09,6.008902618461268e-09,5.792327455257606e-09,1.6430844775030118e-05,3.69231828786047e-05,5.53599233585139e-09,9.182201251259051e-09,2.686480105513707e-05,6.87711806014207e-05,4.66074963050729e-09,1.7488596255235848e-05,0.00010668448114910675,3.140898451968681e-05,0.998676248686313,0.001019146238219994
rh_chr1_4330482,"{NA2,Vv}",0.9989173963942233,0.9988400675652392,NA2,Vv,chr01,4291652,False,2.252951928117458e-09,1.2634195851252017e-08,9.110499729382371e-09,1.7409369348068798e-05,3.959027808938393e-05,1.4390445553406642e-08,1.9636414688537625e-08,4.808799551675628e-05,0.0001234859216461942,7.576447537254486e-09,2.136263022497307e-05,0.00014463694569279105,2.8129479288871976e-05,0.9989173963942233,0.0006598353850144783
rh_chr1_4445423,"{NA2,Vv}",0.9991709093934852,0.999111688635877,NA2,Vv,chr01,4406530,True,1.345373764284949e-09,8.477595349286885e-09,7.511658304494363e-09,1.5095370227854156e-05,3.0227280031035036e-05,7.931635917947284e-09,1.2150933208130819e-08,3.339550055432049e-05,0.00010344893569780735,4.055746039578426e-09,1.682521818330164e-05,0.0001404054452319359,2.2286599510358555e-05,0.9991709093934852,0.00046736478413567827
rh_chr1_4517681,"{NA2,Vv}",0.9993517029699016,0.9993053960391803,NA2,Vv,chr01,4478494,False,7.375121808855996e-10,5.895708683828298e-09,5.970842964230745e-09,1.1477890736891564e-05,2.1895855401072525e-05,4.224543517624819e-09,6.851078710437459e-09,2.2054761865562346e-05,8.850460838259622e-05,1.3033533860484625e-09,1.1799006646359634e-05,0.00013537413524266937,1.4329340014270633e-05,0.9993517029699016,0.00034283644876948035
rh_chr1_4613003,"{NA2,Vv}",0.99958555182557,0.9995559483845392,NA2,Vv,chr01,4573746,False,1.3028220571655122e-10,8.118037015623579e-10,1.034294123218515e-09,3.3130611032921897e-06,1.3198130272161305e-05,3.921809128045514e-10,9.587504056218374e-10,3.1573590673066703e-06,4.6309969765546166e-05,2.6423716033937786e-10,1.8164753010684843e-06,8.98037020903317e-05,3.0566543075556738e-06,0.99958555182557,0.00025378923097422405
rh_chr1_4681418,"{NA2,Vv}",0.9997938907541506,0.9997791686651614,NA2,Vv,chr01,4642062,False,5.803202366736425e-11,3.695655893465912e-10,6.820553208697449e-10,3.307230786410562e-06,4.9758593327261795e-06,1.4546091193192238e-10,6.15407065264865e-10,8.077801565544215e-07,1.4259124106485908e-05,2.7642593434720486e-10,5.707958504867618e-07,5.5432371403816624e-05,2.2362169195176036e-06,0.9997938907541506,0.00012451772034653339
rh_chr1_4913189,"{NA2,Vv}",0.9998706192402682,0.9998613777574302,NA2,Vv,chr01,4876662,False,1.9602637395669896e-11,5.367981785326278e-11,2.1960811048544564e-10,5.533511464685255e-07,8.630400626678355e-07,4.0918053504045543e-11,3.0251320184977066e-10,4.769504672435231e-07,1.8107996009125985e-06,3.1634432251612856e-10,9.259609281858726e-07,6.681684285761818e-05,5.381616924171396e-06,0.9998706192402682,5.255124507834185e-05
rh_chr1_5045973,"{NA2,Vv}",0.9997970949792583,0.999782601763491,NA2,Vv,chr01,5009666,False,2.0442385638248777e-11,4.7904473800005953e-11,4.105657777371076e-10,3.152177045715804e-07,1.8785710999041746e-06,5.522450618906183e-11,7.193913902188688e-10,5.667267680307596e-07,3.844907847502424e-06,7.758048511130572e-10,5.247542635192769e-07,8.977505617695056e-05,1.3350526834528119e-06,0.9997970949792583,0.00010466270486433658
rh_chr1_5191317,"{NA2,Vv}",0.9990748371532084,0.9990087540927234,NA2,Vv,chr01,5154704,False,1.317139508252467e-10,4.3890993106120116e-10,2.3889744041976327e-09,1.5388491384448815e-06,1.3865026799365778e-05,5.883120091367059e-10,6.355187118033968e-09,3.671109558927968e-06,1.941916674854804e-05,5.475794376682276e-09,3.6772855065063445e-06,0.00039979895477911827,3.421771902704167e-06,0.9990748371532084,0.0004797553034661689
rh_chr1_5368350,"{NA2,Vv}",0.99845500238423,0.998344645411675,NA2,Vv,chr01,5331614,False,2.6919877288845743e-10,7.14328874493076e-10,7.619821541957811e-09,7.851226422516209e-07,1.7059375136055717e-05,7.546037947772686e-10,1.3032895832891156e-08,1.1771134682806968e-06,1.8629350473772044e-05,1.9781128062935413e-08,9.629927961341925e-06,0.0007726533427652434,2.267862610819982e-06,0.99845500238423,0.0007227533487353521
