Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.9314796149617417,0.9265853017447232,NA1,Vv,chr01,89866,False,2.5465944332771855e-05,8.381605736459726e-06,0.0007308417399400932,1.2236255233256889e-05,0.020587500898901694,2.3267096053186844e-06,0.00022279493453949785,4.158457475735339e-06,0.005190526438272185,0.0004681834185491117,0.0003531583204407301,0.9314796149617417,5.7855903655424355e-06,0.008455147834704198,0.03245387689016182
rh_chr1_268616,"{NA1,Vv}",0.9408054404988057,0.9365772576772918,NA1,Vv,chr01,263248,False,1.9708065206795467e-05,4.572348621050108e-06,0.0007093255176645373,8.110687530971002e-06,0.01858840271695401,8.796291639212338e-07,0.0001473811458994588,2.060252639616164e-06,0.003108410314700432,0.0002985883305491986,0.0002902800920922886,0.9408054404988057,3.232708430240146e-06,0.006357092156089073,0.029656515535652756
rh_chr1_334737,"{NA1,Vv}",0.9494994211518099,0.9458922369483677,NA1,Vv,chr01,329439,False,1.658610155236723e-05,3.94955755584294e-06,0.0007481153149141431,7.220841802113255e-06,0.016466597733755448,6.405398865167176e-07,0.00014789486420618923,1.7588465910053712e-06,0.0024180202977943694,0.00028475072136605403,0.0003020454141436322,0.9494994211518099,2.7245065353286386e-06,0.005500332581443416,0.024599941526643618
rh_chr1_443667,"{NA1,Vv}",0.9644181877882322,0.961876629773106,NA1,Vv,chr01,438310,True,1.1036691716789493e-05,3.003565984825777e-06,0.0008002102042784016,5.261345801419257e-06,0.012621320804891136,3.5914810597016845e-07,0.00015354736419021078,1.3051619342900097e-06,0.0015044955510854956,0.00025874382598818803,0.00031605243174482277,0.9644181877882322,1.8430934634433969e-06,0.003995458300669724,0.015909174721913166
rh_chr1_547952,"{NA1,Vv}",0.9790638952893793,0.9775684592386207,NA1,Vv,chr01,544389,False,5.85826142512657e-06,1.8319561571371275e-06,0.0008375549757308174,3.0915521387411953e-06,0.008866890311335722,9.439541483656322e-08,0.00015304996002929105,7.805885808382801e-07,0.0005799099177121604,0.00022623163811754838,0.00032231925838847056,0.9790638952893793,1.0020403129112696e-06,0.0025002422784127583,0.007437247576864297
rh_chr1_631086,"{NA1,Vv}",0.9805223462263305,0.9791310852424969,NA1,Vv,chr01,627268,True,5.244840103684374e-06,1.6092176451477617e-06,0.0008563584449945332,3.060312305180576e-06,0.008444916722102168,7.783818484051911e-08,0.00014279578485209556,6.887694669259223e-07,0.0005114533607891518,0.0002145202797374725,0.00033442738290059154,0.9805223462263305,9.401910704444622e-07,0.0023449997415349666,0.00661656088798231
rh_chr1_741516,"{NA1,Vv}",0.9825087077998944,0.9812593297856012,NA1,Vv,chr01,737678,False,4.342464656471865e-06,1.2310946511095844e-06,0.0008768989255625764,2.8698915548505133e-06,0.007879876251078569,5.319683973507234e-08,0.0001253465104437182,5.406576770216818e-07,0.0004126922068982518,0.0001918270651373287,0.0003466480795174047,0.9825087077998944,8.310284408933976e-07,0.002131940129843537,0.005516194697804122
rh_chr1_1060803,"{NA1,Vv}",0.9885518024979241,0.9877340741049186,NA1,Vv,chr01,1049416,False,1.2619415129886719e-06,2.0662380048969982e-07,0.0009070679522408191,1.411393062593695e-06,0.00616021227425497,9.499052417737912e-09,9.206932890655747e-05,1.613410146183323e-07,0.0002030156519326648,9.179609634974886e-05,0.0003564529013583894,0.9885518024979241,3.8154853350759047e-07,0.0014483774954279509,0.0021857734546281765
rh_chr1_1170229,"{NA1,Vv}",0.9901228908464625,0.9894173830497813,NA1,Vv,chr01,1140710,False,1.4365322914182149e-07,6.757321976320983e-08,0.0008838186315963132,7.422521420531989e-07,0.005645526212886852,2.2966732659353064e-09,0.00010395499010863848,1.234828426649973e-07,0.0002072114586120731,3.4605229195497425e-05,0.0003387971836519768,0.9901228908464625,2.0077418803368368e-07,0.0012349769607354814,0.001426938454455595
rh_chr1_1304008,"{NA1,Vv}",0.9934506922433174,0.9929828845464115,NA1,Vv,chr01,1265000,False,7.884833032989874e-08,1.9318657028163882e-07,0.000684154905377619,3.763921918606659e-07,0.00432688623893506,5.190561321377168e-09,8.076896833256342e-05,1.2045873884080872e-07,0.0001660788769475519,2.9029569158264182e-05,0.0002408691805816343,0.9934506922433174,6.871817204642033e-08,0.0007470359438969781,0.0002736412788882745
rh_chr1_1400565,"{NA1,Vv}",0.9937143588523782,0.9932653844846909,NA1,Vv,chr01,1361620,False,1.0129917682910709e-07,1.9368053673889403e-07,0.0006496423518034794,3.9614515275467465e-07,0.004147592981643566,4.929684789686737e-09,7.054534821433993e-05,9.805173361509733e-08,0.00015300646678336532,4.12867528100135e-05,0.0002290397861811011,0.9937143588523782,6.783403894802678e-08,0.0007254658811541659,0.000268199638708024
rh_chr1_1482273,"{NA1,Vv}",0.9945463284290731,0.9941567804597212,NA1,Vv,chr01,1441962,False,1.1887013526518637e-07,1.9135003714671294e-07,0.000570278174322119,3.971249144113727e-07,0.0034796411895189967,5.3704070032576376e-09,6.515965060903171e-05,8.746077143526264e-08,0.00013295887075247256,6.081242743001684e-05,0.00021477579434065565,0.9945463284290731,6.675803346792942e-08,0.000661967624055245,0.00026721090559966425
rh_chr1_1623606,"{NA1,Vv}",0.9959410787074173,0.9956511557579472,NA1,Vv,chr01,1583376,True,9.46849356955661e-08,1.5045216864480272e-07,0.0004185068572487403,3.129122831827676e-07,0.0024204508080083,4.530292008140937e-09,5.2877281170885805e-05,6.431620184742844e-08,0.00010191983727766038,7.77328803294262e-05,0.00017823549972771668,0.9959410787074173,5.229073597622734e-08,0.0005480651537335372,0.0002604537884691049
rh_chr1_1879893,"{NA1,Vv}",0.9986583658509207,0.9985625348402722,NA1,Vv,chr01,1839399,False,7.682275623902212e-09,7.319172540784493e-09,0.00012119841212074798,4.637073947977631e-08,0.0005085104344462678,2.663272069601936e-10,1.250212862789434e-05,7.001891788027611e-09,1.9162433276315353e-05,7.255283641705907e-05,9.416732766762914e-05,0.9986583658509207,1.1494706020154304e-08,0.00031830435156429053,0.00019515608984651636
rh_chr1_1999515,"{NA1,Vv}",0.9990690094960635,0.9990025101743537,NA1,Vv,chr01,1959058,False,5.9250284631526284e-09,5.23988968981019e-09,9.383983113437002e-05,5.360388546920883e-08,0.00025420390230260713,2.2270711178047918e-10,1.2632660178863198e-05,7.922860005286309e-09,1.0557137462352059e-05,7.252396309522728e-05,9.320435414394205e-05,0.9990690094960635,1.3955186415593375e-08,0.00029314242753410396,0.00010079935852786119
rh_chr1_2145831,"{NA1,Vv}",0.9991749539944738,0.9991160221369362,NA1,Vv,chr01,2106048,False,7.474760801613747e-09,6.174702565152604e-09,8.341520391388093e-05,6.580983300841384e-08,0.00016922720884032127,4.118638692246568e-10,1.619866641029208e-05,1.1778785007300951e-08,1.0243296090111432e-05,7.793013455616773e-05,0.0001035191983224906,0.9991749539944738,2.2189288559058087e-08,0.00028990365097080227,7.44948071884777e-05
rh_chr1_2306205,"{NA1,Vv}",0.9993811899752653,0.9993369892592128,NA1,Vv,chr01,2265211,False,2.4728230160175017e-09,2.576022009425377e-09,6.266313460712955e-05,5.8238577179123206e-08,5.438385459247853e-05,2.5330692541851284e-10,1.7970730640148934e-05,1.3455471667149961e-08,5.0201229492362186e-06,7.27669150776711e-05,0.00010846081095770277,0.9993811899752653,2.1707375350248267e-08,0.00027436788029440635,2.3077872039694205e-05
