Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9898385967010174,0.9891127821796615,Vv,Vv,chr01,89866,True,1.1923242213306623e-05,1.5449425638841502e-05,1.5557599912213487e-05,1.5765377635718634e-05,0.0028886823349824563,9.034591325103351e-06,1.4286708558323832e-05,1.4437687148180684e-05,0.0023363929947783774,9.183711165928172e-06,1.4517421734273402e-05,0.002371310747770541,9.495182949537321e-06,0.002435366273169962,0.9898385967010174
rh_chr1_268616,"{Vv,Vv}",0.9985557945502007,0.9984526370180722,Vv,Vv,chr01,263248,False,1.2227079667082219e-06,9.601955903385038e-07,9.934196874294263e-07,1.0638343598521225e-06,0.0007486383924056759,7.360500832286633e-07,9.199169456555496e-07,9.320396638135146e-07,0.00018306432378755683,7.329072762223675e-07,9.360766088529392e-07,0.00021882200775431325,7.653320767235684e-07,0.0002844182455929164,0.9985557945502007
rh_chr1_334737,"{Vv,Vv}",0.9988268952226997,0.9987431020243211,Vv,Vv,chr01,329439,True,8.588029067540183e-07,7.117834474428351e-07,7.355116031616344e-07,7.871597194522837e-07,0.0006005236657386808,5.189652314308614e-07,6.795091914108907e-07,6.887870399906067e-07,0.00015212365668570136,5.15045459006756e-07,6.910836938077517e-07,0.00018028574479750302,5.382772159932826e-07,0.00023344678456984445,0.9988268952226997
rh_chr1_443667,"{Vv,Vv}",0.9992999048507403,0.9992498980543646,Vv,Vv,chr01,438310,True,4.0377752239979457e-07,3.5679253891814777e-07,3.6733094615129166e-07,3.919895018115563e-07,0.0003505285678182881,2.474179514152504e-07,3.388317025903864e-07,3.432617692169933e-07,9.40065259299676e-05,2.4280563617107624e-07,3.43083074850947e-07,0.00010973334753415254,2.527688979286551e-07,0.00014253864843577442,0.9992999048507403
rh_chr1_547952,"{Vv,Vv}",0.9997926959294587,0.9997778884958487,Vv,Vv,chr01,544389,False,1.645044956784131e-07,1.3495970301299607e-07,1.3774753063051077e-07,1.443970935756885e-07,9.936789471918986e-05,1.0395133844058518e-07,1.2771521677912567e-07,1.2772027732234456e-07,2.873666564609388e-05,9.965008627913864e-08,1.262204271939483e-07,3.241967993812928e-05,9.955514730428724e-08,4.551340892157574e-05,0.9997926959294587
rh_chr1_631086,"{Vv,Vv}",0.9997456504126137,0.9997274825849432,Vv,Vv,chr01,627268,True,1.344044755250996e-07,1.1565476354740944e-07,1.1798264335460719e-07,1.2338181262736553e-07,0.00010555601877643301,8.532761110188325e-08,1.0867406599127262e-07,1.0870882401363985e-07,4.3904084568733654e-05,8.150706424852326e-08,1.0735479350830033e-07,4.636685256446303e-05,8.102172103586197e-08,5.745861370182894e-05,0.9997456504126137
rh_chr1_741516,"{Vv,Vv}",0.9997101998019904,0.9996894997878468,Vv,Vv,chr01,737678,True,9.898154081734171e-08,9.191702466222994e-08,9.373163503410484e-08,9.758942093469394e-08,0.00010702635156640317,6.346103595155731e-08,8.564326194232128e-08,8.566073675623461e-08,5.7282778753381827e-05,6.028196081116356e-08,8.450261048876685e-08,5.811819681334571e-05,5.933617744094496e-08,6.655176547166104e-05,0.9997101998019904
rh_chr1_1060803,"{Vv,Vv}",0.9997783772325767,0.9997625470349036,Vv,Vv,chr01,1049416,True,2.0882155435309797e-08,2.109810254159001e-08,2.170876147495081e-08,2.1184823726283898e-08,6.93161319752748e-05,1.4794244130177532e-08,1.9417488634326624e-08,1.896077153917881e-08,5.29004570568061e-05,1.3545560843810422e-08,1.8348942090991835e-08,4.912511576042873e-05,1.1687662649013552e-08,5.009943411777339e-05,0.9997783772325767
rh_chr1_1170229,"{Vv,Vv}",0.9998452573442415,0.9998342042974016,Vv,Vv,chr01,1140710,True,1.0152944954819778e-08,1.1377452597868533e-08,1.2158899179141897e-08,1.1226210194857952e-08,4.65932243814614e-05,7.560052714674071e-09,1.0473710572781783e-08,1.0059747164013919e-08,3.983366946647825e-05,7.00362294310758e-09,9.776053443308123e-09,3.470657801616749e-05,5.249412446585689e-09,3.3514145788220456e-05,0.9998452573442415
rh_chr1_1304008,"{Vv,Vv}",0.9999705430190101,0.9999684389489394,Vv,Vv,chr01,1265000,False,1.9538573699767246e-09,1.0918275589051065e-09,2.3110431022199593e-09,1.101246348130942e-09,7.135627138501238e-06,1.4153685373088638e-09,1.054815401817961e-09,7.805986760323086e-10,1.346052859759609e-05,1.903779230917286e-09,1.039669267315829e-09,6.490111958018462e-06,5.163589398496924e-10,2.3575447312381006e-06,0.9999705430190101
rh_chr1_1400565,"{Vv,Vv}",0.9999577403276759,0.9999547217796528,Vv,Vv,chr01,1361620,False,1.2832831764486504e-09,6.729690310758062e-10,1.7032046712932305e-09,6.210920289829117e-10,1.3941232675515586e-05,9.461323868251607e-10,6.055976371028877e-10,5.71180078101405e-10,7.601829204913719e-06,1.4197808494101159e-09,5.451332799635539e-10,1.7493420487184053e-05,3.4369577540141246e-10,3.2144778875727046e-06,0.9999577403276759
rh_chr1_1482273,"{Vv,Vv}",0.9999055805244086,0.9998988362761521,Vv,Vv,chr01,1441962,True,1.2423468461304964e-09,9.058007788820575e-10,1.8523352334357043e-09,8.188194334214897e-10,2.6869308475209172e-05,9.096334995645455e-10,8.807000894951422e-10,7.094561144962101e-10,2.0887754375002205e-05,1.3622597592603868e-09,7.877524451532482e-10,2.9544085937936983e-05,4.00200294200695e-10,1.710845749885796e-05,0.9999055805244086
rh_chr1_1623606,"{Vv,Vv}",0.999853514102672,0.9998430508242914,Vv,Vv,chr01,1583376,True,1.2452499557694487e-09,1.499694480646524e-09,2.236004346112648e-09,1.3941536239538034e-09,3.9696996621082394e-05,9.450839555953624e-10,1.5018063259534068e-09,1.227224732898296e-09,3.4331121159922014e-05,1.3050833616015963e-09,1.3939199163538467e-09,4.082828611060491e-05,6.033385990868029e-10,3.161614187719928e-05,0.999853514102672
rh_chr1_1879893,"{Vv,Vv}",0.9998884056139531,0.9998804345863783,Vv,Vv,chr01,1839399,True,6.684530611018386e-10,1.0282287554493487e-09,1.237214955783569e-09,9.953873921318001e-10,3.0662007493913387e-05,4.909335531956299e-10,9.875143235578846e-10,8.732722254716108e-10,2.6365001079008027e-05,6.014793137582355e-10,9.557261939239723e-10,2.9001007700993068e-05,4.1707955278782033e-10,2.5558114483741387e-05,0.9998884056139531
rh_chr1_1999515,"{Vv,Vv}",0.9999617408606284,0.999959008064959,Vv,Vv,chr01,1959058,False,3.4084325326172756e-10,4.696191460480183e-10,5.453459811949509e-10,4.657913626578668e-10,1.219498648714117e-05,2.2088627297515432e-10,4.197929685273013e-10,3.8229657921473436e-10,8.376712504601601e-06,2.6536693894407867e-10,4.1647082054873755e-10,9.231500379366307e-06,2.0147246197325507e-10,8.452212114659707e-06,0.9999617408606284
rh_chr1_2145831,"{Vv,Vv}",0.9998623846166966,0.9998525549464606,Vv,Vv,chr01,2106048,True,8.704664461094519e-10,1.0920004874605748e-09,1.171585755191799e-09,1.1148574655890655e-09,4.051526508542166e-05,5.535517038848868e-10,9.283428969020637e-10,8.990394764414197e-10,3.17023214005527e-05,6.036924244037881e-10,9.4775801606597e-10,3.276279681210298e-05,5.678352995541194e-10,3.2626250875293205e-05,0.9998623846166966
rh_chr1_2306205,"{Vv,Vv}",0.9998166948620968,0.9998036016379609,Vv,Vv,chr01,2265211,True,1.3584045295314536e-09,1.87887110605248e-09,1.9705329128154616e-09,1.957875575865168e-09,5.574982240847361e-05,7.847939810959634e-10,1.538764805123087e-09,1.5334282482743637e-09,4.146714287423468e-05,8.388361447933258e-10,1.6047332959402914e-09,4.275587463701816e-05,8.432757985832721e-10,4.331798846716628e-05,0.9998166948620968
rh_chr1_2424927,"{Vv,Vv}",0.999824539106603,0.999812006185646,Vv,Vv,chr01,2384046,True,1.4293676990615405e-09,2.0695856403271666e-09,2.174528369829855e-09,2.1968195903256162e-09,5.6664226824943734e-05,7.216651380932274e-10,1.6304757075981364e-09,1.642392137902702e-09,3.825675081574521e-05,7.736614839038118e-10,1.7336716220484332e-09,3.971962603562602e-05,8.035259151220673e-10,4.0805114027396235e-05,0.999824539106603
