Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.983843566411311,0.9826895354406904,Vv,Vv,chr01,89866,False,1.7201454107807234e-06,3.3008546922384576e-06,4.9051195315237625e-06,2.9044673385630395e-06,0.0006122464154663213,2.7253360163890945e-06,6.507571870821318e-06,3.6727438534184975e-06,0.008628495818315124,6.363596847064753e-06,5.722867742420131e-06,0.0020069046852332706,2.2115557067775785e-06,0.004868752410664285,0.983843566411311
rh_chr1_268616,"{Vv,Vv}",0.9950262612073295,0.9946709941507101,Vv,Vv,chr01,263248,False,1.1543443588246462e-07,2.0090294622349462e-07,4.3928273385314907e-07,1.7752007933046618e-07,0.00017431476092104724,1.3937607910455424e-07,5.393086761031088e-07,2.0524043290459546e-07,0.0019744339934641125,4.766418108652847e-07,4.758503200277171e-07,0.001686317250540873,1.1614011013033157e-07,0.0011357870901200539,0.9950262612073295
rh_chr1_334737,"{Vv,Vv}",0.9991962143455558,0.9991388010845241,Vv,Vv,chr01,329439,False,2.4485405620690584e-08,2.778203155461047e-08,7.197710141374294e-08,2.594744753886521e-08,4.8190701515878995e-05,1.335486007993826e-08,6.578808607686203e-08,1.9784392986300675e-08,0.00022185762543413333,8.436442662689782e-08,6.151234263228654e-08,0.00038603728631384285,1.2885610746730606e-08,0.0001472921594749539,0.9991962143455558
rh_chr1_443667,"{Vv,Vv}",0.9996041922952912,0.9995759203163834,Vv,Vv,chr01,438310,False,4.166087626369452e-09,4.206177777036215e-09,1.0747130698538415e-08,4.791155870012238e-09,4.559206335181167e-05,2.365899155918673e-09,8.280390486400341e-09,3.0692887286620537e-09,4.259765531415308e-05,9.51803260324168e-09,9.432557564037008e-09,0.0002602690376014284,2.279870995227077e-09,4.72900918499927e-05,0.9996041922952912
rh_chr1_547952,"{Vv,Vv}",0.9997119862638058,0.9996914138540776,Vv,Vv,chr01,544389,False,1.8000579222978146e-09,1.6411560351603636e-09,4.595655942982004e-09,1.9489099408340576e-09,4.27352316818767e-05,5.352594943226803e-10,2.166476480369595e-09,8.005372634119669e-10,3.2564689509657136e-05,2.4121454566486048e-09,2.575472218014155e-09,0.00017521166182268497,5.799917658814919e-10,3.7483097517438365e-05,0.9997119862638058
rh_chr1_631086,"{Vv,Vv}",0.9997508811016804,0.9997330868946576,Vv,Vv,chr01,627268,False,1.7267438199549141e-09,1.7104546800876985e-09,5.088366359902087e-09,2.0441942512152233e-09,4.5997347170589064e-05,3.2547389480180607e-10,1.6846663253051068e-09,6.361377125439964e-10,2.9393869278921185e-05,1.6148801089454756e-09,2.0506254354098217e-09,0.00013864495726099893,3.996225541816653e-10,3.506544344392979e-05,0.9997508811016804
rh_chr1_741516,"{Vv,Vv}",0.9997768245224352,0.9997608834168948,Vv,Vv,chr01,737678,False,1.561280302787304e-09,2.0403755556757504e-09,5.699580013095764e-09,2.4468268320241193e-09,4.380635685608352e-05,4.6152454283325173e-10,2.8697308801864043e-09,1.1949684950503927e-09,2.926575866380318e-05,2.252031317440649e-09,3.458503189901999e-09,0.00011330907925499976,6.248299228393033e-10,3.6771673138868536e-05,0.9997768245224352
rh_chr1_1060803,"{Vv,Vv}",0.9998847324295747,0.9998764990316872,Vv,Vv,chr01,1049416,False,3.857570736203009e-10,3.13706096771303e-10,1.5978251640289592e-09,8.021590674845354e-10,2.5108536771987753e-05,1.0608124977963841e-10,5.034217392157889e-10,2.693571768298336e-10,1.0813582248334961e-05,9.228578145628641e-10,1.4020242797208442e-09,5.266157007246579e-05,3.2609588790630313e-10,2.667725204695059e-05,0.9998847324295747
rh_chr1_1170229,"{Vv,Vv}",0.9999692367666585,0.9999670393928484,Vv,Vv,chr01,1140710,False,6.261896721087477e-11,5.589154245406885e-11,2.5677668243126866e-10,1.1182702442712415e-10,5.003143810644595e-06,2.0625323739466402e-11,1.0591687833712024e-10,5.011604456287811e-11,2.1888752043570483e-06,2.1688863944187043e-10,2.2735700810636786e-10,1.5012845306831555e-05,4.903832472170866e-11,8.557211963240906e-06,0.9999692367666585
rh_chr1_1304008,"{Vv,Vv}",0.9999526487721697,0.9999492665416104,Vv,Vv,chr01,1265000,False,3.016137201558514e-11,5.241751277957773e-11,1.114883043386414e-10,4.928819432278484e-11,9.518327571078043e-06,3.2419540247810997e-11,9.262052738524252e-11,5.816624965825999e-11,6.1850803776042485e-06,1.3446719438624638e-10,1.0037394454961455e-10,2.252780032130128e-05,2.730484706263162e-11,9.119330852548946e-06,0.9999526487721697
