Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.991506285221895,0.9908995913091732,NA1,NA1,chr01,89866,False,2.2620614625034644e-05,5.3396500261880986e-06,0.0035989677740636077,2.2187127040622667e-05,1.3150250763087056e-05,3.045916002172765e-06,0.0008920857864365161,5.216249260840659e-06,5.099443440318526e-06,0.991506285221895,0.002346771575480894,0.0015568693029133131,8.686934131287814e-06,9.373719732265162e-06,4.300434188855716e-06
rh_chr1_268616,"{NA1,NA1}",0.9997588756490793,0.9997416524811564,NA1,NA1,chr01,263248,False,1.336202040417104e-07,2.8582037982631553e-08,8.662309330698691e-05,1.1788175558408521e-07,7.270761449904317e-08,1.5433178663379185e-08,2.1683408992154755e-05,2.7327223995636833e-08,2.631140667728198e-08,0.9997588756490793,9.190345972387606e-05,4.036857932948946e-05,4.912466224228287e-08,5.021697284501926e-08,2.4604511625586e-08
rh_chr1_334737,"{NA1,NA1}",0.9999747544078402,0.9999729511512574,NA1,NA1,chr01,329439,False,2.4009617622645113e-08,2.9786209355554256e-09,1.0962009725302706e-05,1.2853679609730262e-08,1.0875581840525204e-08,1.366903267339805e-09,1.8827429562094767e-06,2.40641127143645e-09,2.6012173567528732e-09,0.9999747544078402,7.5781619440653864e-06,4.751878711906284e-06,4.689387106753694e-09,5.245007430226849e-09,3.772395711679253e-09
rh_chr1_443667,"{NA1,NA1}",0.9999797118357064,0.999978262681114,NA1,NA1,chr01,438310,False,8.229048134611577e-09,4.245987335761447e-10,1.0127045555648205e-05,2.3130260856638716e-09,3.925138449139298e-09,2.109593283949999e-10,1.2543884620502944e-06,3.934241404803882e-10,3.7579495670034575e-10,0.9999797118357064,3.139352079017516e-06,5.748790347793909e-06,7.156973584386043e-10,9.340214196045776e-10,1.0661403373380572e-09
rh_chr1_547952,"{NA1,NA1}",0.9999963346064163,0.999996072792589,NA1,NA1,chr01,544389,False,3.5139154837533543e-10,2.0469663612715018e-11,1.388409664718405e-06,9.878617071720429e-11,1.5897356252350386e-10,8.84916370917775e-12,5.043774828135364e-07,1.7241338608616915e-11,1.6596286052552708e-11,0.9999963346064163,8.071151624691931e-07,9.646976008260924e-07,3.425213124648678e-11,4.080164247730149e-11,4.631128573804729e-11
rh_chr1_631086,"{NA1,NA1}",0.9999970090271229,0.999996795386203,NA1,NA1,chr01,627268,False,1.3819314723387105e-10,1.3082556089530002e-11,7.396326752570188e-07,4.15210926013863e-11,6.356775562794187e-11,5.4694609115296656e-12,5.230020992564025e-07,1.0573978415417582e-11,1.07339661625558e-11,0.9999970090271229,1.0338949156468749e-06,6.941037661742183e-07,1.55973444860609e-11,2.0087428882280173e-11,2.0594102496286263e-11
rh_chr1_741516,"{NA1,NA1}",0.9999445293423659,0.9999405671525349,NA1,NA1,chr01,737678,True,2.065701566271565e-10,1.70676067552605e-10,1.4506012355754293e-05,2.127741661962964e-10,2.2273700127031835e-10,9.32727339214283e-11,1.2237505809317807e-05,1.7117291599351815e-10,1.6654870630876357e-10,0.9999445293423659,1.4645935634534213e-05,1.4079518503504384e-05,1.2549067021020855e-10,1.932727356770373e-10,1.2281589029169176e-10
rh_chr1_1060803,"{NA1,NA1}",0.9999627921005299,0.9999601343934248,NA1,NA1,chr01,1049416,False,8.254363438900554e-11,5.464654513858806e-11,1.1792765739346607e-05,1.5851667822000013e-10,1.4444206202314264e-10,2.5755652362613014e-11,3.6441197688196104e-06,5.4970962925116165e-11,5.5012861459666744e-11,0.9999627921005299,1.149561407950958e-05,1.0274548220338028e-05,7.354878119031065e-11,1.3836028331897482e-10,6.386461237771232e-11
rh_chr1_1170229,"{NA1,NA1}",0.9999971304274047,0.9999969254579336,NA1,NA1,chr01,1140710,False,6.0677116456969745e-12,6.185738724333878e-12,7.536257171130831e-07,1.2485889816891546e-11,1.4245768691680133e-11,2.332113801046423e-12,3.7464896033930485e-07,6.144126568636754e-12,6.7620858427344526e-12,0.9999971304274047,8.744960071598775e-07,8.667193414828376e-07,5.382161899918276e-12,1.2876624955609057e-11,1.0086896781018768e-11
rh_chr1_1304008,"{NA1,NA1}",0.9999955262470539,0.999995206693272,NA1,NA1,chr01,1265000,False,2.9248315275554003e-12,2.606967584161781e-12,6.115132986987964e-07,3.4430722830904426e-12,1.07614180613685e-11,2.4536490982349695e-12,1.2402838241412533e-06,3.055168919415807e-12,5.567326915113414e-12,0.9999955262470539,4.987018604164675e-07,2.123186424541608e-06,2.696570890684409e-12,6.838052679357179e-12,2.7191071791418108e-11
rh_chr1_1400565,"{NA1,NA1}",0.9999600598447497,0.9999572069765175,NA1,NA1,chr01,1361620,False,2.4158460120058794e-11,1.9826222911722514e-11,5.506469939407505e-06,2.268164690164255e-11,9.780904219073752e-11,1.9606747399294422e-11,3.4948665807698815e-06,2.9716963688237495e-11,4.036385386107656e-11,0.9999600598447497,3.7487004886261215e-06,2.7189429266836954e-05,2.5157052623339494e-11,4.231574292061934e-11,3.673389468798511e-10
rh_chr1_1482273,"{NA1,NA1}",0.9999352743769683,0.9999306511181802,NA1,NA1,chr01,1441962,False,5.3456786311722414e-11,7.983444746085211e-11,7.485111817938999e-06,1.0412565803100486e-10,2.1593176597483075e-10,5.431574416092625e-11,1.03733174133863e-05,1.0341479813656416e-10,2.4280060384217445e-10,0.9999352743769683,1.2253478658296431e-05,3.4612000001120604e-05,8.492814718970218e-11,2.691640886715135e-10,5.071688531996956e-10
rh_chr1_1623606,"{NA1,NA1}",0.9998531360807698,0.9998426458008247,NA1,NA1,chr01,1583376,True,2.860152486913225e-10,5.118553041535971e-10,2.456636721787523e-05,7.310752507723368e-10,9.595776174046886e-10,2.9117367688729427e-10,2.5468951261823893e-05,7.247335855671461e-10,1.008461528574397e-09,0.9998531360807698,4.4684511978952175e-05,5.2136427180239516e-05,6.717057748968976e-10,1.4068519050868962e-09,1.0701413123812216e-09
rh_chr1_1879893,"{NA1,NA1}",0.9998336742817125,0.9998217938732634,NA1,NA1,chr01,1839399,False,2.4448293532406094e-10,4.3154812542843747e-10,2.302907060080033e-05,1.0892098129028427e-09,8.605920490996915e-10,2.104365650495219e-10,2.0328328666097423e-05,7.901637513895029e-10,8.820811333305548e-10,0.9998336742817125,7.130698415512793e-05,5.165257477294017e-05,1.1660625142404626e-09,1.921221908260877e-09,1.164293720765093e-09
