Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9905501114521379,0.9898751194130049,Vv,Vv,chr01,89866,False,7.789099126797805e-06,1.3290067740719819e-05,8.711224707323781e-06,8.790614375353765e-06,0.0023904502600094945,6.6246495337833175e-06,1.3959555698700098e-05,1.359662914951598e-05,0.0019787457441609994,8.398922052092223e-06,9.118705709451981e-06,0.0025061871173201033,8.439465744770374e-06,0.0024757864925329122,0.9905501114521379
rh_chr1_268616,"{Vv,Vv}",0.9919471912568788,0.9913719906323701,Vv,Vv,chr01,263248,False,2.753021242541355e-06,8.485615717699671e-06,3.154776848214527e-06,3.278042273390138e-06,0.0020519873352801282,2.507880461815273e-06,9.06067494731786e-06,8.724360912763207e-06,0.001634107695247015,3.1381898494473382e-06,3.501870213577241e-06,0.002174617888003636,3.258821157067178e-06,0.0021442325709666405,0.9919471912568788
rh_chr1_334737,"{Vv,Vv}",0.9923428628642768,0.9917959244974394,Vv,Vv,chr01,329439,True,2.0828858055589427e-06,7.963485920664993e-06,2.427666309653429e-06,2.5621387499716004e-06,0.001956859312125811,1.956981326115961e-06,8.498624125714566e-06,8.165422295509402e-06,0.0015400916117627235,2.3744681840362035e-06,2.736115021786074e-06,0.0020741954483311158,2.514730403207291e-06,0.0020447082453614244,0.9923428628642768
rh_chr1_443667,"{Vv,Vv}",0.9930216081855459,0.9925231516273706,Vv,Vv,chr01,438310,True,1.0447286974809563e-06,7.127036783563301e-06,1.25120754672842e-06,1.4039332430353727e-06,0.0017933213563856938,1.113958752422528e-06,7.598838561702075e-06,7.270383120643583e-06,0.0013782777164715947,1.1915485547069467e-06,1.4984214015159512e-06,0.0019019733512765098,1.3627201222777726e-06,0.001873956613536209,0.9930216081855459
rh_chr1_547952,"{Vv,Vv}",0.9937158810802812,0.9932670154431584,Vv,Vv,chr01,544389,False,1.2673736323923741e-07,6.386868861064863e-06,1.801377386710235e-07,3.4999833049739624e-07,0.001625546964758459,3.8410218582498006e-07,6.802493432808139e-06,6.477797101257992e-06,0.001212055939964914,1.453862162928415e-07,3.7298027365384403e-07,0.001725768642523916,3.446991272476461e-07,0.0016991761718410004,0.9937158810802812
rh_chr1_631086,"{Vv,Vv}",0.9944300294056901,0.9940321743632394,Vv,Vv,chr01,627268,True,1.1400861293811087e-07,5.253252110880854e-06,1.9013757052073622e-07,3.2756754758829166e-07,0.0014249616546798123,3.343061944937275e-07,5.599029058271378e-06,5.331151939105126e-06,0.0011120113490123487,1.303168475059213e-07,3.4802023273322646e-07,0.0015185809863930205,2.84661314577183e-07,0.0014965041527960732,0.9944300294056901
rh_chr1_741516,"{Vv,Vv}",0.9954129353740755,0.9950852879007952,Vv,Vv,chr01,737678,True,9.076709911809799e-08,3.881622029051226e-06,1.813349093439516e-07,2.807002336820681e-07,0.0011500305570482506,2.621133348436649e-07,4.141732368913859e-06,3.941096877640282e-06,0.0009699411331434002,1.0368197114773539e-07,2.973851045160297e-07,0.0012349074700108277,2.0696768383319793e-07,0.0012187980641099026,0.9954129353740755
rh_chr1_1060803,"{Vv,Vv}",0.9983887523462202,0.9982736632280931,Vv,Vv,chr01,1049416,False,4.175586174689719e-09,1.7228967925870773e-07,8.633569264806732e-09,1.0708719135042324e-08,0.0003250925177606336,3.356712154376159e-08,2.0249696870578534e-07,1.740085190021687e-07,0.0005138905245069952,5.947953651973052e-09,1.2403449422692547e-08,0.00038558597530103744,8.009978493882409e-09,0.000386046394666527,0.9983887523462202
rh_chr1_1170229,"{Vv,Vv}",0.998958512712262,0.9988841207631378,Vv,Vv,chr01,1140710,False,1.4316686994151317e-09,4.4390927738114016e-08,3.1901180598926706e-09,3.841252457498969e-09,0.0002021078002122011,1.0375587452841431e-08,5.831913149492862e-08,4.736269607570235e-08,0.00031807618635740985,2.6690134651956705e-09,4.930501719976968e-09,0.0002596716284958533,2.9356809735580234e-09,0.00026145222609445334,0.998958512712262
rh_chr1_1304008,"{Vv,Vv}",0.9992963820171121,0.999246123589763,Vv,Vv,chr01,1265000,False,1.304339818283034e-09,2.056447165692253e-08,2.87659219571787e-09,3.330738379265741e-09,0.00013665725977187222,6.5807052416706765e-09,2.5925420207590455e-08,2.2280608713988364e-08,0.00023867783989004355,1.9081201958851014e-09,3.810629102379975e-09,0.00016556781909528095,2.0876732105756777e-09,0.00016262439483202536,0.9992963820171121
rh_chr1_1400565,"{Vv,Vv}",0.9992529648666238,0.9991996052142399,Vv,Vv,chr01,1361620,False,3.1801129520496003e-09,2.1483799680637968e-08,7.059782405358771e-09,7.812536299779442e-09,0.00015774474523112602,7.517800600678039e-09,2.6102953224295503e-08,2.3630620479245752e-08,0.00023364570640700078,4.056255954308619e-09,8.52947207946891e-09,0.00018165110566934956,4.2003109218107496e-09,0.00017388000242409525,0.9992529648666238
rh_chr1_1482273,"{Vv,Vv}",0.9992031429417944,0.999146224580494,Vv,Vv,chr01,1441962,True,4.815860205697453e-09,2.3381231161054623e-08,1.0544764487430296e-08,1.2126706335025056e-08,0.00017730887850114012,8.77448655481734e-09,2.7202954323930592e-08,2.6357139816602693e-08,0.00023853159018737087,5.553382966711993e-09,1.268908874803365e-08,0.00019335656852386565,6.20860200107507e-09,0.00018752236677673135,0.9992031429417944
rh_chr1_1623606,"{Vv,Vv}",0.9991558539873233,0.9990955578435607,Vv,Vv,chr01,1583376,True,6.811269054880561e-09,2.4011133450404143e-08,1.4381012721540652e-08,1.7879752624139793e-08,0.00020164941708149543,9.388673298471498e-09,2.6317423651196193e-08,2.8549900350177144e-08,0.00023706158775174796,7.008447885971563e-09,1.7773103406627907e-08,0.00020385014103265373,8.83004226148968e-09,0.00020142391605216362,0.9991558539873233
