Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.8282531604501507,0.8159855290537329,Vv,Vv,chr01,89866,False,0.00037611896121337056,0.0003628530406351358,0.002047970735754773,0.0006696856564588746,0.017023296715576054,0.00029469076367528464,0.0018424728444180803,0.0006144331074185755,0.014875431292287241,0.004577705598923403,0.020426850708046892,0.08471737140770479,0.0008774446500528143,0.023040514067684037,0.8282531604501507
rh_chr1_268616,"{Vv,Vv}",0.8349748659744476,0.8231873564011939,Vv,Vv,chr01,263248,True,0.0002949940672278745,0.0002858686469941181,0.0018042745110918431,0.0005397771951361562,0.015288071732480799,0.00022338266105813748,0.0015988701683562372,0.000488567010992136,0.01308924967251482,0.004144700730198011,0.020610702706216483,0.0845558065058572,0.0006929259389860562,0.02140794247844246,0.8349748659744476
rh_chr1_334737,"{Vv,Vv}",0.837576111053072,0.8259744046997199,Vv,Vv,chr01,329439,True,0.00026710690104003916,0.0002602145774753005,0.0017128191071925974,0.0004932675740686843,0.014607922023117398,0.00019927922176395758,0.001507481845597516,0.00044365503743939733,0.012389379925534579,0.003981197279358926,0.02068465426220854,0.08448445671908682,0.0006251844058296871,0.020767270067214603,0.837576111053072
rh_chr1_443667,"{Vv,Vv}",0.84192227872111,0.830631012915475,Vv,Vv,chr01,438310,False,0.0002240058227158475,0.00021953646190797164,0.0015615075856557055,0.0004175585798327821,0.013466833759869127,0.00016245081672162812,0.001356313658641255,0.00037063435664457726,0.01121553358220416,0.0037133156502239203,0.020808055251837602,0.08435447313987778,0.0005160002798827452,0.019691502332874793,0.84192227872111
rh_chr1_547952,"{Vv,Vv}",0.8462274488109314,0.8352436951545693,Vv,Vv,chr01,544389,False,0.00018575152987844733,0.00018317568758195512,0.0014143352744797162,0.00034615347553586267,0.012328304858989635,0.00013036617909795004,0.0012093234228109674,0.00030192460364895815,0.010044695196264062,0.003454010515515985,0.02093176404084901,0.08421293778157778,0.0004127376685001641,0.01861707095433816,0.8462274488109314
rh_chr1_631086,"{Vv,Vv}",0.8522524735742327,0.8416990788295351,Vv,Vv,chr01,627268,True,0.00016099727168306967,0.0001603636498492694,0.0012956298449869378,0.0003062634537033886,0.011551580010591206,0.00011001242317082957,0.0010950734310621296,0.0002653900225590041,0.00922946818940694,0.00317248174428133,0.02021905270443979,0.08248493087658078,0.0003575030340533811,0.017338779769399185,0.8522524735742327
rh_chr1_741516,"{Vv,Vv}",0.8604606155301792,0.8504935166394777,Vv,Vv,chr01,737678,True,0.00013054681781237998,0.00013153715948338042,0.0011403642388538224,0.00025506446070654154,0.010477997488112975,8.551609215608907e-05,0.0009459959341303249,0.00021889935851850852,0.008103691822439895,0.002807856861613728,0.019313270540241224,0.08009116274676717,0.0002894467316375324,0.015548034217347245,0.8604606155301792
rh_chr1_1060803,"{Vv,Vv}",0.8851209622096763,0.8769153166532246,Vv,Vv,chr01,1049416,True,5.714119674721842e-05,4.9622049885117894e-05,0.0006898184916168804,0.00010577317298955106,0.00719510885554821,2.9536070512431285e-05,0.0005144453129152803,8.436158028615123e-05,0.004667624087634023,0.0018262699540323166,0.016847585939794747,0.07274965682242945,0.00012503079253430567,0.009937063463397962,0.8851209622096763
rh_chr1_1170229,"{Vv,Vv}",0.8924709524053906,0.8847903061486329,Vv,Vv,chr01,1140710,False,4.2243325927971795e-05,3.524712187558674e-05,0.0005826664348118192,7.764109978140555e-05,0.006162936323939978,1.991388203809364e-05,0.0004133389104272959,6.0996471547421495e-05,0.0035890276557716547,0.0015679254712985982,0.016299903953090354,0.0704435934974279,9.231389393585524e-05,0.008141299552735367,0.8924709524053906
rh_chr1_1304008,"{Vv,Vv}",0.9157149811498825,0.9096946226605884,Vv,Vv,chr01,1265000,True,2.6090727666588554e-05,1.9153308270857955e-05,0.0004028391763664863,5.2988209073526214e-05,0.004845858014290995,1.0708581892857547e-05,0.00022649947016908375,4.21817478565553e-05,0.0021394955801343368,0.0010627628979867894,0.008412967404309924,0.060901934307231315,5.5743585448321276e-05,0.00608579583941992,0.9157149811498825
rh_chr1_1400565,"{Vv,Vv}",0.9350954565833466,0.9304594177678713,Vv,Vv,chr01,1361620,False,1.641282756710378e-05,9.95869653709949e-06,0.0002812877236483026,3.173784407853553e-05,0.00373894243839576,6.6985884098944265e-06,0.0001094614658933455,2.9391210205170002e-05,0.0009162124028024513,0.0007370723882992894,0.003937604160711042,0.05197880932599232,3.734556822650905e-05,0.0030736087758865423,0.9350954565833466
rh_chr1_1482273,"{Vv,Vv}",0.942557769942285,0.9384547535095911,Vv,Vv,chr01,1441962,True,1.3329294374358654e-05,8.620604257956726e-06,0.0002355918302128945,2.968947060601859e-05,0.00336521154009986,5.386836550805397e-06,9.49362344011393e-05,2.7505005440892418e-05,0.0008785918831716008,0.0005837643849050578,0.0032201295709486147,0.04589090269773883,3.203405759026372e-05,0.0030565366474165933,0.942557769942285
rh_chr1_1623606,"{Vv,Vv}",0.956180544889089,0.9530505838097382,Vv,Vv,chr01,1583376,True,8.539106260160976e-06,6.14307742153529e-06,0.00015849908577869878,2.3460631818906993e-05,0.0026512828000993093,3.3562596346701257e-06,6.741256104697798e-05,2.1708709920161234e-05,0.0007620394952431205,0.00035279166555936373,0.0020774303209115364,0.03488984936195851,2.1960993383046367e-05,0.0027749810418749364,0.956180544889089
rh_chr1_1879893,"{Vv,Vv}",0.9824790683191548,0.9812275731990944,Vv,Vv,chr01,1839399,True,2.1225062514540994e-06,1.3517455615256148e-06,3.159579529245743e-05,5.832016251399751e-06,0.0011644712096559114,6.288664837336646e-07,1.4171555570067263e-05,5.229255087975727e-06,0.00037553166446111815,6.215227417654792e-05,0.00037578641416318115,0.014035788782379042,4.7084278022233934e-06,0.0014415611677085593,0.9824790683191548
rh_chr1_1999515,"{Vv,Vv}",0.9950936733048545,0.9947432213980585,Vv,Vv,chr01,1959058,False,8.630610787982485e-07,2.429601881022438e-07,5.523922492799884e-06,1.1040805743145006e-06,0.00037897773007803195,1.022139954138634e-07,2.223818395470355e-06,8.588806588231687e-07,0.00011181991532504771,1.002884943344804e-05,5.585869040669952e-05,0.0038854134659570536,8.159025762033322e-07,0.0004524932039853071,0.9950936733048545
rh_chr1_2145831,"{Vv,Vv}",0.9970795796828307,0.9968709782316043,Vv,Vv,chr01,2106048,True,7.235496117680999e-07,1.3003849827426463e-07,2.8179888229479983e-06,6.129443447516533e-07,0.0002678464233486458,4.2532100757343857e-08,1.0651333719485846e-06,4.2718497128304487e-07,7.833575937468305e-05,4.0835068875554775e-06,2.4701111306024645e-05,0.0022563106758603704,3.6182040316712386e-07,0.00028296164826716497,0.9970795796828307
rh_chr1_2306205,"{Vv,Vv}",0.9993235879318872,0.999275272784165,Vv,Vv,chr01,2265211,False,6.349465521442726e-07,3.113951978945331e-08,7.055442171945853e-07,1.647740285190297e-07,0.00012379889332925773,5.710536113586451e-09,1.3531342250419092e-07,5.5241566599865874e-08,1.802278982413565e-05,6.453230769802836e-07,3.2181114643811773e-06,0.0004650406586075374,6.05118649138076e-08,6.389311010258701e-05,0.9993235879318872
