Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9961040684549682,0.9958257876303231,Vv,Vv,chr01,89866,False,5.053688913049195e-06,3.7492336663794953e-06,3.6617892980279366e-06,3.8075432957548266e-06,0.001418386161317005,2.1210650139262724e-06,2.605890533129002e-06,2.6650753231731776e-06,0.0008215791326436308,2.0372194842327876e-06,2.613652483284797e-06,0.0007946741240212711,2.1700681740806428e-06,0.0008308069008647671,0.9961040684549682
rh_chr1_268616,"{Vv,Vv}",0.9976405737067878,0.9974720432572727,Vv,Vv,chr01,263248,False,2.1644551700491957e-06,1.0883439653249281e-06,1.0005200324308986e-06,1.1147239101813358e-06,0.0010532905897835904,5.388463649343128e-07,6.019954251746615e-07,6.253617029032881e-07,0.00044244407187430757,4.927335571076612e-07,5.850075578195609e-07,0.0004082009756005033,5.512269472000513e-07,0.0004467274413206332,0.9976405737067878
rh_chr1_334737,"{Vv,Vv}",0.9977909518362087,0.9976331626816521,Vv,Vv,chr01,329439,True,1.6355398819724518e-06,8.707331254389687e-07,7.789111608770063e-07,8.719388075723707e-07,0.0009681812698241705,4.2119611225782504e-07,4.824786020831344e-07,5.003199801419468e-07,0.00042775997477034885,3.75377252407154e-07,4.5910797901840837e-07,0.0003863794186752691,4.2245293992598975e-07,0.00041990944467971275,0.9977909518362087
rh_chr1_443667,"{Vv,Vv}",0.9980640764895847,0.9979257962388408,Vv,Vv,chr01,438310,True,8.588489865690696e-07,5.23205806257106e-07,4.2876248683681397e-07,4.899735183726542e-07,0.0008219356807277194,2.420426338792369e-07,2.9144961753977865e-07,3.0062945155014497e-07,0.000397034025518128,2.0064170902254395e-07,2.599147317134085e-07,0.0003438955105400924,2.3142253454888389e-07,0.00036923140215304755,0.9980640764895847
rh_chr1_547952,"{Vv,Vv}",0.9983608488295082,0.9982437666030445,Vv,Vv,chr01,544389,False,2.3383382687242446e-07,2.2049761787840668e-07,1.3049229365928678e-07,1.6674124659202462e-07,0.0006719839484781981,8.85711068219739e-08,1.2442534043503895e-07,1.2641288902840364e-07,0.0003592333365738962,5.6977682805321346e-08,8.974009555363103e-08,0.00029461906416557154,7.545323775701983e-08,0.0003120016759368166,0.9983608488295082
rh_chr1_631086,"{Vv,Vv}",0.9984857144128835,0.9983775511566608,Vv,Vv,chr01,627268,True,1.9136232898328096e-07,1.9429416577325378e-07,1.195189682120299e-07,1.4922571317368512e-07,0.0006068240897597007,7.425699091197731e-08,1.1102690422594057e-07,1.1257561823475892e-07,0.0003348791374992973,4.8603399992960346e-08,8.16443735651668e-08,0.00027910882866379586,6.305044547775656e-08,0.0002923279722851469,0.9984857144128835
rh_chr1_741516,"{Vv,Vv}",0.9986800570103517,0.9985857753682339,Vv,Vv,chr01,737678,True,1.3957442642693204e-07,1.5802588148451646e-07,1.0163555493926066e-07,1.235609289358747e-07,0.0005132699792621875,5.6121477412704965e-08,9.19586893015017e-08,9.290475330367416e-08,0.00029538527782975405,3.7631753858419e-08,6.91615259433907e-08,0.0002513398641928183,4.739383592063476e-08,0.00025902989953611587,0.9986800570103517
rh_chr1_1060803,"{Vv,Vv}",0.9994026396337977,0.9993599710362119,Vv,Vv,chr01,1049416,True,1.833213561450477e-08,2.3495054084685398e-08,1.661717272252372e-08,1.832562603241707e-08,0.00020709192427874681,9.37551197591806e-09,1.5740995928284662e-08,1.4538270769890344e-08,0.00014015613211278897,7.019742249402149e-09,1.1849408760556611e-08,0.00012890018434371083,7.212730096832775e-09,0.00012106961881880385,0.9994026396337977
rh_chr1_1170229,"{Vv,Vv}",0.9996622460557326,0.9996381207739993,Vv,Vv,chr01,1140710,False,3.1506108294268047e-09,5.14323750158977e-09,3.4048296797886847e-09,3.4811897053466465e-09,0.0001058720335168732,2.4355940371926504e-09,4.236430941047672e-09,3.1097973619326314e-09,8.257237889441306e-05,1.9507278775996964e-09,2.755240093158316e-09,8.080957250597475e-05,1.4133777782850765e-09,6.846887831440448e-05,0.9996622460557326
rh_chr1_1304008,"{Vv,Vv}",0.9998201029518885,0.9998072531627377,Vv,Vv,chr01,1265000,False,5.931535720872459e-10,2.21652600390181e-09,7.217443953898176e-10,5.104572890719933e-10,4.8900703252577025e-05,1.2999506375096617e-09,2.0339840856096184e-09,9.946378196240747e-10,6.294763278813041e-05,4.6185093127034125e-10,4.648977184495604e-10,4.3911817575562915e-05,1.9526283974324416e-10,2.4127402029838342e-05,0.9998201029518885
rh_chr1_1400565,"{Vv,Vv}",0.9998000535138977,0.9997857716220332,Vv,Vv,chr01,1361620,False,4.889290055792292e-10,2.993861166046812e-09,8.272947713304383e-10,4.444890901360798e-10,5.170951692832972e-05,1.4693565271973843e-09,3.0379839227861862e-09,1.264808667550766e-09,6.986098498689608e-05,4.960226430425066e-10,4.578376223070069e-10,5.5035281566185404e-05,1.5630629352190508e-10,2.332906573122687e-05,0.9998000535138977
rh_chr1_1482273,"{Vv,Vv}",0.999785511571197,0.9997701909691397,Vv,Vv,chr01,1441962,False,3.2384759407570886e-10,3.950680923740981e-09,6.873180676982809e-10,2.6985459239500037e-10,5.293981174950411e-05,1.7539323847117444e-09,4.1676011538533265e-09,1.5704542121513334e-09,7.883524556939987e-05,3.8277898608175534e-10,2.9880632528727046e-10,6.145675165263289e-05,1.0239132643714927e-10,2.1243112165982394e-05,0.999785511571197
rh_chr1_1623606,"{Vv,Vv}",0.9997604307704381,0.9997433186826122,Vv,Vv,chr01,1583376,True,7.384017328367608e-10,3.953719097970166e-09,2.061348015186229e-09,1.164218251916487e-09,5.682500657047575e-05,1.6140327951471995e-09,4.5320666696309905e-09,2.228403679358438e-09,7.051307613833252e-05,1.1819568866643703e-09,1.3898727352876313e-09,7.850772085610202e-05,3.756440577353413e-10,3.370418633313647e-05,0.9997604307704381
rh_chr1_1879893,"{Vv,Vv}",0.9998446463117474,0.9998335496197294,Vv,Vv,chr01,1839399,False,8.6834483304262e-11,1.840966479225815e-10,6.277755632752361e-10,1.324331129013721e-10,3.1420921827728484e-05,6.962923944672561e-11,6.09251538238194e-10,1.402923857259211e-10,2.314384601554314e-05,7.018058751160313e-10,5.535556097387053e-10,7.71376107837315e-05,6.043907952073397e-11,2.3648143512036406e-05,0.9998446463117474
rh_chr1_1999515,"{Vv,Vv}",0.9998067915971147,0.9997929909969087,Vv,Vv,chr01,1959058,False,8.421495216850374e-11,1.320765841764418e-10,3.140981409734373e-10,1.2772281754584079e-10,4.830848053627761e-05,4.255182824949631e-11,2.642512598562239e-10,1.0637154727572314e-10,3.26928224871987e-05,2.332645252372947e-10,2.665806567282795e-10,7.550470656169738e-05,5.822217240674777e-11,3.670076394558936e-05,0.9998067915971147
rh_chr1_2145831,"{Vv,Vv}",0.9997670894315327,0.9997504529623564,Vv,Vv,chr01,2106048,True,5.2077171142137e-10,7.93610011915298e-10,1.2256646308688331e-09,8.35642902157365e-10,6.6873855344247e-05,3.184245263897563e-10,9.840309327182526e-10,6.710741378079654e-10,4.397973790981645e-05,6.059239764831896e-10,1.04518307207596e-09,7.215232163509318e-05,3.7367050352367243e-10,4.9897279581711196e-05,0.9997670894315327
rh_chr1_2306205,"{Vv,Vv}",0.9997861067026098,0.999770828609939,Vv,Vv,chr01,2265211,False,1.3055472652731963e-10,1.8250969291921966e-10,2.484307760923348e-10,2.0069189807230652e-10,7.1518256819267e-05,6.372356102920039e-11,1.7039996007361585e-10,1.4506358968298435e-10,4.064280071495406e-05,9.454663965834177e-11,1.9664598872035287e-10,5.3075751439653824e-05,8.36801043639901e-11,4.8654972169334894e-05,0.9997861067026098
rh_chr1_2424927,"{Vv,Vv}",0.9997839818426,0.9997685519742142,Vv,Vv,chr01,2384046,False,1.2012047324254316e-10,1.707523005977737e-10,1.9398328881572723e-10,1.9223698669750643e-10,8.096013352310271e-05,3.959239016251782e-11,1.0234341933549354e-10,1.2937464286236277e-10,4.073659200784524e-05,3.721137577564757e-11,1.4645695013313207e-10,4.362599082478036e-05,6.790515074754785e-11,5.069424106726052e-05,0.9997839818426
rh_chr1_2618562,"{Vv,Vv}",0.9998708663889926,0.9998616425596349,Vv,Vv,chr01,2577582,False,5.707797477219023e-10,3.455459455857238e-10,2.21132913529908e-10,5.167540776478056e-10,6.868615787443549e-05,7.223097559771272e-11,8.979528884469593e-11,2.1787990346211177e-10,1.7378614665409563e-05,2.8717263893850105e-11,1.4438447028830714e-10,1.0346418621606506e-05,1.6328212331239845e-10,3.272004934316361e-05,0.9998708663889926
rh_chr1_2718543,"{Vv,Vv}",0.9998590570512285,0.9998489896977448,Vv,Vv,chr01,2677534,False,5.995213993859486e-10,5.033893708180539e-10,1.7470422383568487e-10,7.732942465045961e-10,6.697119640249628e-05,1.1374421216481194e-10,7.471996722309859e-11,3.4232758834561475e-10,2.1393811793194922e-05,2.1339402573579087e-11,1.2589219918069135e-10,7.134451107219441e-06,2.714245242033793e-10,4.544048911158728e-05,0.9998590570512285
rh_chr1_2822616,"{Vv,Vv}",0.9998529168268793,0.9998424108859421,Vv,Vv,chr01,2781082,False,3.5388308388080945e-10,2.938398394064432e-10,1.6539928034687766e-10,5.303297398310786e-10,6.067722367998292e-05,7.457993006756936e-11,6.979766844677317e-11,2.354782242193471e-10,2.0614726043777477e-05,2.5279397148889004e-11,1.3330137998374163e-10,9.9683650208694e-06,2.1640391517318656e-10,5.5820760083624124e-05,0.9998529168268793
