Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.5033284040858461,0.4678518615205494,NA2,NA2,chr01,89866,True,0.00013518245506822786,0.00017803186922018817,0.00014415148655395893,0.007867643083584164,0.003867390999534536,0.000253666895801801,0.0001769562866249698,0.009642646100958224,0.005703130632213487,0.00013568234297209916,0.008061860213405542,0.0036133809196888466,0.5033284040858461,0.4449234300838475,0.011968442544680394
rh_chr1_268616,"{NA2,NA2}",0.5057304833614383,0.47042551788725534,NA2,NA2,chr01,263248,False,9.012314623117686e-05,0.00012201118983969843,9.567486599234754e-05,0.005900073690684843,0.002906270523631414,0.000193716057599032,0.00012104054782805593,0.007713426834300611,0.004781956589848957,9.089374867274626e-05,0.0060995285328172685,0.0026457176450843866,0.5057304833614383,0.45343239278417835,0.01007669048185265
rh_chr1_334737,"{NA2,NA2}",0.5055437808027611,0.47022547943152976,NA2,NA2,chr01,329439,True,7.694489971656644e-05,0.00010584889343625336,8.232881172167141e-05,0.005308526971319193,0.0025582947275501005,0.00017519384153436238,0.00010496893956805057,0.007118642187606305,0.0044487567022122145,7.7940605338392e-05,0.0055003203407406765,0.002294681840795834,0.5055437808027611,0.45720462278680757,0.00939914764889163
rh_chr1_443667,"{NA2,NA2}",0.505261484450945,0.46992301905458395,NA2,NA2,chr01,438310,True,5.86617668288216e-05,8.177035420241299e-05,6.29780480651664e-05,0.004315705685368241,0.0019768983681880373,0.00014806985400057134,8.104793692429809e-05,0.006120848347466525,0.0038918702753790017,6.003988620572556e-05,0.004495009017554091,0.0017081874903491028,0.505261484450945,0.4634581772096918,0.008279251308831254
rh_chr1_547952,"{NA2,NA2}",0.5050127907147656,0.469656561480106,NA2,NA2,chr01,544389,False,4.4931557811849934e-05,6.213459911832942e-05,4.806769803609902e-05,0.0033243527138328605,0.0013997676540794164,0.0001256659592942373,6.157741227599742e-05,0.005125069413430569,0.0033388725594245957,4.6696896005166073e-05,0.0034916184318119683,0.0011260115505015175,0.5050127907147656,0.46961069993828436,0.007181742901327461
rh_chr1_631086,"{NA2,NA2}",0.5074940188359436,0.4723150201813681,NA2,NA2,chr01,627268,True,4.0746528988684676e-05,5.6528920883336036e-05,4.400981570952902e-05,0.003096338781295669,0.001336087123051541,0.00011883751137006622,5.5996482284483594e-05,0.004922658214417242,0.00330341709036879,4.260518427796304e-05,0.0032624245420496364,0.0010576202125877846,0.5074940188359436,0.4681764195193985,0.006992291237373139
rh_chr1_741516,"{NA2,NA2}",0.510831337446736,0.4758907186929315,NA2,NA2,chr01,737678,True,3.5640476153945866e-05,4.9283993430466466e-05,3.8904813472619525e-05,0.0027769796639030677,0.0012490868421728897,0.00011016100419633464,4.8786589321640394e-05,0.004637816787450445,0.0032543105874077577,3.762681274034119e-05,0.0029415692244075162,0.0009642780253759915,0.510831337446736,0.4662860149132827,0.006738202819948221
rh_chr1_1060803,"{NA2,NA2}",0.5204804308904553,0.48622903309691634,NA2,NA2,chr01,1049416,True,2.383187992973579e-05,2.8858178813985897e-05,2.5008745529883886e-05,0.0017773263916864292,0.0009869151401843033,8.795555471866309e-05,2.847038644800209e-05,0.0037381540347269644,0.003100942912872282,2.6201236452296584e-05,0.0019381473709073822,0.0006837866554006585,0.5204804308904553,0.46106606566696623,0.0060079049549080065
rh_chr1_1170229,"{NA2,NA2}",0.5233479634434361,0.4893013894036816,NA2,NA2,chr01,1140710,False,2.1434343667175083e-05,2.421348436829666e-05,2.2430040828548164e-05,0.0014574718697843263,0.0009084465320651928,8.241020630273472e-05,2.3863711702368048e-05,0.003448339114724235,0.0030548889290802775,2.392225495691969e-05,0.001617328322573467,0.0005998322101772466,0.5233479634434361,0.45957511029753334,0.005792345238799762
rh_chr1_1304008,"{NA2,NA2}",0.5264127817890905,0.49258512334545407,NA2,NA2,chr01,1265000,False,1.883671386985507e-05,1.847385394449613e-05,1.9540713055863703e-05,0.0010757335066402963,0.0008028962022828762,7.557995478058322e-05,1.818284110987036e-05,0.0031034142839750692,0.002994483722550986,2.149737955063129e-05,0.0012354060620838262,0.0004866294624274644,0.5264127817890905,0.45820886259653576,0.005507680918102035
