Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Mus,Mus}",0.9968618971762677,0.9966377469745725,Mus,Mus,chr01,89866,False,4.065334242993097e-07,0.0001604081735428728,6.223358834490385e-07,1.2563021843371475e-06,6.492366686046761e-07,0.9968618971762677,0.00018250977387524605,0.0023729893390005423,0.00041316463836394676,4.59435344485741e-07,1.289366041958091e-06,6.788345865760439e-07,1.8114384190078813e-06,1.3585770214972394e-06,4.988393753229313e-07
rh_chr1_268616,"{Mus,Mus}",0.997992466071864,0.9978490707912828,Mus,Mus,chr01,263248,False,3.653549726620546e-08,4.157593245112555e-05,5.21942468529264e-08,1.4358370552057182e-07,5.929910439589216e-08,0.997992466071864,6.177561491181465e-05,0.0017850770741683157,0.00011809830620756859,4.280664927787497e-08,1.492727323408955e-07,6.428870020055208e-08,2.2528119030330592e-07,1.7418600425308708e-07,5.955256698023625e-08
rh_chr1_334737,"{Mus,Mus}",0.9994271773833814,0.9993862614821943,Mus,Mus,chr01,329439,False,1.818166301196223e-08,1.2169463713905092e-05,2.2945534253936646e-08,6.469706834815984e-08,2.9026254996671587e-08,0.9994271773833814,1.75897960974999e-05,0.0005010406901834821,4.153286560979627e-05,2.128260003003724e-08,6.714355494709538e-08,3.1448475232712304e-08,1.1246162165352579e-07,8.702890071951994e-08,3.558534081184049e-08
rh_chr1_443667,"{Mus,Mus}",0.9994312107800951,0.9993905829786733,Mus,Mus,chr01,438310,True,1.1862879386614358e-08,3.011539090355406e-05,1.5573247300913192e-08,4.657870851924589e-08,2.046114630741403e-08,0.9994312107800951,3.4588612152028396e-05,0.00043764046102530126,6.610114336327124e-05,1.3866226642944935e-08,4.820575154833541e-08,2.2147174428852115e-08,7.500266885165687e-08,6.448758012011199e-08,2.5427077641338965e-08
rh_chr1_547952,"{Mus,Mus}",0.9994644279941554,0.9994261728508808,Mus,Mus,chr01,544389,False,6.644952758438649e-09,4.012325602682837e-05,9.328513744700275e-09,2.890858536319889e-08,1.2916158744086709e-08,0.9994644279941554,4.367882728175993e-05,0.00036891622806023216,8.264368705705871e-05,7.739649526439395e-09,2.9840042634248525e-08,1.3942372436581311e-08,4.2389707518079325e-08,4.183073969050716e-08,1.646669626887504e-08
rh_chr1_631086,"{Mus,Mus}",0.9994395787733404,0.9993995486857219,Mus,Mus,chr01,627268,True,5.855693186087951e-09,5.3292126809916596e-05,8.922926462268202e-09,2.877487930044084e-08,1.2627595032647797e-08,0.9994395787733404,5.637315850673125e-05,0.0003442265331136443,0.00010632858951139521,6.7611682561683785e-09,2.957721878699665e-08,1.354157865941136e-08,3.7374980846891806e-08,4.197905127018132e-08,1.540362604690884e-08
rh_chr1_741516,"{Mus,Mus}",0.9994338632820244,0.9993934249450261,Mus,Mus,chr01,737678,True,4.891292706099926e-09,6.388691758532587e-05,8.41923882272154e-09,2.6965254331124395e-08,1.2208551617151135e-08,0.9994338632820244,6.633858239346756e-05,0.0003046862628000586,0.00013104242410056014,5.560465348944289e-09,2.7597006885491946e-08,1.2957786720728963e-08,3.004058089240449e-08,3.981604207362659e-08,1.4074876618506744e-08
rh_chr1_1060803,"{Mus,Mus}",0.9995870368349379,0.9995575394660049,Mus,Mus,chr01,1049416,True,1.2536324897923606e-09,5.0884557223962985e-05,2.203917583575754e-09,6.089595683741319e-09,4.2832365446872e-09,0.9995870368349379,5.1574629659297675e-05,0.00015182527722386186,0.00015862710585331767,1.354593405083413e-09,6.1731678511837945e-09,4.419844905949569e-09,6.009913857912843e-09,1.1827342754543911e-08,7.97985643257298e-09
rh_chr1_1170229,"{Mus,Mus}",0.9996791043746072,0.9996561832585077,Mus,Mus,chr01,1140710,False,3.555880738487336e-10,3.5086689386267645e-05,6.59186726849134e-10,1.7249960953004934e-09,1.3579497644736236e-09,0.9996791043746072,3.526630441200742e-05,9.563280792118883e-05,0.00015489175471786263,3.8047074358878654e-10,1.7454007581864568e-09,1.3722538936035667e-09,1.6058521442932754e-09,3.489863374665906e-09,5.37739390740537e-09
rh_chr1_1304008,"{Mus,Mus}",0.9997315222639928,0.9997123452828494,Mus,Mus,chr01,1265000,False,2.724311129917476e-10,2.2305585136203366e-05,5.211965892510529e-10,1.1320309854978997e-09,7.413640984615382e-10,0.9997315222639928,2.199251781863232e-05,5.139400515669671e-05,0.00017277041655850228,2.8526630818103334e-10,1.1435252825380324e-09,6.940311182137813e-10,9.624903365350685e-10,1.4805654527169971e-09,7.978435825658557e-09
