Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.9176443975818087,0.9117618545519379,NA2,NA2,chr01,89866,True,0.00040656663048261964,0.00026612292627242913,0.0006349850787351967,0.022007463882452713,0.0005884150481787359,0.00016966616684217724,0.0003529512668426627,0.009110241069759186,0.0003000486273646105,0.000955099807144898,0.028927612020561953,0.0007684984799719432,0.9176443975818087,0.016825942029434864,0.001041989384147253
rh_chr1_268616,"{NA2,NA2}",0.9254309930648117,0.9201046354265839,NA2,NA2,chr01,263248,True,0.00031005946845714797,0.0001954130999489642,0.0005266600375168801,0.020336149521793634,0.0005055973600040591,0.00012998158767937274,0.00026745411499073723,0.007130196474055393,0.00023989239205374522,0.0008320042472274964,0.027421106747510148,0.0006733444389126331,0.9254309930648117,0.015028106499442312,0.00097304094559588
rh_chr1_334737,"{NA2,NA2}",0.9284433559559994,0.9233321670957136,NA2,NA2,chr01,329439,True,0.000276128099297205,0.00017212513746357584,0.0004885269840993223,0.019680279817268186,0.0004775009385642465,0.00011795346321404916,0.00023833881463393273,0.006354832158787649,0.0002207492126680331,0.0007878274301006037,0.02682902151035443,0.0006403706798121799,0.9284433559559994,0.014323251221156495,0.0009497385765808738
rh_chr1_443667,"{NA2,NA2}",0.9334741680622985,0.9287223229238913,NA2,NA2,chr01,438310,True,0.0002226872779728605,0.00013510434041108367,0.0004265484661525179,0.018578846791456154,0.0004323657019452232,0.0001008320385336034,0.00019152972471823398,0.005054882140935878,0.00019067613715529355,0.000717413057123305,0.02583354856807233,0.0005870267815661964,0.9334741680622985,0.013140422387759582,0.0009139485238990516
rh_chr1_547952,"{NA2,NA2}",0.9384553563999602,0.9340593104285289,NA2,NA2,chr01,544389,False,0.00017396328189015595,0.000102107156850328,0.0003685555154680339,0.017478670536410786,0.0003912033752434498,8.783791111462798e-05,0.0001487402800552987,0.003758884872240144,0.00016461138577867886,0.0006520040044405858,0.024837886546100082,0.0005376321474681323,0.9384553563999602,0.011959935534697994,0.000882611052281433
rh_chr1_631086,"{NA2,NA2}",0.939192072722679,0.9348486493457275,NA2,NA2,chr01,627268,True,0.00016341557196245885,9.50109338301833e-05,0.0003560026281270043,0.016855304796650948,0.00038062251558519,8.41103626471891e-05,0.00013983641146249955,0.003720630543341907,0.0001579612953457915,0.0006379968918694217,0.024755215738192893,0.0005289536584659823,0.939192072722679,0.012056392072549313,0.0008764738572900341
rh_chr1_741516,"{NA2,NA2}",0.940208722622837,0.9359379170958967,NA2,NA2,chr01,737678,True,0.00014989269883466916,8.566846409665289e-05,0.0003391356133507019,0.016017485466139098,0.00036639111175972575,7.934622146021794e-05,0.00012786281226589337,0.003658311448435582,0.0001490159893208753,0.0006195348872698559,0.024637369060922613,0.0005171708230027509,0.940208722622837,0.01217554539062067,0.0008685473896836845
rh_chr1_1060803,"{NA2,NA2}",0.943308671163651,0.9392592905324832,NA2,NA2,chr01,1049416,False,0.00011448179443223838,5.869351664624274e-05,0.0002891364698265874,0.013603826597009292,0.0003240674907601436,6.696567381385083e-05,9.242404329859223e-05,0.0034116382881824708,0.0001224667428060654,0.0005683309108674566,0.02425606847279567,0.0004815659770432907,0.943308671163651,0.012453949519539834,0.0008477133393271782
rh_chr1_1170229,"{NA2,NA2}",0.9440467415311544,0.9400500802119511,NA2,NA2,chr01,1140710,True,0.00010532272374544886,5.4906451109639395e-05,0.00027441267562403434,0.012878146770748628,0.0003130026681951315,6.401271462449517e-05,8.913674116494042e-05,0.003549517209392461,0.00011983701199804634,0.0005511045167206447,0.024051506728608986,0.00047179358416312507,0.9440467415311544,0.012586394227754706,0.0008441644449950688
rh_chr1_1304008,"{NA2,NA2}",0.945095070679158,0.9411732900133836,NA2,NA2,chr01,1265000,False,9.357338933457512e-05,4.951477315590944e-05,0.0002544192003895901,0.011880782119914167,0.00029773436022339806,6.0077491084619687e-05,8.430905576410607e-05,0.0037241733326793982,0.0001160646137744643,0.0005280425547229025,0.023763120152886254,0.0004582080006934204,0.945095070679158,0.012755290735884847,0.0008396195403344048
rh_chr1_1400565,"{NA2,NA2}",0.9454721815944703,0.9415773374226468,NA2,NA2,chr01,1361620,False,8.535271699806557e-05,4.667297194487769e-05,0.000239886623856013,0.011323638105675795,0.0002865191588711191,5.565794044884124e-05,8.141605784957984e-05,0.003773504225001379,0.00011400042934770992,0.0005112413884239377,0.02371619322949075,0.00044830836904404935,0.9454721815944703,0.013008586811523516,0.0008368403770540237
rh_chr1_1482273,"{NA2,NA2}",0.945807435545498,0.9419365380844621,NA2,NA2,chr01,1441962,True,7.882581129927009e-05,4.427599694964514e-05,0.00022786500771651948,0.010855311385284014,0.00027711217628931364,5.2081285308470844e-05,7.887376504183502e-05,0.0038077609867697548,0.00011219417664594261,0.0004974193185780717,0.023672386649873114,0.0004399497060320884,0.945807435545498,0.013213859602384088,0.000834648586329761
rh_chr1_1623606,"{NA2,NA2}",0.946446955789057,0.9426217383454183,NA2,NA2,chr01,1583376,True,6.792807364541408e-05,3.986985913320899e-05,0.00020652594440980865,0.010019454183352757,0.00026015819949398744,4.597168568370093e-05,7.401205644333988e-05,0.003853109241534887,0.000108745367402132,0.00047334901820567554,0.023584600068550985,0.00042478314227085073,0.946446955789057,0.013563418723143537,0.0008311186476725913
rh_chr1_1879893,"{NA2,NA2}",0.9477660997715325,0.9440351068980705,NA2,NA2,chr01,1839399,True,5.0142522447443714e-05,3.132413681883552e-05,0.00016730389880914467,0.008468197888995175,0.00022815714816147196,3.549298288624868e-05,6.39479605090963e-05,0.0038865630255754432,0.00010158171217758186,0.0004305809460566126,0.023390844921519816,0.00039579418714994163,0.9477660997715325,0.014158194029507859,0.0008257748678527674
rh_chr1_1999515,"{NA2,NA2}",0.9484499406740993,0.9447677935793921,NA2,NA2,chr01,1959058,False,4.296038889930042e-05,2.74895106492402e-05,0.0001496301479808336,0.007726948941987061,0.00021324473062112756,3.0923044120396235e-05,5.896032560779514e-05,0.003880720053100982,9.800599241332001e-05,0.00041111795822280987,0.023285134405880908,0.0003820225583135854,0.9484499406740993,0.014419342827792,0.000823558440311354
rh_chr1_2145831,"{NA2,NA2}",0.9480018283120855,0.9442876731915202,NA2,NA2,chr01,2106048,True,4.040769324701123e-05,2.7657089013954722e-05,0.000147360004271571,0.007162624849020784,0.00021483006215262178,2.944293630324186e-05,6.103133944157161e-05,0.004015618127831706,0.00010247900298984097,0.0004118568018416266,0.02350351391884556,0.0003920366110087945,0.9480018283120855,0.015043130329943477,0.0008461829220027102
rh_chr1_2306205,"{NA2,NA2}",0.9475898778822726,0.9438462977310064,NA2,NA2,chr01,2265211,True,3.774642445365518e-05,2.756860910639716e-05,0.00014436104721010992,0.006533854497555341,0.00021579388468389362,2.7882665982474018e-05,6.289701246692569e-05,0.00413951931991489,0.00010724417447867477,0.0004127212948047867,0.023724979407108073,0.00040262216831307517,0.9475898778822726,0.01570067965124587,0.0008722519604033477
rh_chr1_2424927,"{NA2,NA2}",0.9473319389693755,0.9435699346100452,NA2,NA2,chr01,2384046,True,3.5847892802162614e-05,2.73510480802237e-05,0.00014180525853105743,0.006052465139213246,0.00021602471734180975,2.6739474751064723e-05,6.404262637651132e-05,0.004217031037238561,0.00011073799338440432,0.00041337832721989213,0.023880202950950637,0.00041035743043494276,0.9473319389693755,0.016179493463070266,0.000892583671229885
rh_chr1_2618562,"{NA2,NA2}",0.947002569664641,0.9432170389264011,NA2,NA2,chr01,2577582,False,3.2908771963841155e-05,2.666203174214449e-05,0.00013690907218820157,0.005245942802354707,0.0002153643393094711,2.4920110171785596e-05,6.538152938656455e-05,0.00431587567764096,0.00011621785910622444,0.0004145698564936897,0.024114538307264247,0.00042249592464785134,0.947002569664641,0.01693758395657445,0.0009280600965146572
rh_chr1_2718543,"{NA2,NA2}",0.9441820882158458,0.9401950945169777,NA2,NA2,chr01,2677534,True,3.167177032710802e-05,2.6484883722656464e-05,0.00013512099467711056,0.005161172041314412,0.00021589393236789832,2.416113591172402e-05,6.645038744780339e-05,0.004728653492033023,0.00011981113361344154,0.0004166708617684321,0.025127865168716453,0.000430766669481924,0.9441820882158458,0.01838289773700187,0.0009502915757703674
rh_chr1_2822616,"{NA2,NA2}",0.9413002210540549,0.9371073797007731,NA2,NA2,chr01,2781082,True,3.0414689388643384e-05,2.621970640656839e-05,0.0001330805503542027,0.005060353151169088,0.00021623667857785184,2.339383806337922e-05,6.74815512318599e-05,0.005143739359786261,0.00012374347071500148,0.00041905450494954293,0.02617001400535979,0.00043966839408534085,0.9413002210540549,0.019871168530212813,0.0009752105156449282
rh_chr1_2955463,"{NA2,NA2}",0.9376675022579714,0.9332151809906836,NA2,NA2,chr01,2913710,True,2.8843511826493367e-05,2.5744612411313673e-05,0.0001301522942170647,0.004911939232541949,0.00021630810478914876,2.2433698362804424e-05,6.86483846767866e-05,0.005656956529208082,0.00012902411125085043,0.0004224395281051538,0.027493875635733935,0.00045148176106527715,0.9376675022579714,0.02176447468336914,0.0010101756544706162
rh_chr1_3008587,"{NA2,NA2}",0.9362289772791453,0.9316739042276557,NA2,NA2,chr01,2966940,True,2.8224903781360382e-05,2.5521673006020737e-05,0.00012889483052030946,0.004846337940287826,0.00021623080657463034,2.204460105373056e-05,6.907280608934744e-05,0.005857045305654957,0.0001312268273068246,0.0004238295580599923,0.028021521419184448,0.0004563757251327861,0.9362289772791453,0.02251992078563844,0.0010247755385638926
rh_chr1_3077430,"{NA2,NA2}",0.9343928402410246,0.929706614543955,NA2,NA2,chr01,3035452,False,2.7440302197434575e-05,2.5196399290037602e-05,0.00012718359915680789,0.004756795893233806,0.00021601273303593118,2.1545930442203666e-05,6.956422863744204e-05,0.006109729587855745,0.00013410289812839269,0.0004257006912394471,0.02869782650947147,0.0004627577376124085,0.9343928402410246,0.023488921246588315,0.0010443820020859015
rh_chr1_3142598,"{NA2,NA2}",0.9321238648788281,0.9272755695130301,NA2,NA2,chr01,3100650,True,2.6609557628515604e-05,2.5923292478409224e-05,0.0001254221467929237,0.00464527623385809,0.00021529742540343474,2.1163252926143276e-05,7.292725994349545e-05,0.006813936027318415,0.00014202256109301737,0.00042819659385209645,0.029402395018933915,0.0004693409014647676,0.9321238648788281,0.02442384904753241,0.0010637758019463144
rh_chr1_3325315,"{NA2,NA2}",0.9258728189666212,0.9205780203213799,NA2,NA2,chr01,3282755,False,2.4383978296027226e-05,2.7489688509430954e-05,0.00011984896400556882,0.004302469590539908,0.00021241092177311656,2.0232063822392624e-05,8.235282939957625e-05,0.00875833594507196,0.0001657397274839245,0.00043594216606653377,0.031352833572880566,0.0004880862154111665,0.9258728189666212,0.027013295208002178,0.0011237601621165347
rh_chr1_3523735,"{NA2,NA2}",0.9089262463458642,0.9024209782277116,NA2,NA2,chr01,3481846,True,2.2725215807127187e-05,3.447039588319703e-05,0.00014440801107808995,0.0050479476756311835,0.00021376463314725283,2.7229022250109012e-05,0.00010752672452315284,0.010365466463663273,0.0002419393163632875,0.0004218369003871672,0.031015162985347636,0.0006800395976586998,0.9089262463458642,0.04151292853652901,0.0012383081758667418
rh_chr1_3758335,"{NA2,NA2}",0.8893345890309343,0.8814299168188582,NA2,NA2,chr01,3716202,False,2.0908274358271403e-05,4.341883784612233e-05,0.00017268876902255687,0.00578632212433817,0.00021716282040351007,3.641066526014147e-05,0.00013418503893467963,0.012113150738151316,0.00035478499163792246,0.0004043260163613308,0.030506532871090654,0.0009085249686190836,0.8893345890309343,0.05853700963729519,0.0014299852157467143
