Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9995465562292704,0.999514167388504,Vv,Vv,chr01,89866,False,3.488826776670328e-07,4.2906940239871833e-07,4.318561014915598e-07,4.3831545459042913e-07,0.00013325297186851453,2.526967323792825e-07,3.904858370525975e-07,3.9490474043665534e-07,0.0001033186819732443,2.559450294957168e-07,3.96708337206904e-07,0.000105012353244092,2.6516135169834934e-07,0.0001082557379793678,0.9995465562292704
rh_chr1_268616,"{Vv,Vv}",0.9999141126947937,0.9999079778872789,Vv,Vv,chr01,263248,False,4.642946949900911e-08,3.54297982077534e-08,3.600852396956413e-08,3.826138895390209e-08,4.461746017252368e-05,2.9126201935710057e-08,3.398827013971398e-08,3.414064611635461e-08,1.1172656598936265e-05,2.7889057673742124e-08,3.3707342222615136e-08,1.3064960993730605e-05,2.8538270410860287e-08,1.6688708471973592e-05,0.9999141126947937
rh_chr1_334737,"{Vv,Vv}",0.9998992115511216,0.9998920123762017,Vv,Vv,chr01,329439,True,3.435077447320348e-08,2.736927343980189e-08,2.771916508852911e-08,2.9436999431899596e-08,4.445637331984231e-05,2.1728657763153927e-08,2.610733784651039e-08,2.6239054385297703e-08,1.681358363651656e-05,2.0630767717230743e-08,2.58329830533404e-08,1.8117688455842485e-05,2.11138127071662e-08,2.1140274640315404e-05,0.9998992115511216
rh_chr1_443667,"{Vv,Vv}",0.9998988432209555,0.999891617736738,Vv,Vv,chr01,438310,True,1.816190940334943e-08,1.536116039039554e-08,1.53970682209493e-08,1.6330266620163752e-08,3.8181059346778305e-05,1.1793385169531901e-08,1.453476833804431e-08,1.4617705658047781e-08,2.003993714530627e-05,1.0934385650235287e-08,1.426153335021058e-08,2.0377311195606043e-05,1.1184573161689759e-08,2.2415894600912864e-05,0.9998988432209555
rh_chr1_547952,"{Vv,Vv}",0.9999273655590812,0.9999221773847299,Vv,Vv,chr01,544389,False,7.625650932252835e-09,6.650892136078232e-09,6.519096986953479e-09,6.902242217502097e-09,2.4875052244008132e-05,5.221395487058884e-09,6.258710754100599e-09,6.293970592581278e-09,1.5939880180819178e-05,4.621306107544263e-09,6.014908770578339e-09,1.533644652300277e-05,4.714434836080169e-09,1.6422239362075936e-05,0.9999273655590812
rh_chr1_631086,"{Vv,Vv}",0.9998677410085254,0.9998582939377058,Vv,Vv,chr01,627268,True,6.423989804559037e-09,6.183357149598844e-09,6.023766191115739e-09,6.343179546354608e-09,3.849017507760495e-05,4.522140023833976e-09,5.746282473824379e-09,5.779415773481568e-09,3.258374136371457e-05,3.958149543261996e-09,5.507216594967554e-09,3.0252718659884184e-05,4.026483022491313e-09,3.087784239333035e-05,0.9998677410085254
rh_chr1_741516,"{Vv,Vv}",0.9998154155758727,0.9998022309741493,Vv,Vv,chr01,737678,True,5.046298553841609e-09,5.8170122659531805e-09,5.6079401097493166e-09,5.84253952974953e-09,4.985387958034456e-05,3.781191228143084e-09,5.381421223883649e-09,5.400301103933821e-09,4.798760279130508e-05,3.2464010246973985e-09,5.1186241642181e-09,4.334211917769019e-05,3.2784837028902257e-09,4.3352302365018895e-05,0.9998154155758727
rh_chr1_1060803,"{Vv,Vv}",0.9998350727106466,0.9998232921899786,Vv,Vv,chr01,1049416,True,1.0076688197365792e-09,1.6094200034822044e-09,1.36920040005377e-09,1.3604873310678331e-09,4.01066873380952e-05,1.126286616908433e-09,1.5401102949016171e-09,1.481110502079347e-09,4.969338486678546e-05,7.79893479931383e-10,1.26087426897497e-09,3.84253393167991e-05,7.353092747083371e-10,3.668960747062803e-05,0.9998350727106466
rh_chr1_1170229,"{Vv,Vv}",0.999887608193498,0.9998795802073193,Vv,Vv,chr01,1140710,False,2.049649196322457e-10,4.482358939080078e-10,3.0947539505531254e-10,2.8995135919969343e-10,2.5563654367441227e-05,3.4576465271889143e-10,4.5336466639337816e-10,3.9215971486312993e-10,3.850964726001306e-05,1.7412011239858794e-10,2.8075308500723455e-10,2.5282018811304107e-05,1.457809124350789e-10,2.3033441492599398e-05,0.999887608193498
rh_chr1_1304008,"{Vv,Vv}",0.9998972657871884,0.9998899276291304,Vv,Vv,chr01,1265000,False,6.26969660512888e-11,3.245568617620321e-10,1.1809434305641293e-10,9.483283405904735e-11,2.0961781760038924e-05,2.7533519029485895e-10,3.593661361370818e-10,2.4561502810703125e-10,4.159870200167636e-05,6.382842815756532e-11,1.000895050881491e-10,2.1749602686106033e-05,3.895480524417816e-11,1.8422442993642214e-05,0.9998972657871884
