Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.8819385846118617,0.8735056263698519,NA1,Vv,chr01,89866,True,0.0003333294606300177,0.0006754292850068501,0.0064173960449817645,0.0002765695355476069,0.02369842946033706,0.0003037140975336849,0.013699851473835426,0.0004971586400613255,0.013329173096347896,0.012455698827104714,0.006280904832812137,0.8819385846118617,0.00019851485521825565,0.014391567372881985,0.025503678405839315
rh_chr1_268616,"{NA1,Vv}",0.9009764117685254,0.8939032983234201,NA1,Vv,chr01,263248,True,0.00021133970953493252,0.000566956646474417,0.0044909138861390085,0.00017275252290213988,0.022142131791866252,0.0001940015441922884,0.011971160052420916,0.0004055291881345527,0.011506735862373784,0.008603054632193474,0.004372363926594445,0.9009764117685254,0.000117425350347737,0.012612191106491722,0.02165703201180893
rh_chr1_334737,"{NA1,Vv}",0.908338005746555,0.9017907204427374,NA1,Vv,chr01,329439,True,0.00016876067043393057,0.0005299443762710196,0.0037381941078095684,0.00013762969932874236,0.021532424771856917,0.00015615513564563857,0.01129514006750829,0.00037516612329878277,0.010793908642000406,0.007122402982130521,0.003626718965461678,0.908338005746555,9.061230285374136e-05,0.011916139293552038,0.020178797115293662
rh_chr1_443667,"{NA1,Vv}",0.9205601922130308,0.9148859202282472,NA1,Vv,chr01,438310,True,0.00010422147108212474,0.00047319038928959406,0.0024799905705952365,8.410502511430087e-05,0.020511532296491695,9.946421089647534e-05,0.010164507571084872,0.0003295928049247335,0.0096015880326301,0.0046731697361435025,0.002380403791160522,0.9205601922130308,5.2217103852239544e-05,0.010751799916369731,0.017734024867334202
rh_chr1_547952,"{NA1,Vv}",0.9326069301922775,0.9277931394917258,NA1,Vv,chr01,544389,False,4.7621503327527616e-05,0.0004235640089744625,0.0012293589973826615,3.777938776927682e-05,0.019494635923565134,5.0585766271680044e-05,0.009039905011124772,0.0002911666031471843,0.008415446143003654,0.002270481729611683,0.0011416712750146683,0.9326069301922775,2.1337832314456426e-05,0.009593402353470585,0.015336113272744837
rh_chr1_631086,"{NA1,Vv}",0.937361844033929,0.9328876900363525,NA1,Vv,chr01,627268,True,4.092990331118636e-05,0.00036956452005214313,0.0011375597193102299,3.2685159604283386e-05,0.018544697028635655,4.4849378756608295e-05,0.008166221558702818,0.0002466525826231889,0.008141942307969854,0.002061967779125448,0.001052137616181272,0.937361844033929,1.7136935379280128e-05,0.008609993662842479,0.014171817813576381
rh_chr1_741516,"{NA1,Vv}",0.9437756767740327,0.9397596536864636,NA1,Vv,chr01,737678,True,3.2547344007293875e-05,0.0003028973597014053,0.001001855510636299,2.610132483589734e-05,0.017272717189321926,3.743239231686578e-05,0.006997737648204651,0.00019264094093055997,0.007758856163841053,0.0017720655647983467,0.0009196910028744917,0.9437756767740327,1.216922626577728e-05,0.007292328647724036,0.012605282910508647
rh_chr1_1060803,"{NA1,Vv}",0.9623842885707661,0.9596974520401065,NA1,Vv,chr01,1049416,True,1.2956810288472249e-05,0.00014311599389565426,0.000535670330312794,9.004005536172788e-06,0.013642912099573568,1.8904511709446484e-05,0.003671195751514692,6.872239233651767e-05,0.006562640060620828,0.0008763825362441536,0.00046416368676498914,0.9623842885707661,2.8282567133226832e-06,0.0035266313716337144,0.008080583622089669
rh_chr1_1170229,"{NA1,Vv}",0.967975468447534,0.9656880019080721,NA1,Vv,chr01,1140710,True,8.190250349866527e-06,0.00010793226118674115,0.00037530611781158465,5.298796616016668e-06,0.012565846222913611,1.4077286430012908e-05,0.002686420251236911,4.40967712906169e-05,0.006179159979155558,0.000592289170093006,0.00030734815186952925,0.967975468447534,1.2468006560937106e-06,0.002407863299860694,0.006729456192995631
rh_chr1_1304008,"{NA1,Vv}",0.9756925603748201,0.9739563146873073,NA1,Vv,chr01,1265000,False,2.6485777988996617e-06,6.678113897155228e-05,0.00013960239499341976,1.1400997549751552e-06,0.011090250310577619,8.220208889279166e-06,0.0013387443925203374,1.7360541583428484e-05,0.005633294382372171,0.00018923927561542315,7.678082815773712e-05,0.9756925603748201,1.737068156707489e-07,0.0008740663338183275,0.004869137433311235
