Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.8986744016818224,0.8914368589448097,Vv,Vv,chr01,89866,True,0.00044231980231858596,0.00029146663394874733,0.000367793436639023,0.0004546049971506739,0.03543182154927816,0.00010252074191173477,0.00019215298985175946,0.0002813877999391552,0.008786516790825236,0.0002502925792162706,0.0003566408098437255,0.02001249348671829,0.0004211769445013342,0.03393440975603492,0.8986744016818224
rh_chr1_268616,"{Vv,Vv}",0.9062001653014341,0.8995001771086794,Vv,Vv,chr01,263248,True,0.00028923394780234243,0.00019394743855087666,0.00024684848488716897,0.0003044560009164641,0.03407952663896058,6.452358159230142e-05,0.00012690694858012177,0.00018700140313062768,0.006794233056748617,0.0001638278792277638,0.00023880043477173617,0.018289824156541807,0.00027454784260842096,0.03254615688424696,0.9062001653014341
rh_chr1_334737,"{Vv,Vv}",0.9091118523955062,0.902619841852328,Vv,Vv,chr01,329439,True,0.00023351887269887798,0.00016014132961355667,0.00020381986280708136,0.00024993123468297493,0.033547147012745526,5.3172551278297316e-05,0.00010580563402626788,0.0001544286303421519,0.0060141312599941675,0.00013379376448242064,0.0001969942099913708,0.017614082597030723,0.0002213216804795694,0.03199985896432082,0.9091118523955062
rh_chr1_443667,"{Vv,Vv}",0.913975105429199,0.9078304701027132,Vv,Vv,chr01,438310,False,0.00014402481221519387,0.00010554996719688297,0.00013374642874360005,0.0001605601748873988,0.03265093169681607,3.724666644129115e-05,7.254126444216284e-05,0.00010190768201516046,0.004706360120243341,8.688618596192717e-05,0.0001289730012344896,0.01647969130205547,0.00013595487185281778,0.03108052039669517,0.913975105429199
rh_chr1_547952,"{Vv,Vv}",0.9187909297313335,0.9129902818550002,Vv,Vv,chr01,544389,False,5.989712979934575e-05,5.507261367529591e-05,6.77922874451339e-05,7.531657103188991e-05,0.031753241703857064,2.5497172037400832e-05,4.3382520993256457e-05,5.350001167441104e-05,0.003402685936426066,4.465627477445148e-05,6.507058091218725e-05,0.01534704958633325,5.588762005944508e-05,0.0301600202596473,0.9187909297313335
rh_chr1_631086,"{Vv,Vv}",0.9291529389830988,0.9240924346247488,Vv,Vv,chr01,627268,True,4.815853928973772e-05,4.629750661806065e-05,5.747676007960302e-05,6.333595282851695e-05,0.027646045108651922,2.0492457019304287e-05,3.6598407019545845e-05,4.492552844484624e-05,0.003061774443835718,3.664265407231456e-05,5.495426488179853e-05,0.013530894145310975,4.463020340477935e-05,0.026154835045444056,0.9291529389830988
rh_chr1_741516,"{Vv,Vv}",0.9430556496315989,0.938988196033856,Vv,Vv,chr01,737678,True,3.4630834357155725e-05,3.5633182230863404e-05,4.489978604443869e-05,4.878573498183321e-05,0.022157097293312708,1.4727533825027036e-05,2.8347014890581808e-05,3.4523511558573735e-05,0.002564491658499484,2.7335795915653065e-05,4.263868937316344e-05,0.011078505874989913,3.171725676138533e-05,0.020801016201660267,0.9430556496315989
rh_chr1_1060803,"{Vv,Vv}",0.9830185295155883,0.9818055673381304,Vv,Vv,chr01,1049416,False,6.968467942809301e-06,5.806493276766021e-06,9.573105815080459e-06,7.983226623482116e-06,0.006532119474488708,2.913826721600852e-06,5.33830963318039e-06,5.475050373332968e-06,0.0008898471765064054,7.852451843776145e-06,8.093452654719246e-06,0.003940577411731843,5.669984937499259e-06,0.005553252051862443,0.9830185295155883
rh_chr1_1170229,"{Vv,Vv}",0.9879241888853462,0.9870616309485852,Vv,Vv,chr01,1140710,False,4.696942028084481e-06,3.6990447874285703e-06,6.9792757377276545e-06,5.315662483325532e-06,0.004599234923337135,1.8663300981225955e-06,3.5813817229039685e-06,3.495750505791338e-06,0.0006761075161039526,5.972042054187094e-06,5.624138699283064e-06,0.0030510038968572925,3.7011733489969338e-06,0.003704533036889598,0.9879241888853462
rh_chr1_1304008,"{Vv,Vv}",0.9946756658062875,0.9942953562210224,Vv,Vv,chr01,1265000,False,2.6366940237005785e-06,1.408912114376924e-06,4.110697423028153e-06,2.510673314415506e-06,0.001953291947697179,8.651040472695174e-07,1.6153606107736908e-06,1.3792122756243982e-06,0.0003574707555167004,4.067004701054088e-06,2.924604105398339e-06,0.0018176075546106469,2.0400365201425267e-06,0.001172405636752184,0.9946756658062875
