Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9975611176501671,0.9973869117680362,Vv,Vv,chr01,89866,False,1.877571143498108e-06,1.832177906215679e-06,1.8526849409678229e-06,1.8805093468798193e-06,0.000831768567677591,9.905638379757173e-07,1.452325136340407e-06,1.4721684542831135e-06,0.0005252674288425954,1.0012830575811469e-06,1.4851306213403086e-06,0.0005250224089367953,1.0422723141129873e-06,0.0005419372576167832,0.9975611176501671
rh_chr1_268616,"{Vv,Vv}",0.9991342047018067,0.9990723621805072,Vv,Vv,chr01,263248,False,2.501667690597962e-07,9.95922372880625e-08,1.0294779816734733e-07,1.1572236825975989e-07,0.0004471534799545409,4.065765489726557e-08,4.775965618867933e-08,5.130956598906188e-08,0.0001373434357489006,4.080543884031541e-08,5.220428588814253e-08,0.00013094914385088335,4.729737929121865e-08,0.00014950077548506172,0.9991342047018067
rh_chr1_334737,"{Vv,Vv}",0.9993263460957612,0.9992782279597442,Vv,Vv,chr01,329439,False,3.2917583001631683e-08,1.3034271036345614e-08,1.3216332572642263e-08,1.5814118178399237e-08,0.00035430343862461117,4.9053325695974796e-09,5.829542546993203e-09,6.6830976860622465e-09,0.00010893558409996856,4.371176075439997e-09,6.638961280249349e-09,9.806827041775691e-05,5.547092714392535e-09,0.00011223765358885576,0.9993263460957612
rh_chr1_443667,"{Vv,Vv}",0.999572167695341,0.9995416082450082,Vv,Vv,chr01,438310,False,7.4131805613776654e-09,2.6921334090197533e-09,2.3480023344188596e-09,3.787541877715911e-09,0.0002353482995511154,1.0335898858195018e-09,9.306883853111699e-10,1.5220057226478678e-09,7.508877015885922e-05,5.176255118963023e-10,1.3415683938093098e-09,5.4509687455658564e-05,1.1087801547124757e-09,6.286285237715307e-05,0.999572167695341
rh_chr1_547952,"{Vv,Vv}",0.9997397229803858,0.9997211317646991,Vv,Vv,chr01,544389,False,3.86225023794833e-09,1.4759059208980662e-09,1.0298303787380049e-09,1.4217526804015936e-09,0.0001568888845270653,6.83167706949702e-10,3.9077022129984447e-10,5.406210383362403e-10,5.4085489547377755e-05,1.5576058678595856e-10,3.8617492791694116e-10,2.3128114324021783e-05,2.788590728683976e-10,2.6164306123024633e-05,0.9997397229803858
rh_chr1_631086,"{Vv,Vv}",0.9997997311368577,0.9997854262180619,Vv,Vv,chr01,627268,False,2.7885888237026957e-09,7.813952482257477e-10,5.243976897923807e-10,6.622972062434007e-10,0.00013926327393652959,2.62168171878213e-10,1.9151721318593476e-10,2.350074441081695e-10,3.222800736801481e-05,6.571970899952384e-11,1.5663798018956698e-10,1.363704008949909e-05,1.0123832773639847e-10,1.5134772780399687e-05,0.9997997311368577
rh_chr1_741516,"{Vv,Vv}",0.9998141995586709,0.999800928098576,Vv,Vv,chr01,737678,False,8.848659373145502e-10,5.952342548346426e-10,4.5746415647012364e-10,5.015632612491324e-10,0.0001080090634020914,1.385787238614914e-10,1.6148165054216207e-10,1.7732993317375655e-10,3.763032867489089e-05,4.8024875473436483e-11,1.2004196856324848e-10,1.9600200514953293e-05,5.85739872588795e-11,2.0557705578330002e-05,0.9998141995586709
rh_chr1_1060803,"{Vv,Vv}",0.9998892826123814,0.9998813742275515,Vv,Vv,chr01,1049416,False,1.0984448765818382e-10,3.204921520806339e-10,1.538077939583056e-10,1.3833363592570487e-10,3.41224233106742e-05,2.525536578900296e-10,1.659767028512867e-10,1.4161680552175584e-10,4.50255101472581e-05,4.6284884826298834e-11,6.793803983684505e-11,1.615199663955932e-05,3.4280135621833953e-11,1.541602639282284e-05,0.9998892826123814
rh_chr1_1170229,"{Vv,Vv}",0.9999249906223798,0.9999196328096926,Vv,Vv,chr01,1140710,False,3.846644741029585e-11,1.392316191757385e-10,6.968961775469352e-11,6.26828439220233e-11,2.032978345938632e-05,1.0701395786827359e-10,1.0923972935158502e-10,8.095443185798949e-11,2.958857245540223e-05,2.958850904735574e-11,4.467559450164831e-11,1.3250161011622299e-05,1.8498637894483102e-11,1.1840160652448357e-05,0.9999249906223798
rh_chr1_1304008,"{Vv,Vv}",0.9999392965740681,0.9999349606150729,Vv,Vv,chr01,1265000,False,3.257289321794754e-11,2.2456102630551542e-10,5.379833409689462e-11,3.9292506518323256e-11,1.358837216497128e-05,1.8776116062930027e-10,1.8928067312983425e-10,1.1472325751169317e-10,2.9631698750763276e-05,2.5226506375778758e-11,3.228854113737217e-11,1.0481747003804017e-05,1.4139096002874906e-11,7.000694368446572e-06,0.9999392965740681
rh_chr1_1400565,"{Vv,Vv}",0.9998918355966216,0.9998841095678089,Vv,Vv,chr01,1361620,False,1.094250845901848e-10,8.178191425350081e-10,1.8334400108660993e-10,1.104666511651949e-10,2.5897241886027375e-05,4.868109386398599e-10,7.905591268808769e-10,4.14029043813005e-10,4.3661400876409725e-05,1.0810756790136015e-10,1.0622815854955303e-10,2.4833274988980196e-05,5.016222927798524e-11,1.3769308674940132e-05,0.9998918355966216
rh_chr1_1482273,"{Vv,Vv}",0.9998566149000727,0.9998463731072208,Vv,Vv,chr01,1441962,False,1.242944344183237e-10,1.6459700175446617e-09,2.3494395743803675e-10,1.1744848685478346e-10,3.447664860282346e-05,8.517911598616504e-10,1.5958255657282443e-09,7.997235158214017e-10,5.787230989437856e-05,1.2007055746146345e-10,1.1606815079576675e-10,3.3579110297675715e-05,5.955461446729205e-11,1.7451365442019998e-05,0.9998566149000727
rh_chr1_1623606,"{Vv,Vv}",0.9997961841625864,0.9997816258884854,Vv,Vv,chr01,1583376,True,6.222275112507875e-10,2.3442258324664443e-09,1.2629539406201768e-09,1.041688354825489e-09,5.0478947580182696e-05,1.0857657221452106e-09,2.3392391126370438e-09,1.7518638609987654e-09,5.993260639542939e-05,6.472590842081902e-10,1.0409443761585823e-09,5.1312329950600105e-05,5.012700288307169e-10,4.2079316049454736e-05,0.9997961841625864
rh_chr1_1879893,"{Vv,Vv}",0.999816262421387,0.9998031383086289,Vv,Vv,chr01,1839399,False,3.1503549836207454e-10,4.896445818918921e-10,6.312465732606173e-10,6.262736392418187e-10,4.7066844966382256e-05,1.9105580161025222e-10,5.428915457664128e-10,5.178400136104421e-10,3.131206499349062e-05,3.9816593114886484e-10,6.73543382093522e-10,5.1053518359405726e-05,3.9338097733482377e-10,5.430037121587232e-05,0.999816262421387
rh_chr1_1999515,"{Vv,Vv}",0.9997667162999249,0.999750053178491,Vv,Vv,chr01,1959058,False,2.2477389185679517e-10,2.39780044376298e-10,4.2853375130487067e-10,5.456330519035595e-10,6.330353494157555e-05,6.616175271920675e-11,2.501402621996407e-10,2.947577780680747e-10,3.7335245760984996e-05,1.978922226037285e-10,4.364281913161338e-10,5.84687021026625e-05,2.8368901427630603e-10,7.417324947995439e-05,0.9997667162999249
rh_chr1_2145831,"{Vv,Vv}",0.9996968582698014,0.9996752052890729,Vv,Vv,chr01,2106048,False,1.5785720485695897e-09,1.393952332001578e-09,2.5188117975553997e-09,3.6256778109771052e-09,8.784518383453628e-05,3.5676089191293763e-10,1.133400456745016e-09,1.4623105506548045e-09,4.4631549591546074e-05,8.652910113528667e-10,2.226500906619897e-09,6.889947798530801e-05,1.5840500007439695e-09,0.00010174877345949985,0.9996968582698014
rh_chr1_2306205,"{Vv,Vv}",0.9996639108242745,0.9996399044545798,Vv,Vv,chr01,2265211,False,2.1639622418822467e-09,1.8847435419739506e-09,3.5939202957495337e-09,5.802205659820485e-09,9.69545892963976e-05,4.26197532736233e-10,1.4160933682915769e-09,1.945214944142183e-09,5.099063898379269e-05,9.634860063901736e-10,2.743494993751455e-09,6.950331913262251e-05,2.070034810217855e-09,0.00011861761895929441,0.9996639108242745
rh_chr1_2424927,"{Vv,Vv}",0.9996651764431531,0.999641260474807,Vv,Vv,chr01,2384046,False,1.9342274324236026e-09,1.743473936769982e-09,3.534837732850324e-09,6.357270747848776e-09,9.353027085237802e-05,2.966716680825058e-10,1.205585578337236e-09,1.7327747394457162e-09,5.631178644390532e-05,6.165846929344927e-10,1.965208755215263e-09,6.240251249253691e-05,1.5915827106058615e-09,0.00012255800884012694,0.9996651764431531
rh_chr1_2618562,"{Vv,Vv}",0.99935831445488,0.9993124797730857,Vv,Vv,chr01,2577582,False,5.579197647547679e-09,4.585012439540211e-09,4.341091724827346e-09,1.0146778370855847e-08,0.00017650752986859538,1.3653363986374223e-10,2.0470894683962765e-10,6.346838241883714e-10,0.00013516846020188974,1.0754516802117348e-10,4.948086035241532e-10,0.0001018613155246745,7.704131664613532e-10,0.00022812123875132892,0.99935831445488
rh_chr1_2718543,"{Vv,Vv}",0.999424315948381,0.9993831956589796,Vv,Vv,chr01,2677534,False,6.860188106495773e-09,6.780300239785772e-09,4.7391096099165965e-09,1.3791702094312731e-08,0.00017249311561939572,1.0600168545564587e-09,1.3086007397513834e-09,3.992180897545467e-09,0.00012114300686314454,5.570074018859449e-10,2.3669227208168512e-09,7.150861550787224e-05,3.1761660959189227e-09,0.00021049468143382626,0.999424315948381
rh_chr1_2822616,"{Vv,Vv}",0.9994610415171851,0.9994225444826983,Vv,Vv,chr01,2781082,False,7.785584874905393e-09,8.087670130467525e-09,7.473842411032195e-09,1.6788558108887237e-08,0.0001646795548242481,1.4828646603009883e-09,3.091198345036151e-09,6.216996126914608e-09,0.00010411171495325807,1.4383179773683374e-09,5.988777912864263e-09,7.692606421711351e-05,5.074214243708696e-09,0.00019317772079560386,0.9994610415171851
rh_chr1_2955463,"{Vv,Vv}",0.9996215707107876,0.9995945400472724,Vv,Vv,chr01,2913710,True,4.111786394244911e-09,4.40713826329565e-09,4.366765615816399e-09,8.89318769866237e-09,0.00011731811964977327,9.041724515494085e-10,1.996053506589109e-09,3.6695329412172125e-09,7.068992570349923e-05,9.286633808712523e-10,3.7802592142538296e-09,5.841507944346982e-05,2.8735045772330736e-09,0.0001319702333515058,0.9996215707107876
