Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9159367380232293,0.9099322193106028,Vv,Vv,chr01,89866,True,0.0003689566951194655,0.0002443760511314439,0.0002928215378143604,0.00037479416197151066,0.030616297484916295,8.202079345558078e-05,0.0001450658935189277,0.00022590463139126197,0.00787753049785348,0.00017600086106349852,0.00027470929132982077,0.015282554460044354,0.00033468829051446663,0.02776754132664625,0.9159367380232293
rh_chr1_268616,"{Vv,Vv}",0.9236878114559111,0.918236940845619,Vv,Vv,chr01,263248,True,0.00023701214242138855,0.00015907128845683562,0.000192028132210898,0.00024789638198425407,0.029147094669628656,4.8313758303573616e-05,9.18522454337192e-05,0.00014655680760815564,0.005862160224019234,0.00011030408588722156,0.00017988226457242402,0.013445044478542353,0.00021506344317165994,0.026229908621848517,0.9236878114559111
rh_chr1_334737,"{Vv,Vv}",0.9266864713141126,0.9214497906936922,Vv,Vv,chr01,329439,True,0.00018942376434386764,0.00013005210769593674,0.0001569115075377236,0.00020250315029100908,0.02856943266236988,3.859370889372543e-05,7.546627863491192e-05,0.0001198826827608518,0.005073091675090991,8.825272363773209e-05,0.00014711435475161255,0.012724820786552828,0.00017222404505693646,0.02562575923826938,0.9266864713141126
rh_chr1_443667,"{Vv,Vv}",0.9316945092422391,0.9268155456166847,Vv,Vv,chr01,438310,False,0.00011334303951359989,8.343315585536292e-05,0.00010005692121499398,0.0001283974191012688,0.02759791395461656,2.530952697149161e-05,5.005424402060738e-05,7.720029658346932e-05,0.003750350436556296,5.451970942300661e-05,9.420241806332337e-05,0.011516455674667875,0.00010401854969792858,0.02461023541147527,0.9316945092422391
rh_chr1_547952,"{Vv,Vv}",0.9366532494907271,0.9321284815972076,Vv,Vv,chr01,544389,False,4.2352603651450024e-05,4.0866062753402556e-05,4.725806887817957e-05,5.8353892142321866e-05,0.02662586767299659,1.6099973077105495e-05,2.868583784385758e-05,3.856824834711142e-05,0.002431836393054675,2.5192075394405734e-05,4.5344618775084026e-05,0.010310769339302387,4.077602152910702e-05,0.023594779701527114,0.9366532494907271
rh_chr1_631086,"{Vv,Vv}",0.9464794114310328,0.9426565122475351,Vv,Vv,chr01,627268,True,3.2205474220622014e-05,3.338944200018088e-05,3.865978352255248e-05,4.7696354264971124e-05,0.022440781800949133,1.2215705105304507e-05,2.342137401034334e-05,3.150733733714633e-05,0.0021175741075027494,1.9215089449343862e-05,3.7074235538655465e-05,0.008761719966838834,3.097309166205186e-05,0.019894154806565402,0.9464794114310328
rh_chr1_741516,"{Vv,Vv}",0.9596665440430149,0.9567855829032302,Vv,Vv,chr01,737678,True,2.093932175593333e-05,2.455460621358631e-05,2.847818008626895e-05,3.5087904773479185e-05,0.01684958202105076,7.919071011546053e-06,1.7209505523140032e-05,2.316457724234639e-05,0.00165711645756858,1.2567350083724007e-05,2.7284815287536523e-05,0.00666459472449193,2.0097738714347868e-05,0.014944859683181927,0.9596665440430149
rh_chr1_1060803,"{Vv,Vv}",0.9975962254691457,0.9974245272883704,Vv,Vv,chr01,1049416,False,3.867982585469648e-07,3.443557244946636e-07,5.024359665553687e-07,4.698989611092551e-07,0.0009449343712327843,1.4212922402250742e-07,2.663382734427625e-07,3.0507013186330293e-07,9.487434455552536e-05,3.434403001228057e-07,4.11530602161361e-07,0.0005274245025247069,2.923240519064596e-07,0.0008330769910470082,0.9975962254691457
rh_chr1_1170229,"{Vv,Vv}",0.9984485320015509,0.9983377128588046,Vv,Vv,chr01,1140710,False,2.157433374867476e-07,1.8980175284339187e-07,3.166561190768477e-07,2.6057433215610367e-07,0.0006101005441595384,7.39123054399357e-08,1.515109294217243e-07,1.6438081122985303e-07,6.995999637893311e-05,2.2559438095769428e-07,2.365985060100556e-07,0.0003655000270244591,1.4150678805887532e-07,0.0005039311516233956,0.9984485320015509
rh_chr1_1304008,"{Vv,Vv}",0.9996485660303536,0.9996234636039503,Vv,Vv,chr01,1265000,False,7.723230347876682e-08,2.929837359335974e-08,1.2190061532055478e-07,4.8771614882964215e-08,0.00014517399631084376,1.6566231388677034e-08,3.049957857761204e-08,2.0584650021183897e-08,2.44304008192763e-05,1.227225858437582e-07,5.5622920350916666e-08,0.0001345912032860434,2.9999484485623025e-08,4.668517087231614e-05,0.9996485660303536
